caller,seasons,n,actual,resid,epa,rank
Raheem Morris,2,1263,50.752177355502774,20.22617600964396,0.0541624598402711,1
Chris Shula,2,1398,47.85407725321888,17.783767611150747,-0.002906670745259726,2
Ejiro Evero,4,2326,46.689595872742906,16.47210297281258,0.024780408316312043,3
Zach Orr,2,1391,42.41552839683681,12.562389732596266,0.023364484797570927,4
Dennard Wilson,2,1123,38.46838824577026,9.3634315375786,0.09125465318354943,5
Anthony Weaver,2,1146,38.21989528795812,8.865037397928464,0.06132938795240326,6
Vic Fangio,3,2035,37.73955773955774,7.0181169210766035,-0.07226810598842068,7
Sean McDermott,3,1905,36.79790026246721,6.4284215183082996,-0.036294001927037085,8
Mike Macdonald,4,2846,36.40196767392832,5.951207422128424,-0.10215906832447026,9
Nick Rallis,3,1761,32.93583191368542,3.9712050429364067,0.12630220487172253,10
Brandon Staley,3,1723,34.18456181079512,3.4844744215420342,-0.020371325919972396,11
Patrick Graham,4,2450,32.69387755102043,2.7842399341111497,0.05980037860021145,12
Joe Woods,2,873,32.989690721649495,1.9018412033204875,-0.013071952867754012,13
Jeff Hafley,2,1285,31.128404669260725,1.3167268849532625,-0.00517773722254963,14
Aaron Glenn,3,2042,31.14593535749266,0.6128951717427227,0.07035521562411862,15
Shane Bowen,4,2413,30.625777041027767,0.4246348597748525,0.06472201960839097,16
Joe Whitt Jr.,2,981,29.76554536187562,0.06557195186309517,0.11482880447937092,17
Brian Flores,3,1896,30.48523206751055,0.0018056002661691853,-0.06127234108801062,18
Jesse Minter,2,1242,30.515297906602267,-0.10879560765147234,-0.06711186171957748,19
Todd Bowles,4,2743,29.96718920889537,-0.5152589433381416,0.052283362618562736,20
Teryl Austin,4,2629,29.783187523773297,-0.5487752829658129,-0.006522961275438714,21
Bill Belichick,2,1271,30.68450039339106,-0.6233338498159158,-0.070031531398747765,22
Ed Donatell,1,718,29.665738161559858,-1.4112453985554936,0.053031150741933195,23
Joe Barry,2,1201,29.059117402164862,-1.531379353208508,3.4401602488650865e-4,24
Matt Eberflus,3,1577,28.281547241597966,-1.8323634986776947,0.04522849282884056,25
Steve Spagnuolo,4,2905,28.605851979345957,-1.9170537147279842,-0.03898846344515769,26
Dennis Allen,4,2187,28.029263831732976,-2.551027054029285,-0.024014136911112913,27
Jack Del Rio,2,1059,28.328611898016998,-2.7056289022406714,0.006087101378580769,28
Dan Quinn,3,1486,28.061911170928667,-2.9956082862326805,-0.03727977153184558,29
Vance Joseph,4,2701,26.804887078859686,-3.358260694558815,-0.042500445427168417,30
Ryan Nielsen,2,1257,26.889419252187732,-3.5801717746253177,0.10782770302265934,31
Jeff Ulbrich,4,2397,26.15769712140174,-4.333501015267238,-0.06115042395162412,32
Mike Caldwell,2,1388,26.080691642651296,-4.804332003061824,-0.014406222893697992,33
Gus Bradley,3,1838,24.863982589771492,-5.748997686453108,0.022201831693739595,34
Lou Anarumo,4,2614,24.292272379495035,-6.163368210361804,-0.008365526482571226,35
Steve Wilks,2,1232,23.21428571428569,-6.9514618019343795,0.022135635180241694,36
Jim Schwartz,3,1707,22.202694786174582,-8.784337389579132,-0.1219431230875838,37
DeMeco Ryans,3,2087,21.70579779587926,-9.835831894506713,-0.061798432075630676,38
Josh Boyer,1,741,20.647773279352226,-10.16191132819121,0.020486523476447888,39
Clint Hurtt,2,1274,19.85871271585556,-11.518006577643352,0.037686755934808774,40
Don Martindale,2,1311,18.459191456903127,-11.779420216753227,-0.013050690968183369,41
