caller,seasons,n,execution,design_resid,epa,execution_rank,design_rank,tip_resid,guess_xs,epa_play,quadrant
Joe Brady,3,2814,0.0026237742973067757,0.10308519152204099,0.1163597817211852,9,1,0.01332614462424179,3.3505591815462754,0.08366850669124531,great players AND design that adds
Zac Taylor,4,4258,-0.005237769335371799,0.07253933761879174,0.006272381963470785,33,2,0.002101760444166406,2.4572153654859807,0.02719219901903752,design carries ordinary players
Ben Johnson,4,4657,0.0037625326350220305,0.060686254883733484,0.07927209846251432,5,3,-0.0071745237861733655,-0.1495985108234031,0.08902964359146485,great players AND design that adds
Andy Reid,4,4842,0.0010446266395240595,0.049626810190002237,0.044275859135881265,12,4,-0.0026988808785871083,3.1192136875693315,0.12919366690227907,great players AND design that adds
Kyle Shanahan,4,4487,0.005884806167287273,0.04860552385065871,0.07243173491335941,2,5,0.001313237094941454,1.5298615659347423,0.054019119202328283,great players AND design that adds
Kliff Kingsbury,3,3285,-0.004869188296067566,0.04725616380132085,-0.007656386754471286,31,6,-0.008201828944688225,2.632947018437627,0.016760132716928933,design carries ordinary players
Liam Coen,2,2165,0.0037092966057890517,0.042035741784259194,0.05877543722013739,6,7,0.02015704697193682,1.154784362377714,0.07275715393969605,great players AND design that adds
Ken Dorsey,3,2505,-0.004173827709461858,0.04025167132650656,-0.006812906289796629,27,8,-0.002565248134235382,2.562386251304897,0.04139191527741148,design carries ordinary players
Todd Monken,3,3216,0.00684190151491988,0.03793295557006017,0.07476671886371464,1,9,0.01213418880093746,2.634112292848208,0.10010564164177374,great players AND design that adds
Mike McCarthy,2,2097,-0.0026894157003207685,0.033923320948935375,-0.0029472806604208695,23,10,-0.003310368355029369,1.822585560202312,0.030393139478096277,design carries ordinary players
Josh McDaniels,3,2707,-0.001854647432327188,0.026829614147238376,-0.005833663465059526,21,11,0.01517476489652112,2.1017186468150624,0.05595268359620959,design carries ordinary players
Sean McVay,4,4408,2.3220651333847052e-4,0.025407134018595803,0.013518171456871477,14,12,0.012291525742297391,1.902351528440856,0.04720696445014674,great players AND design that adds
Matt LaFleur,4,4266,0.0025073816221445173,0.025338708460281637,0.030795442032281954,10,13,-0.010351273578905484,1.6228479061838694,0.0896673267079576,great players AND design that adds
Mike Kafka,3,3194,-0.007477289813803212,0.021687463229822276,-0.07252398201333839,35,14,-0.008633621767058852,1.4803636980031114,-0.04126928358403381,design carries ordinary players
Pete Carmichael,2,2091,-0.004419093633091856,0.020547476260974792,-0.04714977967235273,30,15,0.00865712110282122,1.687208060583079,-0.03832084244890104,design carries ordinary players
Mike McDaniel,4,4009,-0.001972996594269848,0.017041473418357492,-0.015511840871349627,22,16,0.01403090694653416,1.344000152200345,0.022674553024854348,design carries ordinary players
Nick Caley,1,1202,-0.006040440575944471,0.015855542742341182,-0.05235653067493467,34,17,0.00847769592319488,2.6465853014065344,-0.06969890718958999,design carries ordinary players
Press Taylor,2,2020,-0.007772757708338048,0.011094941362167482,-0.07657425281889091,36,18,0.013526819176885169,2.6018757470014418,-0.04645163145795813,design carries ordinary players
Kellen Moore,4,4604,-4.441421764022627e-4,0.010433058168405947,-0.009280633686010651,15,19,0.003573720958640891,1.663883103237379,0.020538668622639592,great players AND design that adds
Greg Roman,3,3263,-0.0015167006882319859,0.0029149408538828594,-0.02774367054839885,18,20,0.005632566405301535,2.0560282395609746,0.025628946960256117,"good players, no design edge"
Drew Petzing,3,2974,-0.0016278359044534878,-0.013336662674892686,-0.03706729400155486,20,21,-0.007164224950632821,0.6680926703334398,-0.007943549945950125,"ordinary players, no design edge either"
Todd Downing,2,1620,-0.0035486704272664456,-0.01889465381794668,-0.07989602992512332,26,22,-0.002481853922500301,1.2016615613555413,-0.013451679881499432,"ordinary players, no design edge either"
Shane Waldron,3,2588,-0.0011826320505461613,-0.02090973918096967,-0.04595713627788633,17,23,0.0049282695974291494,1.7845656666923186,-0.008163096404732662,"good players, no design edge"
Bobby Slowik,2,2279,-0.0015359963834350426,-0.022672462457503227,-0.06069659916259031,19,24,0.012714814464794704,1.0580935366732231,-0.01763528368039392,"good players, no design edge"
Matt Canada,2,1709,-0.002835766287998312,-0.02497311115525516,-0.07069638491956427,24,25,7.704931946299136e-4,0.9127841615908032,-0.04024134235477477,"ordinary players, no design edge either"
Klint Kubiak,3,2576,0.0013046141222557504,-0.028174620438249854,-0.039319223757928685,11,26,-0.006456453399088275,1.1222102871179305,0.005569328838053005,"good players, no design edge"
Zac Robinson,2,2042,0.004665749843075597,-0.02965173341101791,-0.003659489937673937,3,27,0.03653254418728829,2.603605923683577,0.03546687747421563,"good players, no design edge"
Shane Steichen,4,4364,0.00466420295569206,-0.03632010660868367,-0.0013763235828198584,4,28,-0.012103408946162157,2.709690391196706,0.02927098568756135,"good players, no design edge"
Dave Canales,3,3103,-9.708588095706061e-4,-0.03763752134769048,-0.0643637287313412,16,29,0.01294820978217445,0.6750456291634874,-0.031191264007549444,"good players, no design edge"
Kevin O'Connell,4,4192,3.8821711199924316e-4,-0.045821010504090466,-0.05281099442189083,13,30,0.012311319664266084,1.8943229700266797,-0.056778758986921335,"good players, no design edge"
Sean Payton,3,3207,0.002810527343125735,-0.04588200799560067,-0.03656576127775123,8,31,0.016735830864744523,1.5786117579263217,0.04734719374530246,"good players, no design edge"
Scott Turner,2,1604,-0.004333608370243786,-0.055757735340955975,-0.11303809440655267,29,32,-0.0020114171152225443,1.1311682057779222,-0.07211215590952308,"ordinary players, no design edge either"
Luke Getsy,3,2523,-0.003127112216731317,-0.06800703650535248,-0.11696041365985745,25,33,-0.004598971780718201,-0.0851845069990959,-0.07202741622628646,"ordinary players, no design edge either"
Arthur Smith,4,4192,0.0029025626662875412,-0.07134820458071502,-0.06337984283319195,7,34,-0.005839228905398685,2.126984053357431,0.005886612454003612,"good players, no design edge"
Kevin Stefanski,4,3176,-0.005000997787596698,-0.07196586470224066,-0.14669765119548764,32,35,-0.009100513581138805,1.2576902279869204,-0.020902244098079416,"ordinary players, no design edge either"
Bo Hardegree,2,1283,-0.0042406299216940805,-0.08743446317902152,-0.13774487369063013,28,36,NA,NA,NA,"ordinary players, no design edge either"
Nathaniel Hackett,3,1860,-0.00912559669103517,-0.11841335444335928,-0.22842098762123514,37,37,-0.001984406758328053,0.32281240625767205,-0.10548819552193084,"ordinary players, no design edge either"
