claim,metric,team,team_role,scope,season,def_caller,n,value,league_avg,rank_of_32,rank_direction,verdict
1 nickel rate,nickel_rate_pct,SEA,primary,pooled,NA,"Seattle 2024-2025 (Macdonald, HC/DC)",2037,73.5886,62.5608,5,1 = highest rate,"confirmed, a lot"
1 nickel rate,nickel_rate_pct,BAL,context,pooled,NA,"Baltimore 2022-2023 (Macdonald, DC)",2073,69.9469,64.0773,10,1 = highest rate,NA
1 nickel rate,nickel_rate_pct,SF,secondary,pooled,NA,"San Francisco 2022-2025 (mis-attribution, kept for reference only)",3861,74.7216,63.3278,2,1 = highest rate,NA
1 nickel rate,nickel_rate_pct,SEA,primary,2024,2024,Mike Macdonald,1043,70.5657,NA,12,1 = highest rate,NA
1 nickel rate,nickel_rate_pct,SEA,primary,2025,2025,Mike Macdonald,994,76.7606,NA,2,1 = highest rate,NA
1 nickel rate,nickel_rate_pct,BAL,context,2022,2022,Mike Macdonald,1027,60.37,NA,22,1 = highest rate,NA
1 nickel rate,nickel_rate_pct,BAL,context,2023,2023,Mike Macdonald,1046,79.3499,NA,5,1 = highest rate,NA
1 nickel rate,nickel_rate_pct,SF,secondary,2022,2022,DeMeco Ryans,942,69.1083,NA,9,1 = highest rate,NA
1 nickel rate,nickel_rate_pct,SF,secondary,2023,2023,Steve Wilks,956,79.8117,NA,4,1 = highest rate,NA
1 nickel rate,nickel_rate_pct,SF,secondary,2024,2024,Nick Sorensen,979,70.9908,NA,11,1 = highest rate,NA
1 nickel rate,nickel_rate_pct,SF,secondary,2025,2025,Robert Saleh,984,78.8618,NA,1,1 = highest rate,NA
2 zone rate,zone_rate_pct,SEA,primary,pooled,NA,"Seattle 2024-2025 (Macdonald, HC/DC)",1217,75.7601,73.5633,16,1 = highest rate,"not clearly confirmed pooled (dead average); confirmed in 2025 alone, not in 2024"
2 zone rate,zone_rate_pct,BAL,context,pooled,NA,"Baltimore 2022-2023 (Macdonald, DC)",1245,75.743,74.3921,15,1 = highest rate,NA
2 zone rate,zone_rate_pct,SF,secondary,pooled,NA,"San Francisco 2022-2025 (mis-attribution, kept for reference only)",2273,78.2226,73.9651,10,1 = highest rate,NA
2 zone rate,zone_rate_pct,SEA,primary,2024,2024,Mike Macdonald,597,69.5142,NA,21,1 = highest rate,NA
2 zone rate,zone_rate_pct,SEA,primary,2025,2025,Mike Macdonald,620,81.7742,NA,6,1 = highest rate,NA
2 zone rate,zone_rate_pct,BAL,context,2022,2022,Mike Macdonald,600,76.5,NA,13,1 = highest rate,NA
2 zone rate,zone_rate_pct,BAL,context,2023,2023,Mike Macdonald,645,75.0388,NA,19,1 = highest rate,NA
2 zone rate,zone_rate_pct,SF,secondary,2022,2022,DeMeco Ryans,577,79.896,NA,9,1 = highest rate,NA
2 zone rate,zone_rate_pct,SF,secondary,2023,2023,Steve Wilks,613,77.3246,NA,13,1 = highest rate,NA
2 zone rate,zone_rate_pct,SF,secondary,2024,2024,Nick Sorensen,520,75.7692,NA,14,1 = highest rate,NA
2 zone rate,zone_rate_pct,SF,secondary,2025,2025,Robert Saleh,563,79.7513,NA,12,1 = highest rate,NA
3a blitz frequency,blitz_rate_pct,SEA,primary,pooled,NA,"Seattle 2024-2025 (Macdonald, HC/DC)",1291,22.6181,26.2499,11,1 = fewest blitzes,"confirmed, mildly"
3a blitz frequency,blitz_rate_pct,BAL,context,pooled,NA,"Baltimore 2022-2023 (Macdonald, DC)",1334,22.039,26.3688,11,1 = fewest blitzes,NA
3a blitz frequency,blitz_rate_pct,SF,secondary,pooled,NA,"San Francisco 2022-2025 (mis-attribution, kept for reference only)",2389,21.599,26.2929,9,1 = fewest blitzes,NA
3a blitz frequency,blitz_rate_pct,SEA,primary,2024,2024,Mike Macdonald,637,22.9199,NA,12,1 = fewest blitzes,NA
3a blitz frequency,blitz_rate_pct,SEA,primary,2025,2025,Mike Macdonald,654,22.3242,NA,10,1 = fewest blitzes,NA
3a blitz frequency,blitz_rate_pct,BAL,context,2022,2022,Mike Macdonald,648,24.2284,NA,14,1 = fewest blitzes,NA
