pos_b,n,v,se,who,view,cur,cur_f
"1st snap
of the look",2259,0.12636669802622713,0.029258194700392412,Shanahan,all of his plays,epa,EPA per play
2nd,970,0.11210105308324073,0.04551744014273603,Shanahan,all of his plays,epa,EPA per play
3rd,382,0.1111704385173055,0.06569089197392754,Shanahan,all of his plays,epa,EPA per play
4th-5th,293,0.07314303675853102,0.08225323786417216,Shanahan,all of his plays,epa,EPA per play
6th+,117,0.017528532444714362,0.13594514576705916,Shanahan,all of his plays,epa,EPA per play
"1st snap
of the look",788,0.0758758972162792,0.04766993813236874,Shanahan,his signature package,epa,EPA per play
2nd,398,0.11812779560968678,0.06134765787303915,Shanahan,his signature package,epa,EPA per play
3rd,145,0.28350192321241624,0.0936243228799555,Shanahan,his signature package,epa,EPA per play
4th-5th,100,0.052364358194552006,0.12399615363901528,Shanahan,his signature package,epa,EPA per play
6th+,10,-0.29585227776301,0.2820493263024815,Shanahan,his signature package,epa,EPA per play
"1st snap
of the look",1177,0.039327370379981484,0.0367677210943154,McVay,all of his plays,epa,EPA per play
2nd,798,-0.0061026987732962015,0.04528213525378198,McVay,all of his plays,epa,EPA per play
3rd,572,0.15904788905931105,0.0644988019394526,McVay,all of his plays,epa,EPA per play
4th-5th,672,-0.02149611133928763,0.05208627742394357,McVay,all of his plays,epa,EPA per play
6th+,821,0.04214862774179917,0.050790561024331674,McVay,all of his plays,epa,EPA per play
"1st snap
of the look",132,0.14876731694294384,0.09261522139064927,McVay,his signature package,epa,EPA per play
2nd,72,0.17942517037434602,0.1222940833580299,McVay,his signature package,epa,EPA per play
3rd,33,0.2381061233200277,0.24216043665790984,McVay,his signature package,epa,EPA per play
4th-5th,32,0.2907334369839189,0.174519844639885,McVay,his signature package,epa,EPA per play
6th+,18,0.6082352941114949,0.2237290179626566,McVay,his signature package,epa,EPA per play
"1st snap
of the look",2400,0.08870956103196996,0.02698898946177024,Ben Johnson,all of his plays,epa,EPA per play
2nd,942,0.14084266112027677,0.049393826512717655,Ben Johnson,all of his plays,epa,EPA per play
3rd,412,0.16050247803724688,0.07562479089882056,Ben Johnson,all of his plays,epa,EPA per play
4th-5th,335,0.13334240998627753,0.07676132281477493,Ben Johnson,all of his plays,epa,EPA per play
6th+,163,0.2672656310254991,0.11286581395771943,Ben Johnson,all of his plays,epa,EPA per play
