pos_b,n,adj,se,who,view,metric
"1st snap
of the look",2264,0.12689970784077334,0.029198314530110497,"Shanahan, 21 personnel",every play he called,epa
2nd,970,0.11141043246636687,0.045553617814842705,"Shanahan, 21 personnel",every play he called,epa
3rd,380,0.11463863812155167,0.06601667681987808,"Shanahan, 21 personnel",every play he called,epa
4th-5th,290,0.0720252209557642,0.08289168485166251,"Shanahan, 21 personnel",every play he called,epa
6th+,117,0.01963315581788805,0.1361784328436793,"Shanahan, 21 personnel",every play he called,epa
"1st snap
of the look",788,0.07550023102916181,0.04764197003415624,"Shanahan, 21 personnel",only his signature package,epa
2nd,397,0.11747919117991652,0.06154381807363326,"Shanahan, 21 personnel",only his signature package,epa
3rd,145,0.27928467292296744,0.09338918314837631,"Shanahan, 21 personnel",only his signature package,epa
4th-5th,99,0.06363329870582511,0.12434593482776847,"Shanahan, 21 personnel",only his signature package,epa
6th+,10,-0.2940267019668482,0.2819412392077181,"Shanahan, 21 personnel",only his signature package,epa
"1st snap
of the look",1178,0.039238944410966876,0.03669693642864251,"McVay, 13 personnel",every play he called,epa
2nd,798,-0.00816083047590705,0.045267624306623844,"McVay, 13 personnel",every play he called,epa
3rd,572,0.15709221310490182,0.06446837048747457,"McVay, 13 personnel",every play he called,epa
4th-5th,671,-0.020235075253584017,0.05209388521384968,"McVay, 13 personnel",every play he called,epa
6th+,821,0.04687445231062493,0.05073452877364259,"McVay, 13 personnel",every play he called,epa
"1st snap
of the look",132,0.15054292283318244,0.09261870496208822,"McVay, 13 personnel",only his signature package,epa
2nd,72,0.17734527591044624,0.12214873647495972,"McVay, 13 personnel",only his signature package,epa
3rd,33,0.24196185004153434,0.2427932571125859,"McVay, 13 personnel",only his signature package,epa
4th-5th,32,0.2918048826256466,0.1727265460344331,"McVay, 13 personnel",only his signature package,epa
6th+,18,0.6019174984302582,0.22155444145893818,"McVay, 13 personnel",only his signature package,epa
"1st snap
of the look",2524,0.090898115584753,0.026338596272311745,"Ben Johnson, 12 personnel",every play he called,epa
2nd,903,0.15312695309868235,0.051188879780056325,"Ben Johnson, 12 personnel",every play he called,epa
3rd,378,0.1658500067457386,0.07802487928616565,"Ben Johnson, 12 personnel",every play he called,epa
4th-5th,299,0.07567582497338857,0.08052781167455866,"Ben Johnson, 12 personnel",every play he called,epa
6th+,148,0.3057410970899124,0.12092558444186657,"Ben Johnson, 12 personnel",every play he called,epa
"1st snap
of the look",730,0.1412613247418761,0.04744951129822052,"Ben Johnson, 12 personnel",only his signature package,epa
2nd,205,0.07698947551339765,0.0921551524378031,"Ben Johnson, 12 personnel",only his signature package,epa
3rd,50,-0.2630297670799408,0.1918156412397877,"Ben Johnson, 12 personnel",only his signature package,epa
4th-5th,22,0.48582805893625974,0.20072551582242149,"Ben Johnson, 12 personnel",only his signature package,epa
