season,who,what,v,se,n3
2022,Shanahan,play-family sequence information (bits beyond situation),0.008844237771797214,0.022711283205964983,NA
2022,league,play-family sequence information (bits beyond situation),0.0379999957509458,0.0017102309438868353,NA
2022,Shanahan,hold rate in 21 personnel (next snap stays 21),0.47249190938511326,NA,NA
2022,league,hold rate in 21 personnel (next snap stays 21),0.3734388009991674,NA,NA
2022,Shanahan,3rd straight snap of 21: EPA vs league at the same depth,0.14890604737476593,0.141127601426294,NA
2022,league,3rd straight snap of 21: EPA vs league at the same depth,0.07943039525384997,NA,NA
2022,Shanahan,share of snaps in 21 personnel,0.3326633165829146,NA,NA
2022,league,share of snaps in 21 personnel,0.09512599969820432,NA,NA
2023,Shanahan,play-family sequence information (bits beyond situation),0.009080459913709982,0.02177095417222175,NA
2023,league,play-family sequence information (bits beyond situation),0.03390950927696404,0.0016261555381192829,NA
2023,Shanahan,hold rate in 21 personnel (next snap stays 21),0.4879518072289157,NA,NA
2023,league,hold rate in 21 personnel (next snap stays 21),0.3673289183222958,NA,NA
2023,Shanahan,3rd straight snap of 21: EPA vs league at the same depth,0.46463429417452223,0.21191906253552045,NA
2023,league,3rd straight snap of 21: EPA vs league at the same depth,0.18104654785828211,NA,NA
2023,Shanahan,share of snaps in 21 personnel,0.3731808731808732,NA,NA
2023,league,share of snaps in 21 personnel,0.08079342041606193,NA,NA
2024,Shanahan,play-family sequence information (bits beyond situation),0.03991918346558232,0.02171462465067589,NA
2024,league,play-family sequence information (bits beyond situation),0.03405774179749299,0.0022813453498466705,NA
2024,Shanahan,hold rate in 21 personnel (next snap stays 21),0.44837758112094395,NA,NA
2024,league,hold rate in 21 personnel (next snap stays 21),0.31007751937984496,NA,NA
2024,Shanahan,3rd straight snap of 21: EPA vs league at the same depth,0.20870675586086007,0.2239879316654038,NA
2024,league,3rd straight snap of 21: EPA vs league at the same depth,-0.13223207736012202,NA,NA
2024,Shanahan,share of snaps in 21 personnel,0.3565737051792829,NA,NA
2024,league,share of snaps in 21 personnel,0.06764624341558081,NA,NA
2025,Shanahan,play-family sequence information (bits beyond situation),0.045320261395288886,0.021043135239705486,NA
2025,league,play-family sequence information (bits beyond situation),0.03064591518054366,0.0018357095011069873,NA
2025,Shanahan,hold rate in 21 personnel (next snap stays 21),0.5216216216216216,NA,NA
2025,league,hold rate in 21 personnel (next snap stays 21),0.3202115158636898,NA,NA
2025,Shanahan,3rd straight snap of 21: EPA vs league at the same depth,0.2982719813293557,0.15723729621809016,NA
2025,league,3rd straight snap of 21: EPA vs league at the same depth,0.10940538310058953,NA,NA
2025,Shanahan,share of snaps in 21 personnel,0.37075471698113205,NA,NA
2025,league,share of snaps in 21 personnel,0.06978421778948689,NA,NA
