def_caller,n_dropbacks,sim_usage_actual,sim_usage_resid,sim_usage_rank,n_sim,free_rate_sim,n_standard,free_rate_standard,delta,delta_rank
Bill Belichick,1275,31.69,21.89,1,404,7.92,160,5,2.92,40
Jack Del Rio,1068,27.9,18.04,2,298,5.7,384,2.34,3.36,34
Nick Rallis,1776,25.11,16.07,3,446,5.61,622,2.89,2.71,41
Joe Whitt Jr.,984,23.68,14.9,4,233,8.58,413,2.42,6.16,23
Todd Bowles,2759,20.12,10.59,5,555,7.93,844,2.96,4.97,25
Anthony Weaver,1154,17.76,8.68,6,205,11.71,596,3.52,8.18,16
Ryan Nielsen,1259,17.32,8.16,7,218,5.96,640,2.81,3.15,37
Vic Fangio,2057,14.78,5.57,8,304,9.21,1218,5.01,4.2,29
Brian Flores,1905,14.07,4.73,9,268,7.46,551,3.45,4.01,30
Jeff Hafley,1292,13.16,4.07,10,170,10.59,835,3.47,7.12,19
Dennis Allen,2195,12.94,3.36,11,284,6.34,1210,3.14,3.2,36
Raheem Morris,1271,12.9,3.2,12,164,8.54,465,4.95,3.59,33
Teryl Austin,2651,11.58,2.03,13,307,5.21,1301,2.15,3.06,38
Zach Orr,1394,10.33,1.17,14,144,11.81,855,3.16,8.65,13
Chris Shula,1403,9.55,0.38,15,134,8.21,910,4.51,3.7,32
Steve Spagnuolo,2914,9.85,0.29,16,287,6.27,1097,1.19,5.09,24
Aaron Glenn,2049,9.27,-0.16,17,190,6.32,641,1.56,4.76,26
Dennard Wilson,1126,8.26,-0.65,18,93,19.35,776,3.48,15.88,3
Mike Macdonald,2851,9.01,-0.66,19,257,16.73,1624,4.06,12.67,6
Ejiro Evero,2336,8.82,-0.71,20,206,5.83,822,2.55,3.27,35
Don Martindale,1315,7.68,-1.88,21,101,8.91,440,2.73,6.18,22
Jesse Minter,1248,7.13,-2.3,22,89,15.73,781,4.35,11.38,8
Vance Joseph,2714,6.78,-2.65,23,184,7.61,935,3.21,4.4,28
Sean McDermott,1912,6.33,-2.92,24,121,14.05,1276,2.9,11.15,11
Lou Anarumo,2631,6.46,-3.26,25,170,11.18,764,2.75,8.43,14
Brandon Staley,1731,6.24,-3.59,26,108,13.89,861,2.67,11.22,10
Shane Bowen,2422,5.7,-3.82,27,138,7.25,1431,2.59,4.66,27
Ed Donatell,723,6.36,-3.85,28,46,17.39,503,2.78,14.61,4
Clint Hurtt,1276,5.88,-4.12,29,75,9.33,566,2.47,6.86,21
Patrick Graham,2464,4.75,-4.66,30,117,11.11,1306,3.22,7.9,17
Mike Caldwell,1393,4.81,-4.95,31,67,14.93,704,2.98,11.94,7
Josh Boyer,743,4.71,-5.43,32,35,22.86,182,4.4,18.46,2
Joe Woods,875,3.66,-6.08,33,32,9.38,480,2.5,6.88,20
Dan Quinn,1504,3.59,-6.44,34,54,9.26,889,6.3,2.96,39
Jim Schwartz,1716,2.91,-6.53,35,50,18,1159,3.54,14.46,5
Jeff Ulbrich,2408,2.66,-7.01,36,64,12.5,1497,3.07,9.43,12
Matt Eberflus,1579,2.34,-7.27,37,37,10.81,738,2.44,8.37,15
Steve Wilks,1238,1.7,-7.66,38,21,14.29,714,2.94,11.34,9
Joe Barry,1204,1.58,-8.22,39,19,10.53,727,3.16,7.36,18
Gus Bradley,1870,0.86,-8.73,40,16,6.25,1022,2.54,3.71,31
DeMeco Ryans,2089,0.62,-9.15,41,14,42.86,1204,3.07,39.78,1
