def_caller,n_pd,stunt_pd,n_all,stunt_all,rank_pd
Dan Quinn,570,49.473684210526315,1410,36.666666666666664,1
Chris Shula,487,46.201232032854215,1204,32.9734219269103,2
Jeff Ulbrich,1032,44.76744186046512,2408,31.1046511627907,3
Jeff Hafley,493,43.81338742393509,1215,30.04115226337449,4
Joe Woods,376,42.819148936170215,875,28.799999999999997,5
Todd Bowles,1094,42.68738574040219,2601,30.526720492118415,6
Mike Macdonald,1060,41.9811320754717,2625,28.19047619047619,7
Dennard Wilson,461,41.86550976138829,1126,26.73179396092362,8
Raheem Morris,484,41.52892561983471,1241,25.70507655116841,9
Jesse Minter,492,41.05691056910569,1169,25.66295979469632,10
Anthony Weaver,458,41.04803493449782,1154,27.729636048526864,11
Dennis Allen,873,40.549828178694156,2101,30.414088529271776,12
Matt Eberflus,667,40.479760119940025,1579,30.778974034198857,13
Patrick Graham,987,39.31104356636271,2464,27.637987012987015,14
Vic Fangio,719,38.80389429763561,1816,25.6057268722467,15
Jim Schwartz,765,38.56209150326798,1695,26.48967551622419,16
Mike Caldwell,528,38.446969696969695,1307,24.942616679418517,17
Brandon Staley,711,38.25597749648382,1681,24.747174301011302,18
Teryl Austin,1079,37.998146431881366,2556,27.269170579029733,19
Joe Whitt Jr.,372,37.634408602150536,889,25.196850393700785,20
DeMeco Ryans,857,37.57292882147025,1980,25.353535353535356,21
Aaron Glenn,770,37.4025974025974,1891,25.594923320994184,22
Kelvin Sheppard,254,37.40157480314961,607,28.336079077429982,23
Jack Del Rio,452,37.389380530973455,1068,26.591760299625467,24
Gus Bradley,777,37.323037323037326,1870,21.97860962566845,25
Clint Hurtt,543,37.01657458563536,1244,26.04501607717042,26
Bill Belichick,540,36.851851851851855,1275,27.137254901960784,27
Jimmy Lake,252,35.714285714285715,635,24.7244094488189,28
Zach Orr,530,35.660377358490564,1335,22.02247191011236,29
Vance Joseph,1113,35.22012578616352,2607,25.85347142309168,30
Nick Rallis,713,34.22159887798036,1776,23.704954954954953,31
Josh Boyer,293,33.44709897610921,695,24.316546762589926,32
Steve Wilks,451,33.25942350332594,1105,22.081447963800905,33
Sean McDermott,716,33.24022346368715,1677,23.85211687537269,34
Ryan Nielsen,548,33.21167883211679,1259,22.319301032565527,35
Shane Bowen,1000,33.1,2422,22.50206440957886,36
Ejiro Evero,942,33.01486199575371,2293,20.540776275621457,37
Joe Barry,451,32.59423503325942,1108,25.72202166064982,38
Lou Anarumo,1009,31.41724479682854,2508,22.248803827751196,39
Brian Flores,774,29.58656330749354,1876,23.08102345415778,40
Ed Donatell,264,28.40909090909091,679,20.618556701030926,41
Don Martindale,500,27.800000000000004,1249,18.815052041633308,42
Steve Spagnuolo,1027,20.545277507302824,2512,14.928343949044587,43
Jonathan Gannon,274,20.072992700729927,619,12.439418416801292,44
