def_caller,n,st_reg,n_reg,st_blitz,n_blitz,r_reg,r_blitz
Vance Joseph,2607,22.878876535985956,1709,31.514476614699333,898,25,12
Mike Macdonald,2625,29.328102010789603,2039,24.2320819112628,586,3,34
Lou Anarumo,2508,19.937369519832984,1916,29.72972972972973,592,32,19
Joe Woods,875,28.994082840236686,676,28.14070351758794,199,4,24
Dan Quinn,1410,37.162837162837164,1001,35.45232273838631,409,1,7
Ejiro Evero,2293,19.820397690827456,1559,22.070844686648503,734,33,38
Aaron Glenn,1891,18.48414539829853,1293,40.96989966555184,598,36,2
Joe Barry,1108,26.46239554317549,718,24.358974358974358,390,13,33
Gus Bradley,1870,17.011642949547216,1546,45.67901234567901,324,37,1
Mike Caldwell,1307,22.693531283138917,943,30.76923076923077,364,26,14
Steve Spagnuolo,2512,12.204951065054692,1737,21.032258064516128,775,39,39
Raheem Morris,1241,25.226244343891402,884,26.89075630252101,357,18,27
Brandon Staley,1681,22.495755517826826,1178,30.019880715705767,503,28,18
Patrick Graham,2464,27.641408751334044,1874,27.627118644067792,590,10,25
Bill Belichick,1275,25.830653804930332,933,30.701754385964914,342,16,15
Dennis Allen,2101,28.816676885346414,1631,35.95744680851064,470,8,5
Don Martindale,1249,16.02836879432624,705,22.426470588235293,544,38,37
Jeff Ulbrich,2408,28.913043478260867,1840,38.20422535211267,568,7,3
Teryl Austin,2556,26.908292147171885,1821,28.163265306122447,735,11,23
Clint Hurtt,1244,26.095617529880478,1004,25.833333333333336,240,15,28
DeMeco Ryans,1980,22.192513368983956,1496,35.12396694214876,484,29,8
Todd Bowles,2601,28.511655708308425,1673,34.15948275862069,928,9,10
Shane Bowen,2422,21.65058949624866,1866,25.359712230215827,556,30,31
Jack Del Rio,1068,25.158831003811944,787,30.604982206405694,281,19,17
Nick Rallis,1776,23.104693140794225,1385,25.831202046035806,391,24,29
Ryan Nielsen,1259,19.76630963972736,1027,33.62068965517241,232,34,11
Sean McDermott,1677,23.62264150943396,1325,24.71590909090909,352,23,32
Jim Schwartz,1695,26.84729064039409,1218,25.57651991614256,477,12,30
Vic Fangio,1816,24.89768076398363,1466,28.57142857142857,350,21,22
Brian Flores,1876,22.504892367906066,1022,23.770491803278688,854,27,35
Steve Wilks,1105,19.059107358262967,829,31.15942028985507,276,35,13
Matt Eberflus,1579,28.967254408060455,1191,36.340206185567006,388,5,4
Zach Orr,1335,20.113851992409867,1054,29.181494661921707,281,31,20
Jeff Hafley,1215,28.920570264765782,982,34.763948497854074,233,6,9
Chris Shula,1204,33.96029258098224,957,29.1497975708502,247,2,21
Jesse Minter,1169,25.13721185510428,911,27.51937984496124,258,20,26
Anthony Weaver,1154,24.822695035460992,846,35.714285714285715,308,22,6
Dennard Wilson,1126,25.626423690205012,878,30.64516129032258,248,17,16
Joe Whitt Jr.,889,26.158940397350992,604,23.157894736842106,285,14,36
