game,coach,qtr,time,ydstogo,yfog,score_differential,si,peer_go
CLE-LV wk12,Kevin Stefanski,4,00:59,2,71,14,95.5,37
CLE-CIN wk1,Kevin Stefanski,4,09:30,7,58,-1,51,36
LAC-DEN wk3,Jim Harbaugh,4,07:51,10,59,-7,35.8,36
PIT-CLE wk17,Mike Tomlin,4,09:51,5,54,-4,35.7,53
DET-NYG wk12,Dan Campbell,4,09:54,9,56,-3,34.1,36
LV-HOU wk16,Pete Carroll,4,13:46,3,54,-2,33.1,53
TB-LA wk12,Todd Bowles,4,05:33,7,55,-27,32.2,63
CAR-JAX wk1,Dave Canales,2,03:51,8,61,-7,30.8,8
WAS-DEN wk13,Dan Quinn,1,04:43,8,61,-3,30.8,8
TEN-IND wk8,Brian Callahan,3,11:30,3,58,-10,27,72
GB-PHI wk10,Matt LaFleur,4,12:53,11,60,-3,26.8,36
CHI-NYG wk10,Ben Johnson,2,11:29,8,64,0,26.6,2
HOU-SEA wk7,DeMeco Ryans,3,08:58,6,58,-11,21,14
KC-DAL wk13,Andy Reid,3,07:12,4,56,-3,20.5,60
PIT-CLE wk17,Mike Tomlin,4,05:01,6,47,-4,20.4,36
TEN-DEN wk1,Brian Callahan,4,04:16,10,54,-8,20.1,36
CLE-BAL wk2,Kevin Stefanski,2,08:12,8,60,-10,19.3,14
DEN-LV wk14,Sean Payton,2,10:10,6,60,0,19.3,4
SEA-TB wk5,Mike Macdonald,2,11:29,5,56,-6,18.6,60
BUF-NE wk15,Sean McDermott,1,09:17,5,56,-7,18.6,60
HOU-TEN wk11,DeMeco Ryans,2,02:59,15,62,-3,18.5,8
KC-LAC wk1,Andy Reid,1,06:10,9,58,-7,17.8,8
LAC-JAX wk11,Jim Harbaugh,2,00:29,7,58,-8,17.8,8
LAC-PHI wk14,Jim Harbaugh,4,12:02,3,49,-3,17,53
NYJ-CIN wk8,Aaron Glenn,3,12:32,6,57,-11,16.8,14
PIT-CIN wk7,Mike Tomlin,4,05:26,4,45,-6,16.2,53
LV-KC wk7,Pete Carroll,4,02:44,1,13,-31,16.1,56
BUF-NE wk15,Sean McDermott,2,10:39,8,59,-14,16.1,14
LAC-NYG wk4,Jim Harbaugh,1,05:47,5,55,-7,15.5,12
TB-BUF wk11,Todd Bowles,1,10:46,8,61,0,15.4,4
CIN-DEN wk4,Zac Taylor,4,03:00,3,42,-25,15.3,88
DET-NYG wk12,Dan Campbell,3,10:56,8,57,-3,15.1,8
WAS-GB wk2,Dan Quinn,2,12:30,9,57,-7,14.9,8
ATL-CAR wk3,Raheem Morris,2,10:52,8,57,-7,14.9,8
playoffs DEN-NE,Sean Payton,4,08:28,6,47,-3,14.8,36
CLE-MIA wk7,Kevin Stefanski,3,10:33,4,62,18,13.9,32
JAX-DEN wk16,Liam Coen,4,01:44,5,62,14,13.9,15
NYJ-JAX wk15,Aaron Glenn,2,10:50,9,58,-14,13.4,14
ATL-TB wk15,Raheem Morris,3,04:34,20,59,-6,13.3,8
DEN-JAX wk16,Sean Payton,2,01:55,4,54,-4,12.9,12
CHI-LV wk4,Ben Johnson,2,10:30,26,60,-4,12.8,8
JAX-SF wk4,Liam Coen,1,01:48,13,60,-3,12.8,8
CHI-WAS wk6,Ben Johnson,4,06:12,2,17,-2,12.5,25
NYG-WAS wk1,Brian Daboll,4,12:14,4,49,-8,12.5,53
NYJ-DEN wk6,Aaron Glenn,3,05:13,8,55,-1,12.4,3
BUF-PHI wk17,Sean McDermott,2,11:07,8,56,-7,12.4,8
CHI-DET wk18,Ben Johnson,1,03:49,9,56,-3,12.4,8
SUPER BOWL NE-SEA,Mike Vrabel,1,07:18,9,56,-3,12.4,8
CAR-BUF wk8,Dave Canales,4,03:26,3,26,-31,12.1,58
NE-LV wk1,Mike Vrabel,4,13:40,5,50,-7,12.1,53
KC-JAX wk5,Andy Reid,4,13:58,10,56,-7,11.7,36
DAL-DEN wk8,Brian Schottenheimer,4,00:35,6,33,-20,11.7,37
MIA-TB wk17,Mike McDaniel,4,02:00,4,61,10,11.6,15
NYG-CHI wk10,Brian Daboll,4,06:20,6,61,10,11.6,2
HOU-LA wk1,DeMeco Ryans,4,09:26,1,26,-5,11.5,78
TEN-HOU wk4,Brian Callahan,4,04:04,2,22,-26,11.4,73
WAS-DAL wk17,Dan Quinn,2,09:20,7,57,-11,11.2,14
NYJ-DAL wk5,Aaron Glenn,1,02:58,5,57,0,11.2,55
TB-BUF wk11,Todd Bowles,4,07:28,2,39,-5,11.1,35
PHI-DEN wk5,Nick Sirianni,4,05:13,8,45,-1,11,36
NYG-KC wk3,Brian Daboll,1,00:20,6,53,-3,10.8,3
PIT-CLE wk17,Mike Tomlin,2,08:38,6,53,-7,10.8,3
CAR-NE wk4,Dave Canales,1,03:05,11,59,-1,10.7,8
NYG-DEN wk7,Brian Daboll,1,12:53,8,59,0,10.7,4
JAX-SEA wk6,Liam Coen,4,05:52,6,41,-8,10.7,36
ATL-IND wk10,Raheem Morris,1,02:52,9,55,-6,10.3,3
CIN-CLE wk18,Zac Taylor,4,03:56,15,50,-5,10,36
NO-BUF wk4,Kellen Moore,3,12:59,3,51,-4,10,12
ATL-NYJ wk13,Raheem Morris,2,05:47,3,51,-7,10,12
NO-MIA wk13,Kellen Moore,1,02:08,3,51,-7,10,12
WAS-PHI wk16,Dan Quinn,4,06:44,6,44,-11,9.8,63
WAS-DEN wk13,Dan Quinn,4,08:48,2,35,-3,9.8,35
WAS-DAL wk17,Dan Quinn,4,11:38,8,50,-7,9.7,36
NO-SEA wk3,Kellen Moore,4,02:46,4,40,-31,9.7,58
CLE-CHI wk15,Kevin Stefanski,2,02:00,17,60,-14,9.6,14
SF-CLE wk13,Kyle Shanahan,2,06:28,4,60,7,9.6,46
CLE-BAL wk11,Kevin Stefanski,4,11:01,6,60,3,9.6,2
CLE-GB wk3,Kevin Stefanski,1,10:34,5,56,0,9.3,55
NYJ-ATL wk13,Aaron Glenn,2,14:11,6,56,0,9.3,4
KC-LV wk7,Andy Reid,4,13:23,7,62,31,9.3,2
BUF-ATL wk6,Sean McDermott,4,10:24,5,44,-7,9.2,53
LV-DEN wk10,Pete Carroll,4,08:42,16,52,-3,9.2,36
PIT-CHI wk12,Mike Tomlin,4,02:01,9,23,-3,9.2,28
TEN-DEN wk1,Brian Callahan,4,11:53,1,34,-1,9.1,78
CIN-CLE wk18,Zac Taylor,3,02:02,10,56,-5,9.1,8
playoffs LAC-NE,Jim Harbaugh,3,05:18,4,51,-3,8.9,12
BAL-CLE wk11,John Harbaugh,3,05:13,14,57,-6,8.9,8
CIN-CLE wk1,Zac Taylor,2,09:36,7,58,0,8.9,4
SF-ATL wk7,Kyle Shanahan,1,08:41,9,58,0,8.9,4
LV-DEN wk10,Pete Carroll,1,09:20,8,58,0,8.9,4
CIN-MIN wk3,Zac Taylor,4,03:53,4,15,-38,8.7,46
KC-JAX wk5,Andy Reid,1,09:38,2,54,0,8.6,14
NO-TB wk8,Kellen Moore,2,04:05,7,54,-7,8.6,3
ARI-SEA wk10,Jonathan Gannon,4,04:09,5,25,-22,8.5,58
MIN-ATL wk2,Kevin O'Connell,4,09:47,1,28,-9,8.4,91
NYG-KC wk3,Brian Daboll,3,04:46,4,52,-10,8.3,29
playoffs SF-SEA,Kyle Shanahan,4,04:30,6,35,-35,8.2,37
CLE-CIN wk18,Kevin Stefanski,4,10:42,5,59,5,8,15
LA-ATL wk17,Sean McVay,2,04:22,11,59,-14,8,14
NYJ-BUF wk18,Aaron Glenn,2,00:36,14,59,-21,8,14
DET-CIN wk5,Dan Campbell,2,03:54,6,59,14,8,7
GB-ARI wk7,Matt LaFleur,4,08:05,6,20,-3,7.9,17
SEA-LA wk11,Mike Macdonald,4,08:11,3,20,-9,7.8,46
playoffs NE-LAC,Mike Vrabel,2,03:32,6,55,0,7.7,1
NO-NE wk6,Kellen Moore,4,03:55,7,38,-6,7.7,28
DEN-LV wk10,Sean Payton,3,03:05,16,61,0,7.7,4
GB-MIN wk12,Matt LaFleur,4,05:53,9,61,17,7.7,2
LAC-NYG wk4,Jim Harbaugh,4,11:31,2,17,-3,7.6,25
LAC-PIT wk10,Jim Harbaugh,1,06:54,3,49,-3,7.5,12
KC-DAL wk13,Andy Reid,3,12:26,5,51,-3,7.5,12
CIN-DET wk5,Zac Taylor,1,08:19,15,57,-7,7.4,8
TB-LA wk12,Todd Bowles,1,10:17,9,57,0,7.4,4
PIT-NE wk3,Mike Tomlin,4,12:35,8,57,0,7.4,5
SF-CHI wk17,Kyle Shanahan,4,11:30,7,57,0,7.4,5
BUF-MIA wk10,Sean McDermott,4,01:15,8,37,-17,7.4,37
DEN-PHI wk5,Sean Payton,3,07:25,15,58,-14,7.3,14
BAL-DET wk3,John Harbaugh,4,04:32,9,32,-7,7.3,28
NO-BUF wk4,Kellen Moore,2,11:24,8,53,-7,7.2,3
TEN-DEN wk1,Brian Callahan,4,09:30,35,51,-1,7.1,36
DAL-PHI wk1,Brian Schottenheimer,4,04:50,7,27,-4,7.1,28
NYJ-CAR wk7,Aaron Glenn,3,07:16,7,54,-10,7.1,8
CHI-DET wk2,Ben Johnson,4,06:10,4,23,-31,7.1,58
JAX-SEA wk6,Liam Coen,4,09:17,5,17,-8,7,26
MIA-NE wk2,Mike McDaniel,4,12:16,9,47,-3,6.9,36
DEN-TEN wk1,Sean Payton,2,00:54,2,48,-3,6.9,44
WAS-DET wk10,Dan Quinn,4,02:15,7,31,-22,6.7,37
TEN-IND wk8,Brian Callahan,2,01:53,4,52,-10,6.7,29
BUF-PHI wk17,Sean McDermott,4,12:56,27,54,-13,6.7,63
SUPER BOWL SEA-NE,Mike Macdonald,2,05:05,5,58,6,6.7,46
GB-CIN wk6,Matt LaFleur,2,01:13,5,58,10,6.7,32
HOU-KC wk14,DeMeco Ryans,2,05:39,6,58,10,6.7,7
MIA-NYJ wk14,Mike McDaniel,3,02:47,6,58,17,6.7,7
NO-ATL wk18,Kellen Moore,4,09:53,5,30,-6,6.6,36
HOU-JAX wk3,DeMeco Ryans,4,09:55,4,14,-7,6.6,26
CLE-DET wk4,Kevin Stefanski,4,02:36,7,38,-24,6.5,37
CIN-BAL wk15,Zac Taylor,1,03:02,19,60,0,6.4,4
playoffs DEN-BUF,Sean Payton,3,02:38,9,60,6,6.4,5
playoffs PIT-HOU,Mike Tomlin,4,09:36,13,52,-11,6.4,63
TB-DET wk7,Todd Bowles,2,13:22,3,47,-7,6.2,12
MIN-PHI wk7,Kevin O'Connell,2,01:06,4,50,-8,6.2,12
TB-DET wk7,Todd Bowles,2,07:42,6,50,-7,6.2,3
NYG-SF wk9,Brian Daboll,2,09:36,6,50,-7,6.2,3
HOU-TEN wk11,DeMeco Ryans,2,13:42,6,50,-3,6.2,3
CIN-NE wk12,Zac Taylor,2,04:26,6,50,-4,6.2,3
CIN-CLE wk18,Zac Taylor,2,09:51,6,50,-8,6.2,3
CHI-PHI wk13,Ben Johnson,3,10:06,3,56,7,6.2,46
NYJ-BAL wk12,Aaron Glenn,2,14:20,8,56,0,6.2,4
ARI-HOU wk15,Jonathan Gannon,4,07:43,4,10,-13,6.1,46
NYJ-ATL wk13,Aaron Glenn,1,07:19,2,52,0,6,14
HOU-JAX wk3,DeMeco Ryans,2,04:25,1,44,-4,5.9,87
LV-KC wk7,Pete Carroll,1,03:07,2,46,-7,5.7,44
ATL-SF wk7,Raheem Morris,3,01:06,14,53,-3,5.7,3
BUF-ATL wk6,Sean McDermott,2,08:21,3,49,-14,5.7,29
TEN-HOU wk11,Brian Callahan,4,07:23,7,15,-7,5.6,17
MIN-CHI wk11,Kevin O'Connell,4,07:25,8,37,-6,5.6,28
TB-BUF wk11,Todd Bowles,2,01:17,5,57,3,5.6,46
SF-ARI wk11,Kyle Shanahan,2,05:23,5,57,9,5.6,32
TEN-HOU wk4,Brian Callahan,3,07:54,12,55,-6,5.6,3
NE-TEN wk7,Mike Vrabel,4,08:52,12,63,18,5.6,8
ATL-NE wk9,Raheem Morris,4,02:03,20,42,-1,5.5,36
DEN-HOU wk9,Sean Payton,3,03:02,1,21,-8,5.5,38
HOU-IND wk18,DeMeco Ryans,4,14:56,7,47,-1,5.4,36
NYJ-JAX wk15,Aaron Glenn,4,10:43,9,46,-28,5.4,63
CAR-MIA wk5,Dave Canales,3,00:15,2,28,-4,5.4,6
ARI-JAX wk12,Jonathan Gannon,3,01:43,18,53,-3,5.4,3
SF-LA wk10,Kyle Shanahan,2,00:19,7,53,-14,5.4,8
SF-ARI wk3,Kyle Shanahan,1,06:58,4,53,0,5.4,6
LV-DAL wk11,Pete Carroll,1,10:36,6,53,0,5.4,1
NO-SF wk2,Kellen Moore,1,11:28,10,59,0,5.4,4
NO-TB wk8,Kellen Moore,1,02:49,10,59,0,5.4,4
CHI-GB wk14,Ben Johnson,1,05:31,15,59,0,5.4,4
TB-SEA wk5,Todd Bowles,4,07:28,17,59,0,5.4,5
ATL-TB wk1,Raheem Morris,1,06:34,8,59,7,5.4,5
MIA-NE wk18,Mike McDaniel,4,04:58,9,18,-28,5.3,21
playoffs LAC-NE,Jim Harbaugh,4,14:10,7,46,-6,5.3,36
SEA-LA wk11,Mike Macdonald,3,03:39,1,40,-2,5.3,38
WAS-PHI wk16,Dan Quinn,4,09:17,4,40,-11,5.3,58
TB-NE wk10,Todd Bowles,4,08:10,8,26,-5,5.2,28
CAR-ARI wk2,Dave Canales,2,07:30,13,55,-7,5.2,3
DET-PHI wk11,Dan Campbell,1,01:25,11,55,-3,5.2,3
BAL-CIN wk13,John Harbaugh,2,01:42,19,55,-2,5.2,3
CHI-GB wk16,Ben Johnson,2,09:41,13,55,-3,5.2,3
CAR-SF wk12,Dave Canales,3,12:33,6,48,-7,5.2,3
CAR-MIA wk5,Dave Canales,4,12:33,6,29,-4,5.2,28
HOU-SEA wk7,DeMeco Ryans,1,05:17,2,45,-7,5.2,44
CAR-NO wk10,Dave Canales,2,07:51,3,45,-3,5.2,12
HOU-TEN wk11,DeMeco Ryans,2,01:00,3,45,-3,5.2,12
HOU-JAX wk3,DeMeco Ryans,2,01:01,4,48,-4,5.1,12
SEA-PIT wk2,Mike Macdonald,2,00:27,6,48,-7,5.1,3
DEN-KC wk11,Sean Payton,4,08:18,7,31,-3,5.1,28
KC-DAL wk13,Andy Reid,4,09:35,8,41,-7,5,36
DET-CLE wk4,Dan Campbell,1,12:53,3,51,0,5,6
CLE-TEN wk14,Kevin Stefanski,2,06:54,8,51,-4,5,3
NO-CAR wk15,Kellen Moore,1,02:52,9,51,-7,5,3
SF-SEA wk18,Kyle Shanahan,3,04:37,1,18,-7,5,17
CLE-GB wk3,Kevin Stefanski,3,01:19,4,46,-10,5,29
SF-TB wk6,Kyle Shanahan,4,13:25,21,51,-8,4.9,36
MIA-CAR wk5,Mike McDaniel,4,01:10,17,15,-3,4.9,17
CIN-NE wk12,Zac Taylor,4,13:10,6,40,-7,4.9,28
KC-IND wk12,Andy Reid,3,06:27,3,43,-8,4.8,12
DET-MIN wk17,Dan Campbell,4,09:01,8,29,-6,4.8,28
GB-MIN wk18,Matt LaFleur,3,10:42,15,56,-13,4.7,14
SF-HOU wk8,Kyle Shanahan,3,13:45,3,47,-9,4.7,29
MIN-LAC wk8,Kevin O'Connell,2,04:12,2,47,-11,4.7,56
WAS-LAC wk5,Dan Quinn,1,08:29,5,47,-7,4.7,12
CIN-PIT wk7,Zac Taylor,1,07:35,4,47,-7,4.7,12
MIN-SEA wk13,Kevin O'Connell,2,05:33,5,47,-3,4.7,12
GB-MIN wk18,Matt LaFleur,2,09:13,4,47,-3,4.7,12
CLE-BUF wk16,Kevin Stefanski,4,01:49,32,1,-3,4.7,17
SF-NYG wk9,Kyle Shanahan,2,05:50,5,56,7,4.6,46
MIN-NYG wk16,Kevin O'Connell,3,05:35,6,56,3,4.6,5
CHI-DAL wk3,Ben Johnson,4,09:06,6,56,17,4.6,2
DEN-NYJ wk6,Sean Payton,4,13:42,6,29,-1,4.6,28
NYJ-CAR wk7,Aaron Glenn,4,01:55,10,14,-7,4.6,17
WAS-NYG wk15,Dan Quinn,1,02:20,13,62,3,4.6,5
WAS-DEN wk13,Dan Quinn,3,00:55,9,46,-6,4.5,3
PHI-NYG wk6,Nick Sirianni,4,14:09,2,20,-10,4.5,45
BUF-NE wk5,Sean McDermott,1,06:24,10,58,0,4.5,4
PIT-MIA wk15,Mike Tomlin,2,15:00,20,58,0,4.5,4
BAL-PIT wk18,John Harbaugh,2,03:19,8,58,7,4.5,5
CLE-MIN wk5,Kevin Stefanski,4,07:02,8,58,3,4.5,2
IND-SEA wk15,Shane Steichen,4,08:16,8,58,1,4.5,2
NYG-PHI wk6,Brian Daboll,3,01:21,9,58,10,4.5,7
NYJ-MIA wk14,Aaron Glenn,1,02:14,1,44,-21,4.4,86
TB-NE wk10,Todd Bowles,4,12:43,13,50,-5,4.4,36
WAS-KC wk8,Dan Quinn,4,06:59,9,36,-21,4.4,37
JAX-SEA wk6,Liam Coen,2,06:47,15,54,-4,4.3,3
ARI-JAX wk12,Jonathan Gannon,1,03:29,22,54,-7,4.3,3
LA-HOU wk1,Sean McVay,1,08:23,9,54,0,4.3,1
LV-KC wk7,Pete Carroll,1,11:52,7,54,0,4.3,1
PIT-BUF wk13,Mike Tomlin,2,14:01,9,54,0,4.3,1
CHI-CLE wk15,Ben Johnson,1,14:02,9,54,0,4.3,1
KC-PHI wk2,Andy Reid,4,07:09,7,29,-10,4.3,37
TB-LA wk12,Todd Bowles,3,02:25,1,17,-24,4.3,14
PIT-SEA wk2,Mike Tomlin,3,01:41,1,48,0,4.3,68
SF-LA wk10,Kyle Shanahan,1,09:03,2,43,-7,4.3,44
CAR-TB wk16,Dave Canales,2,07:34,2,43,-7,4.3,44
SF-SEA wk18,Kyle Shanahan,1,02:33,2,43,-7,4.3,44
DEN-GB wk15,Sean Payton,1,05:07,4,46,-3,4.3,12
MIA-CIN wk16,Mike McDaniel,4,11:34,5,36,-31,4.2,58
JAX-SEA wk6,Liam Coen,4,03:00,18,28,-8,4.2,28
CLE-GB wk3,Kevin Stefanski,4,11:42,5,40,-10,4.2,58
LAC-NYG wk4,Jim Harbaugh,4,03:03,25,30,-3,4.2,28
TEN-CLE wk14,Brian Callahan,3,03:22,7,47,-3,4.2,3
KC-LV wk18,Andy Reid,4,10:28,8,29,-3,4.2,28
MIN-CLE wk5,Kevin O'Connell,2,11:04,3,50,0,4.1,6
NE-BUF wk5,Mike Vrabel,1,02:24,3,50,0,4.1,6
CLE-PIT wk6,Kevin Stefanski,1,00:12,8,50,-3,4.1,3
CHI-GB wk16,Ben Johnson,2,00:51,9,50,-6,4.1,3
KC-DEN wk17,Andy Reid,4,15:00,6,39,-3,4.1,28
NO-SF wk2,Kellen Moore,4,03:12,11,10,-5,4.1,17
KC-HOU wk14,Andy Reid,3,05:43,4,44,-3,4.1,12
TEN-LA wk2,Brian Callahan,3,00:11,5,19,-4,4.1,0
LAC-HOU wk17,Jim Harbaugh,4,10:42,8,21,-7,4.1,28
TB-BUF wk11,Todd Bowles,3,11:22,1,13,-1,4,17
TEN-ARI wk5,Brian Callahan,3,03:22,1,35,-15,4,52
playoffs HOU-NE,DeMeco Ryans,4,12:09,6,27,-12,4,37
NYG-NE wk13,Brian Daboll,4,07:52,8,27,-15,4,37
CLE-DET wk4,Kevin Stefanski,2,07:44,1,17,-3,4,17
NO-LA wk9,Kellen Moore,1,02:29,1,13,-7,4,17
DEN-LV wk10,Sean Payton,2,07:46,1,10,-7,4,17
NYG-WAS wk15,Brian Daboll,1,00:43,1,18,-3,4,17
MIN-CHI wk1,Kevin O'Connell,2,06:58,1,34,-4,4,38
