name,pass_snaps,routes_run,run_blocks,total_snaps,route_rate,run_block_share
Travis Kelce,2359,2267,983,3342,96.1000423908436,29.4135248354279
Cade Otton,2187,2002,1277,3464,91.5409236396891,36.864896073903
Dalton Schultz,2004,1830,1022,3026,91.3173652694611,33.773959021811
Cole Kmet,1918,1678,1404,3322,87.4869655891554,42.2636965683323
Trey McBride,1905,1849,1134,3039,97.0603674540683,37.314906219151
T.J. Hockenson,1890,1769,815,2705,93.5978835978836,30.1293900184843
Hunter Henry,1850,1710,1084,2934,92.4324324324324,36.9461486025903
Evan Engram,1795,1732,665,2460,96.4902506963788,27.0325203252033
George Kittle,1747,1612,1190,2937,92.2724670864339,40.5175348995574
David Njoku,1730,1574,1018,2748,90.9826589595376,37.0451237263464
Kyle Pitts,1695,1634,937,2632,96.401179941003,35.6003039513678
Juwan Johnson,1649,1551,881,2530,94.057004244997,34.8221343873518
Tyler Conklin,1590,1459,784,2374,91.7610062893082,33.0244313395114
Jake Ferguson,1576,1451,881,2457,92.0685279187817,35.8567358567359
Pat Freiermuth,1559,1486,825,2384,95.3175112251443,34.6057046979866
Dallas Goedert,1532,1479,1112,2644,96.5404699738903,42.0574886535552
Mark Andrews,1454,1404,949,2403,96.5612104539202,39.4923012900541
Chigoziem Okonkwo,1440,1327,735,2175,92.1527777777778,33.7931034482759
Zach Ertz,1417,1395,595,2012,98.4474241354975,29.572564612326
Dawson Knox,1416,1323,1025,2441,93.4322033898305,41.9909873002868
Jonnu Smith,1389,1285,699,2088,92.5125989920806,33.4770114942529
Mike Gesicki,1358,1322,354,1712,97.3490427098675,20.6775700934579
Noah Fant,1349,1251,678,2027,92.7353595255745,33.4484459792797
Noah Gray,1305,1161,946,2251,88.9655172413793,42.0257663260773
Sam LaPorta,1292,1168,968,2260,90.4024767801858,42.8318584070796
Tyler Higbee,1232,1087,815,2047,88.2305194805195,39.8143624816805
Adam Trautman,1160,879,1161,2321,75.7758620689655,50.0215424386041
Austin Hooper,1146,1035,844,1990,90.3141361256545,42.4120603015075
Colby Parkinson,1130,957,890,2020,84.6902654867257,44.0594059405941
Isaiah Likely,1118,1071,735,1853,95.7960644007156,39.6654074473826
Tommy Tremble,1081,986,984,2065,91.2118408880666,47.6513317191283
Daniel Bellinger,1066,905,936,2002,84.8968105065666,46.7532467532468
Foster Moreau,1045,833,1114,2159,79.7129186602871,51.5979620194535
Tucker Kraft,1034,950,842,1876,91.8762088974855,44.8827292110874
Brock Bowers,972,928,435,1407,95.4732510288066,30.9168443496802
Durham Smythe,966,748,914,1880,77.4327122153209,48.6170212765958
Dalton Kincaid,955,940,433,1388,98.4293193717278,31.1959654178674
Drew Sample,894,657,757,1651,73.4899328859061,45.8509993943065
Will Dissly,891,773,696,1587,86.7564534231201,43.8563327032136
Mo Alie-Cox,889,677,912,1801,76.1529808773903,50.6385341476957
Theo Johnson,883,777,539,1422,87.995469988675,37.9043600562588
Michael Mayer,834,694,584,1418,83.2134292565947,41.1847672778561
John Bates,825,565,1004,1829,68.4848484848485,54.8933843630399
Brock Wright,814,595,1043,1857,73.0958230958231,56.165858912224
Josh Oliver,775,593,1048,1823,76.5161290322581,57.4876577070763
Brenton Strange,758,664,599,1357,87.598944591029,44.141488577745
Darren Waller,758,734,305,1063,96.8337730870712,28.692380056444
Hayden Hurst,697,678,238,935,97.2740315638451,25.4545454545455
A.J. Barner,674,582,559,1233,86.3501483679525,45.3365774533658
Darnell Washington,661,517,888,1549,78.21482602118,57.3273079406069
Jordan Akins,659,628,234,893,95.2959028831563,26.2038073908175
Johnny Mundt,658,554,683,1341,84.19452887538,50.9321401938852
Luke Musgrave,595,557,389,984,93.6134453781513,39.5325203252033
Grant Calcaterra,595,516,770,1365,86.7226890756303,56.4102564102564
Robert Tonyan,594,571,375,969,96.1279461279461,38.6996904024768
Harrison Bryant,589,495,644,1233,84.0407470288625,52.2303325223033
Greg Dulcich,583,560,250,833,96.0548885077187,30.0120048019208
Tanner Hudson,573,550,144,717,95.9860383944154,20.0836820083682
Taysom Hill,553,539,281,834,97.4683544303798,33.6930455635492
Ja'Tavion Sanders,547,506,278,825,92.5045703839123,33.6969696969697
Jeremy Ruckert,541,451,568,1109,83.3641404805915,51.2173128944996
Jack Stoll,534,428,778,1312,80.1498127340824,59.2987804878049
Julian Hill,529,391,628,1157,73.9130434782609,54.2783059636992
Tyler Warren,525,496,301,826,94.4761904761905,36.4406779661017
Charlie Woerner,508,344,909,1417,67.7165354330709,64.1496118560339
Ian Thomas,494,349,618,1112,70.6477732793522,55.5755395683453
Eric Saubert,492,417,568,1060,84.7560975609756,53.5849056603774
Davis Allen,481,401,514,995,83.3679833679834,51.6582914572864
Luke Farrell,480,346,728,1208,72.0833333333333,60.2649006622517
Luke Schoonmaker,472,387,515,987,81.9915254237288,52.178318135765
Chris Manhertz,456,224,808,1264,49.1228070175439,63.9240506329114
