"season","team","games","wins","point_diff_pg","head_coach","g_coached","roster_value","roster_value_recent4","n_players","qb_name","qb_id","qb_dropbacks","qb_draft_pick","qb_value","qb_prior_epa_per_db"
2003,"ARI",16,4,-14.1875,"Dave McGinnis",16,12873,8120,61,"Jeff Blake","00-0001335",387,"166",25,-0.0286315472747402
2003,"ATL",16,5,-7.6875,"Dan Reeves",13,14454,6593,66,"Doug Johnson","00-0019087",262,NA,0,0.165844855764762
2003,"BAL",16,10,6.875,"Brian Billick",16,16436,8319,59,"Kyle Boller","00-0022164",241,"19",875,NA
2003,"BUF",16,6,-2.25,"Gregg Williams",16,15338,6266,58,"Drew Bledsoe","00-0001361",520,"1",3000,0.086990008051574
2003,"CAR",16,11,1.3125,"John Fox",16,15077,8700,57,"Jake Delhomme","00-0004161",472,NA,0,0.642401348846323
2003,"CHI",16,7,-3.9375,"Dick Jauron",16,11359,8073,63,"Kordell Stewart","00-0015700",276,"60",300,0.0996014141156437
2003,"CIN",16,8,-2.375,"Marvin Lewis",16,21140,11162,61,"Jon Kitna","00-0009311",558,NA,0,-0.0354176020141371
2003,"CLE",16,5,-4.25,"Butch Davis",16,16880,10700,70,"Kelly Holcomb","00-0007576",323,NA,0,0.113926866677466
2003,"DAL",16,10,1.8125,"Bill Parcells",16,13992,5697,64,"Quincy Carter","00-0020404",543,"53",370,-0.0451016897999543
2003,"DEN",16,10,5,"Mike Shanahan",16,13119,6577,63,"Jake Plummer","00-0013042",316,"42",480,-0.0987678881610675
2003,"DET",16,5,-6.8125,"Steve Mariucci",16,18880,10022,68,"Joey Harrington","00-0021141",565,"3",2200,-0.198580185553236
2003,"GB",16,10,8.4375,"Mike Sherman",16,11850,6178,64,"Brett Favre","00-0005106",491,"33",580,0.0731152351331192
2003,"HOU",16,5,-7.8125,"Dom Capers",16,12525,8178,68,"David Carr","00-0020608",310,"1",3000,-0.254729366346695
2003,"IND",16,12,6.9375,"Tony Dungy",16,15235,6118,61,"Peyton Manning","00-0010346",585,"1",3000,0.118930312253912
2003,"JAX",16,5,-3.4375,"Jack Del Rio",16,19005,7123,71,"Byron Leftwich","00-0022177",437,"7",1500,NA
2003,"KC",16,13,9.5,"Dick Vermeil",16,14667,4815,59,"Trent Green","00-0006355",543,"222",3,0.184906296812495
2003,"LA",16,12,7.4375,"Mike Martz",16,20857,7360,64,"Marc Bulger","00-0019599",569,"168",24,0.267390289838483
2003,"LAC",16,4,-8,"Marty Schottenheimer",16,12050,6991,64,"Drew Brees","00-0020531",377,"32",590,0.00962650609619776
2003,"LV",16,4,-6.8125,"Bill Callahan",16,27039,7055,68,"Rick Mirer","00-0011378",243,"2",2600,NA
2003,"MIA",16,10,3.125,"Dave Wannstedt",16,10850,2540,63,"Jay Fiedler","00-0005180",334,NA,0,0.125932875910332
