coach,overall_n,overall_rate,overall_era_adj,overall_era_shrunk,overall_first_season,overall_last_season,chart_n,chart_rate,chart_era_adj,chart_lo,chart_hi,chart_era_shrunk,chart_first_season,chart_last_season
Doug Pederson,256,20.3,10.89,6.54,2018,2024,15,93.3,19.97,7.34,32.59,0,2018,2024
Todd Bowles,213,12.2,2.58,1.69,2018,2025,11,90.9,15.98,-1.01,32.96,0,2018,2025
Frank Reich,237,9.7,0.07,0.05,2018,2023,13,84.6,9.11,-10.51,28.72,0,2018,2023
Zac Taylor,328,7.6,-2.03,-1.66,2019,2025,17,82.4,7.28,-10.84,25.4,0,2019,2025
Sean McDermott,463,7.6,-2.07,-1.79,2018,2025,13,84.6,8.27,-11.35,27.88,0,2018,2025
John Harbaugh,420,7.4,-2.16,-1.84,2018,2025,13,84.6,6.45,-13.16,26.07,0,2018,2025
Dan Quinn,206,15.5,6.06,3.63,2018,2025,11,81.8,7.05,-15.75,29.84,0,2018,2025
Sean Payton,359,8.1,-1.48,-1.22,2018,2025,19,78.9,3.54,-14.79,21.87,0,2018,2025
Mike Tomlin,324,9,-0.62,-0.49,2018,2025,15,80,4.15,-16.09,24.4,0,2018,2025
Mike Zimmer,194,13.9,4.34,2.63,2018,2021,15,80,3.93,-16.31,24.18,0,2018,2021
Robert Saleh,126,17.5,7.39,3.36,2021,2024,11,81.8,4.26,-18.54,27.05,0,2021,2024
Bill Belichick,266,6.8,-2.83,-2.26,2018,2023,11,72.7,0.64,-25.68,26.96,0,2019,2023
Matt Eberflus,110,17.3,7.57,3.2,2022,2024,11,72.7,-2.24,-28.56,24.08,-0,2022,2024
Pete Carroll,320,6.2,-3.24,-2.72,2018,2025,10,70,-3.19,-31.59,25.22,-0,2018,2023
Kliff Kingsbury,176,10.8,1.2,0.76,2019,2022,12,66.7,-4.77,-31.44,21.91,-0,2019,2022
Ron Rivera,235,14,4.48,2.91,2018,2023,15,66.7,-7.87,-31.73,15.99,-0,2018,2023
Andy Reid,488,5.3,-4.25,-3.84,2018,2025,16,68.8,-7.47,-30.18,15.24,-0,2018,2025
Matt LaFleur,375,8,-1.55,-1.29,2019,2025,15,66.7,-8.66,-32.52,15.19,-0,2019,2025
Mike Vrabel,342,5.8,-3.54,-3.02,2018,2025,10,60,-14.1,-44.47,16.26,-0,2018,2025
Mike McCarthy,293,10.2,0.39,0.3,2018,2024,15,66.7,-9.04,-32.9,14.81,-0,2018,2024
Kevin Stefanski,244,12.3,2.61,1.78,2020,2025,12,58.3,-17.93,-45.82,9.97,-0,2020,2025
Kyle Shanahan,420,6.2,-3.33,-2.91,2018,2025,17,58.8,-15.09,-38.48,8.31,-0,2018,2025
Sean McVay,420,6.4,-3.16,-2.75,2018,2025,17,52.9,-23.03,-46.76,0.7,-0,2018,2025
Aaron Glenn,30,26.7,17.73,2.26,2025,2025,NA,NA,NA,NA,NA,NA,NA,NA
Adam Gase,94,7.4,-1.79,-1.01,2018,2020,NA,NA,NA,NA,NA,NA,NA,NA
Anthony Lynn,139,12.2,2.95,1.63,2018,2020,NA,NA,NA,NA,NA,NA,NA,NA
