name,side,n,guess_xs,H_vs_lg,epa,epa_type,lean_abs,structure_pctile,exploit_pctile,quadrant,marquee,seq_guess_pp,guessability,range_sd
Adam Gase,offense,3715,-0.114227965782227,0.00702171142904747,-0.0647301305175008,epa_play,0.384058270472055,0.945205479452055,0.0547945205479452,"clear identity, hard to exploit (Michael's ideal)",FALSE,0.773819026396469,,
Andy Reid,offense,9290,3.11921368756933,-0.0301553819189027,0.129193666902279,epa_play,0.369381880494731,0.561643835616438,0.986301369863014,"clear identity, easy to exploit",FALSE,1.5698281582902,,
Arthur Smith,offense,6360,2.12698405335743,-0.0144643114453462,0.00588661245400361,epa_play,0.374907030246613,0.808219178082192,0.794520547945206,"clear identity, easy to exploit",FALSE,1.30869961218631,,
Ben Johnson,offense,3885,-0.149598510823403,0.00985825748821451,0.0890296435914649,epa_play,0.403953675749296,1,0.0410958904109589,"clear identity, hard to exploit (Michael's ideal)",TRUE,0.690137003855917,,
Ben McAdoo,offense,2717,0.688241974673127,0.00107371738135254,-0.0372590104232391,epa_play,0.378294219173433,0.876712328767123,0.150684931506849,"clear identity, hard to exploit (Michael's ideal)",FALSE,1.17362849075805,,
Bill Lazor,offense,2799,0.379912102597067,-0.00249397669576981,-0.0211644332407719,epa_play,0.368185397869734,0.452054794520548,0.10958904109589,"weak identity, hard to exploit",FALSE,1.03258926682563,,
Bill Musgrave,offense,2684,0.0922700362036089,0.00213827915558206,-0.0111194918371733,epa_play,0.374376637419761,0.767123287671233,0.0821917808219178,"clear identity, hard to exploit (Michael's ideal)",FALSE,0.738382956959282,,
Bill O'Brien,offense,5355,1.25679323446185,-0.00671342873620147,-0.0604089592210839,epa_play,0.368701458657656,0.479452054794521,0.356164383561644,"weak identity, hard to exploit",FALSE,1.20107400052111,,
Bobby Slowik,offense,1994,1.05809353667322,-0.0118104695050775,-0.0176352836803939,epa_play,0.369063699137842,0.534246575342466,0.26027397260274,"clear identity, hard to exploit (Michael's ideal)",FALSE,1.05576677296936,,
Brian Daboll,offense,4117,2.96331760893621,-0.020608155580182,0.00784551503749498,epa_play,0.37458939527116,0.780821917808219,0.945205479452055,"clear identity, easy to exploit",FALSE,1.40098804980709,,
Brian Schottenheimer,offense,3661,2.00905340921109,-0.0142014625597926,0.054975770339476,epa_play,0.372285369079488,0.671232876712329,0.73972602739726,"clear identity, easy to exploit",FALSE,1.17501338100284,,
Bruce Arians,offense,2590,1.8836119911309,-0.0170297437846564,-0.042190641306905,epa_play,0.352435302794785,0.0547945205479452,0.671232876712329,"weak identity, easy to exploit",FALSE,1.16171867256712,,
Byron Leftwich,offense,4128,3.08589973028139,-0.0362225968357275,0.0250947299800387,epa_play,0.351895229084157,0.0410958904109589,0.972602739726027,"weak identity, easy to exploit",FALSE,1.5883414795432,,
Chan Gailey,offense,2464,1.7656359930773,-0.0130767487314983,-0.0102855339962526,epa_play,0.368786090897251,0.506849315068493,0.63013698630137,"clear identity, easy to exploit",FALSE,0.94193281805383,,
Chip Kelly,offense,2074,-0.269602363288254,0.00464827248438466,-0.116626555079316,epa_play,0.388760780191755,0.972602739726027,0.0273972602739726,"clear identity, hard to exploit (Michael's ideal)",FALSE,0.347791157070614,,
Darrell Bevell,offense,4730,1.13107209219802,-0.00838584853797821,-0.0239061404601302,epa_play,0.36176832852133,0.26027397260274,0.287671232876712,"weak identity, hard to exploit",FALSE,0.812429441608719,,
Dave Canales,offense,2539,0.675045629163487,-0.00393691924059265,-0.0311912640075494,epa_play,0.37791142813119,0.849315068493151,0.136986301369863,"clear identity, hard to exploit (Michael's ideal)",FALSE,0.942784298233026,,
Dirk Koetter,offense,4730,1.96226248779021,-0.0164996194398613,-0.0111221504820768,epa_play,0.356061958811437,0.10958904109589,0.726027397260274,"weak identity, easy to exploit",FALSE,1.34932030820046,,
Doug Pederson,offense,6334,1.26050633400769,-0.00524407817513539,0.00627413210256895,epa_play,0.373728958638117,0.726027397260274,0.383561643835616,"clear identity, hard to exploit (Michael's ideal)",FALSE,0.818485868470435,,
Dowell Loggains,offense,1852,0.779954585354456,-0.00736084676362475,-0.0566853109059549,epa_play,0.360585489656302,0.219178082191781,0.191780821917808,"weak identity, hard to exploit",FALSE,1.17814380070419,,
