off_caller,n_completions,yac_oe,yac_oe_lo,yac_oe_hi,rank_yac_oe,yac_oe_clean,clean_lo,clean_hi,rank_clean,yac_oe_clean_shrunk,yac_oe_contact,contact_lo,contact_hi,rank_contact,yac_oe_contact_shrunk,contact_yard_share,broke_tackle_rate
Kyle Shanahan,1538,0.76438110388733,0.420833122245253,1.10792908552941,1,0.203811505928166,-0.0345521427124,0.442175154568731,5,0.128022951166983,0.560569597959163,0.393724458614007,0.727414737304319,1,0.446451808828474,42.8410372040586,12.9388816644994
Joe Brady,908,0.756670610138134,0.285033629581529,1.22830759069474,2,0.326359387449576,0.0139412683786402,0.638777506520513,2,0.176279453184948,0.430311222688563,0.190673691561406,0.66994875381572,3,0.328499229133423,38.3502170767004,11.3436123348018
Ben Johnson,1612,0.733505443830468,0.400621399501233,1.0663894881597,3,0.369343939316239,0.114450410358761,0.624237468273716,1,0.262868292953307,0.364161504514233,0.224788327706076,0.503534681322391,6,0.313406846071697,34.8183616113251,10.9801488833747
Todd Downing,526,0.607480246835731,-0.0345894475972001,1.24954994126866,4,0.255891197764667,-0.197326703578865,0.709109099108198,4,0.0752595723639642,0.351589049071064,0.0423555404429273,0.660822557699201,7,0.263227800769028,39.1603804526074,12.1673003802281
Todd Monken,976,0.561338076360339,0.0906464452035994,1.03202970751708,5,0.134397780022162,-0.212203246690864,0.480998806735187,6,0.0483220369299255,0.426940296338178,0.230552503645525,0.62332808903083,4,0.330661523879175,37.3448461953589,13.0122950819672
Andy Reid,1839,0.547527820636102,0.269711751652102,0.825343889620102,6,0.299854564595657,0.0895310023501341,0.510178126841179,3,0.216762018076132,0.247673256040448,0.123355267512423,0.371991244568474,9,0.233705385312525,36.5928327030434,11.147362697118
Zac Robinson,667,0.325930100443984,-0.193515567871169,0.845375768759137,7,-0.105453152465583,-0.481362494355373,0.270456189424207,12,-0.125168204673317,0.431383252909567,0.18558763156191,0.677178874257224,2,0.311126991497243,42.3221982758621,14.8425787106447
Liam Coen,761,0.299032800526171,-0.158169923221102,0.756235524273443,8,-0.0816694114512674,-0.393661060280385,0.23032223737785,11,-0.108106467351917,0.380702211977438,0.140616875298937,0.620787548655939,5,0.292519777299448,42.4670658682635,13.1406044678055
Klint Kubiak,853,0.282896613586445,-0.164854860703195,0.730648087876086,9,0.0689519025118596,-0.256135621806887,0.394039426830606,7,-0.00432633465215558,0.213944711074586,0.0110711586745234,0.416818263474648,13,0.206386185597367,38.2308845577211,10.5509964830012
Arthur Smith,1282,0.214045994954301,-0.164345590396157,0.59243758030476,10,-0.016254388758771,-0.299622465987819,0.267113688470278,9,-0.05034879005464,0.230300383713066,0.065985495101971,0.394615272324161,10,0.218575287677923,40.3157597970116,13.8065522620905
Sean McVay,1540,0.168346849514487,-0.143743274123308,0.480436973152282,11,-0.00057788001432599,-0.228545167486699,0.227389407458047,8,-0.0334438738441894,0.168924729528811,0.0325595911679192,0.305289867889702,18,0.177807318961704,37.6389231909113,9.61038961038961
