coach,season,n,rate,above,age,team,bucket
Adam Gase,2018,15,0.26666666666666666,-0.11557971014492752,40,MIA,40-44
Andy Reid,2018,19,0.47368421052631576,0.09143783371472158,64,KC,60+
Anthony Lynn,2018,17,0.29411764705882354,-0.08812872975277067,50,LAC,50-54
Bill Belichick,2018,29,0.27586206896551724,-0.106384307846077,66,NE,60+
Dan Quinn,2018,18,0.2222222222222222,-0.16002415458937197,48,ATL,45-49
Dirk Koetter,2018,12,0.4166666666666667,0.03442028985507245,59,TB,55-59
Doug Marrone,2018,18,0.2777777777777778,-0.10446859903381639,54,JAX,50-54
Doug Pederson,2018,33,0.45454545454545453,0.07229907773386032,50,PHI,50-54
Frank Reich,2018,24,0.3333333333333333,-0.04891304347826086,57,IND,55-59
Gregg Williams,2018,8,0.625,0.24275362318840576,60,CLE,60+
Hue Jackson,2018,12,0.4166666666666667,0.03442028985507245,53,CLE,50-54
Jason Garrett,2018,20,0.35,-0.032246376811594216,52,DAL,50-54
Jay Gruden,2018,11,0.18181818181818182,-0.20042819499341236,51,WAS,50-54
John Harbaugh,2018,19,0.47368421052631576,0.0914378337147216,56,BAL,55-59
Kyle Shanahan,2018,11,0.18181818181818182,-0.20042819499341238,39,SF,under 40
Marvin Lewis,2018,14,0.5714285714285714,0.18918219461697722,60,CIN,60+
Matt Nagy,2018,19,0.3684210526315789,-0.013825324180015253,40,CHI,40-44
Matt Patricia,2018,16,0.125,-0.2572463768115942,44,DET,40-44
Mike McCarthy,2018,15,0.3333333333333333,-0.04891304347826087,55,GB,55-59
Mike Tomlin,2018,22,0.36363636363636365,-0.01861001317523055,46,PIT,45-49
Mike Vrabel,2018,13,0.23076923076923078,-0.15147714604236343,43,TEN,40-44
Mike Zimmer,2018,17,0.5882352941176471,0.20598891730605287,62,MIN,60+
Pat Shurmur,2018,17,0.5294117647058824,0.14716538789428818,53,NYG,50-54
Pete Carroll,2018,21,0.38095238095238093,-0.0012939958592132323,67,SEA,60+
Ron Rivera,2018,15,0.5333333333333333,0.15108695652173915,56,CAR,55-59
Sean McDermott,2018,9,0.7777777777777778,0.39553140096618356,44,BUF,40-44
Sean McVay,2018,23,0.30434782608695654,-0.07789855072463768,32,LA,under 40
Sean Payton,2018,26,0.5,0.1177536231884058,55,NO,55-59
Steve Wilks,2018,11,0.18181818181818182,-0.20042819499341236,49,ARI,45-49
Todd Bowles,2018,12,0.5,0.1177536231884058,55,NYJ,55-59
Vance Joseph,2018,27,0.4074074074074074,0.025161030595813177,46,DEN,45-49
Adam Gase,2019,11,0.5454545454545454,0.09704184704184704,41,NYJ,40-44
Andy Reid,2019,17,0.6470588235294118,0.1986461251167134,65,KC,60+
Anthony Lynn,2019,22,0.36363636363636365,-0.08477633477633474,51,LAC,50-54
Bill Belichick,2019,15,0.3333333333333333,-0.1150793650793651,67,NE,60+
Brian Flores,2019,12,0.5,0.05158730158730159,38,MIA,under 40
Bruce Arians,2019,20,0.45,0.001587301587301604,67,TB,60+
Dan Quinn,2019,15,0.5333333333333333,0.08492063492063495,49,ATL,45-49
Doug Marrone,2019,17,0.4117647058823529,-0.03664799253034547,55,JAX,55-59
Doug Pederson,2019,23,0.4782608695652174,0.02984817115251896,51,PHI,50-54
Frank Reich,2019,29,0.4827586206896552,0.03434592227695679,58,IND,55-59
Freddie Kitchens,2019,13,0.6923076923076923,0.24389499389499394,45,CLE,45-49
Jason Garrett,2019,20,0.55,0.1015873015873016,53,DAL,50-54
John Harbaugh,2019,18,0.6666666666666666,0.21825396825396828,57,BAL,55-59
Kliff Kingsbury,2019,23,0.5217391304347826,0.07332643202208415,40,ARI,40-44
Kyle Shanahan,2019,15,0.3333333333333333,-0.11507936507936509,40,SF,40-44
Matt LaFleur,2019,18,0.2777777777777778,-0.17063492063492064,40,GB,40-44
Matt Nagy,2019,13,0.46153846153846156,0.01312576312576312,41,CHI,40-44
Matt Patricia,2019,20,0.35,-0.0984126984126984,45,DET,45-49
Mike Tomlin,2019,13,0.46153846153846156,0.013125763125763117,47,PIT,45-49
Mike Vrabel,2019,15,0.2,-0.24841269841269842,44,TEN,40-44
Mike Zimmer,2019,16,0.3125,-0.1359126984126984,63,MIN,60+
Pat Shurmur,2019,16,0.5625,0.11408730158730161,54,NYG,50-54
Pete Carroll,2019,18,0.2222222222222222,-0.22619047619047622,68,SEA,60+
Ron Rivera,2019,11,0.6363636363636364,0.18795093795093798,57,CAR,55-59
Sean McDermott,2019,13,0.6153846153846154,0.166971916971917,45,BUF,45-49
Sean McVay,2019,17,0.35294117647058826,-0.09547152194211017,33,LA,under 40
Sean Payton,2019,20,0.35,-0.09841269841269842,56,NO,55-59
Vic Fangio,2019,19,0.3684210526315789,-0.07999164578111949,61,DEN,60+
Zac Taylor,2019,12,0.4166666666666667,-0.031746031746031723,36,CIN,under 40
Adam Gase,2020,12,0.4166666666666667,-0.05739415623136553,42,NYJ,40-44
Andy Reid,2020,15,0.4666666666666667,-0.0073941562313655385,66,KC,60+
Anthony Lynn,2020,19,0.5263157894736842,0.05225496657565201,52,LAC,50-54
Bill Belichick,2020,19,0.5263157894736842,0.052254966575652054,68,NE,60+
Brian Flores,2020,13,0.38461538461538464,-0.08944543828264756,39,MIA,under 40
Bruce Arians,2020,14,0.35714285714285715,-0.11691796575517506,68,TB,60+
