caller,n_in,n_out,epa_in,epa_out,se,lift,moment,key
Marc Trestman,522,914,-0.13108430266766138,-0.06135480605864898,0.07689648137527391,-0.0697294966090124,"Close game
(top-quartile leverage)",close
Gary Kubiak,871,2417,-0.007495600411515273,-0.04831308709628591,0.053905045557942455,0.040817486684770636,"Close game
(top-quartile leverage)",close
Greg Olson,829,1750,-0.13189475117520721,-0.04812981653598079,0.059251509776226,-0.08376493463922642,"Close game
(top-quartile leverage)",close
Mike Shula,669,2769,0.025076280421239692,-0.01727510795690479,0.06268653820722628,0.04235138837814448,"Close game
(top-quartile leverage)",close
Bill Musgrave,1189,2345,-0.03450019562031955,-0.03995356067033794,0.04918671187236167,0.005453365050018387,"Close game
(top-quartile leverage)",close
Hue Jackson,566,2497,-0.038159620358075456,-0.07207532099542706,0.062421260214009955,0.0339157006373516,"Close game
(top-quartile leverage)",close
Chan Gailey,789,2296,-0.01806059500720016,-0.02862445820395559,0.05517358952509879,0.010563863196755431,"Close game
(top-quartile leverage)",close
John DeFilippo,527,2372,-0.023990199497867473,-0.09625600224314602,0.061238288671373604,0.07226580274527855,"Close game
(top-quartile leverage)",close
Joe Lombardi,921,1872,0.019906748747657466,0.01174664998734243,0.056915140832704665,0.008160098760315036,"Close game
(top-quartile leverage)",close
Frank Reich,1699,4883,-0.010597588784743197,-0.006593635864045809,0.03935881117869941,-0.004003952920697388,"Close game
(top-quartile leverage)",close
Adam Gase,1153,4071,-0.018679753472897125,-0.1258859448578712,0.043682529297749025,0.10720619138497406,"Close game
(top-quartile leverage)",close
Pep Hamilton,383,1163,-0.2363436948444237,-0.1086199093416232,0.08706335346992042,-0.1277237855028005,"Close game
(top-quartile leverage)",close
Greg Roman,1890,5981,0.005875879281446055,0.046914502898021376,0.03578160906592852,-0.04103862361657532,"Close game
(top-quartile leverage)",close
Andy Reid,2670,9112,0.11082778528693273,0.10151587993359194,0.029387992370200157,0.009311905353340783,"Close game
(top-quartile leverage)",close
Bill O'Brien,1622,5070,-0.05029275129998109,-0.07969480411619399,0.03787997381803996,0.0294020528162129,"Close game
(top-quartile leverage)",close
Sean McVay,3198,9236,0.03897650114924027,0.03608824495096958,0.028194828118261385,0.0028882561982706903,"Close game
(top-quartile leverage)",close
Bill Lazor,794,2941,-0.016769371211308042,-0.04426244704616258,0.05350424464147357,0.027493075834854535,"Close game
(top-quartile leverage)",close
Norv Turner,803,2476,-0.062076049021125006,-3.795944166085076e-4,0.0561475747528847,-0.0616964546045165,"Close game
(top-quartile leverage)",close
Bruce Arians,867,2414,0.07032379617927424,-0.07021513973717833,0.05548357844305422,0.14053893591645256,"Close game
(top-quartile leverage)",close
Sean Payton,2785,8194,-4.2059928504554366e-4,0.056856893023798094,0.029374203361934526,-0.05727749230884364,"Close game
(top-quartile leverage)",close
Scott Linehan,1321,2868,0.002239287980503147,0.014137547093115996,0.04566570663499519,-0.01189825911261285,"Close game
(top-quartile leverage)",close
Ben McAdoo,981,2434,-0.0012057072551972443,-0.057218876255922736,0.05262017587510045,0.05601316900072549,"Close game
(top-quartile leverage)",close
Chip Kelly,586,2093,-0.07214610357653344,-0.12099063966982536,0.06474019722651338,0.048844536093291924,"Close game
(top-quartile leverage)",close
Kyle Shanahan,3096,9286,0.06438584058317262,0.04801283858120031,0.029060879008031164,0.01637300200197231,"Close game
(top-quartile leverage)",close
Todd Haley,982,3025,0.004283459312742964,0.03360716901277571,0.05043601140370581,-0.029323709700032747,"Close game
(top-quartile leverage)",close
Josh McDaniels,2078,8965,0.0210712157903133,0.05533873295917181,0.033993948487248536,-0.03426751716885851,"Close game
(top-quartile leverage)",close
Darrell Bevell,1436,4639,-0.06629178812721867,0.0011118884878153741,0.04032412026644387,-0.06740367661503405,"Close game
(top-quartile leverage)",close
Ken Whisenhunt,877,3146,-0.04001173360476927,0.04379514030414684,0.053843795235433145,-0.08380687390891611,"Close game
(top-quartile leverage)",close
Dirk Koetter,1502,4298,0.0011997132235007418,-0.005181823367512157,0.041091617624036306,0.006381536591012899,"Close game
(top-quartile leverage)",close
Doug Pederson,1980,5649,0.018348449905224128,-8.360142525375988e-4,0.035616668699798355,0.019184464157761726,"Close game
(top-quartile leverage)",close
Jim Bob Cooter,1070,2542,0.05009767123690349,-0.04804960723793212,0.049921903328935625,0.09814727847483562,"Close game
(top-quartile leverage)",close
Rob Chudzinski,791,1727,-0.0030456135818127997,-0.08791632125309926,0.05761626328676554,0.08487070767128646,"Close game
(top-quartile leverage)",close
