cell,posteam,defteam,matchup,situation,score,model_said,call,verdict,result,desc
Coin flip / normal,CIN,DEN,2024 wk 17,Q4 06:40 | 1st and 10 at the own 44 | 17-17 | win prob 67%,17-17,45% pass,RUN,followed the model,-0.60 EPA,(6:40) (Shotgun) 30-C.Brown left tackle to CIN 45 for 1 yard (2-P.Surtain).
Coin flip / normal,ATL,NO,2024 wk 10,Q1 13:25 | 1st and 10 at the own 43 | 0-0 | win prob 66%,0-0,46% pass,PASS,went the other way,-0.54 EPA,(13:25) (No Huddle) 18-K.Cousins pass incomplete short right [98-P.Turner].
Coin flip / high leverage,MIA,IND,2024 wk 7,Q1 11:47 | 1st and 10 at the own 42 | 0-0 | win prob 50%,0-0,48% pass,RUN,followed the model,+0.16 EPA,"(11:47) 28-D.Achane up the middle to MIA 47 for 5 yards (41-G.Stuard, 44-Z.Franklin)."
Coin flip / high leverage,LV,JAX,2025 wk 9,Q2 03:22 | 1st and 10 at the own 42 | 0-0 | win prob 51%,0-0,50% pass,PASS,went the other way,-0.49 EPA,(3:22) 7-G.Smith pass incomplete short right to 87-M.Mayer.
Leaning / normal,TB,ATL,2025 wk 15,Q1 03:42 | 2nd and 9 at the opp 50 | 0-0 | win prob 70%,0-0,76% pass,PASS,followed the model,+1.22 EPA,(3:42) (Shotgun) 6-B.Mayfield pass short right to 13-M.Evans pushed ob at ATL 38 for 12 yards (37-C.Bryant).
Leaning / normal,LA,NE,2024 wk 11,Q1 09:34 | 2nd and 9 at the opp 46 | 0-0 | win prob 71%,0-0,75% pass,RUN,went the other way,-0.58 EPA,(9:34) (Shotgun) 23-K.Williams right guard to NE 43 for 3 yards (95-D.Ekuale).
Leaning / high leverage,JAX,LV,2024 wk 16,Q1 12:32 | 2nd and 8 at the opp 49 | 0-0 | win prob 47%,0-0,65% pass,PASS,followed the model,-0.91 EPA,(12:32) (Shotgun) 10-M.Jones pass incomplete short middle to 7-B.Thomas (95-J.Jenkins).
Leaning / high leverage,CAR,ATL,2025 wk 11,Q1 02:16 | 2nd and 8 at the opp 48 | 7-7 | win prob 45%,7-7,66% pass,RUN,went the other way,-0.55 EPA,(2:16) 5-R.Dowdle left tackle to ATL 46 for 2 yards (93-K.Street).
Obvious / normal,CAR,TB,2025 wk 16,Q2 00:38 | 2nd and 10 at the own 48 | 6-10 | win prob 28%,6-10,95% pass,PASS,followed the model,+0.87 EPA,(:38) (Shotgun) 9-B.Young pass short right to 17-X.Legette pushed ob at TB 40 for 12 yards (23-T.Smith) [90-L.Hall].
Obvious / normal,BAL,PIT,2025 wk 14,Q4 04:14 | 2nd and 10 at the opp 48 | 22-27 | win prob 35%,22-27,81% pass,RUN,went the other way,-0.68 EPA,(4:14) (Shotgun) 22-D.Henry right guard to PIT 46 for 2 yards (56-A.Highsmith).
Obvious / high leverage,WAS,PIT,2024 wk 10,Q4 01:34 | 3rd and 9 at the opp 50 | 27-28 | win prob 48%,27-28,98% pass,PASS,followed the model,-0.97 EPA,(1:34) (Shotgun) 5-J.Daniels pass incomplete deep right to 85-N.Brown (42-J.Pierre).
Obvious / high leverage,DET,PHI,2025 wk 11,Q1 02:19 | 3rd and 8 at the opp 42 | 0-3 | win prob 43%,0-3,96% pass,RUN,went the other way,-1.52 EPA,(2:19) (Shotgun) 5-D.Montgomery right tackle to PHI 40 for 2 yards (98-J.Carter). DET-69-T.Ratledge was injured during the play.
