season,side,n,mean_age,med,p25,p75
1999,Defense,26,50.38461538461539,50.5,44,55.75
2000,Defense,27,49.48148148148148,49,43,55
2001,Defense,27,50.44444444444444,51,43,58
2002,Defense,27,50.629629629629626,52,43.5,58
2003,Defense,27,49.925925925925924,47,44,56.5
2004,Defense,27,51.407407407407405,48,45,57.5
2005,Defense,27,50.666666666666664,47,43.5,58.5
2006,Defense,23,50.95652173913044,48,44.5,57.5
2007,Defense,23,52.78260869565217,51,47.5,60
2008,Defense,23,53.21739130434783,52,46,61
2009,Defense,22,49.77272727272727,49,45.25,52.5
2010,Defense,24,51.333333333333336,50,45.5,58
2011,Defense,28,52.67857142857143,52,45,59.5
2012,Defense,25,52.96,53,46,60
2013,Defense,28,52.214285714285715,51,45.5,57.25
2014,Defense,27,52.22222222222222,52,47.5,57
2015,Defense,28,51.75,52.5,43.75,57.5
2016,Defense,28,52.57142857142857,50.5,44,58.5
2017,Defense,25,52.04,51,43,59
2018,Defense,29,52.89655172413793,52,46,60
2019,Defense,24,53.875,53,47,60.25
2020,Defense,28,52.42857142857143,52,47,60.25
2021,Defense,25,50.2,49,44,58
2022,Defense,26,49.92307692307692,50.5,43.5,55.25
2023,Defense,31,49.516129032258064,51,42,55.5
2024,Defense,31,48.45161290322581,46,42,54
2025,Defense,29,47.62068965517241,46,42,53
1999,Offense,24,48.75,49,43.75,53.25
2000,Offense,28,48.75,49,44,54
2001,Offense,26,47.84615384615385,49,40,53.75
2002,Offense,29,48.827586206896555,50,41,55
2003,Offense,29,49.3448275862069,51,42,55
2004,Offense,27,50.2962962962963,50,43,55.5
2005,Offense,28,50.67857142857143,51.5,42.75,56
2006,Offense,32,49.375,49,43,54.25
2007,Offense,30,46.766666666666666,46,41,53
2008,Offense,31,48.87096774193548,47,41.5,56
2009,Offense,29,48.51724137931034,46,42,56
2010,Offense,29,48.827586206896555,47,43,58
2011,Offense,30,50.2,48,44,59
2012,Offense,31,50.38709677419355,49,45,58
2013,Offense,28,49.642857142857146,50,46,57
2014,Offense,26,48.88461538461539,51,43.25,52.75
2015,Offense,34,48.411764705882355,50,43.25,53
2016,Offense,30,50.2,51,46.5,53.75
2017,Offense,29,49.37931034482759,50,43,54
2018,Offense,32,47.9375,45.5,40,55
2019,Offense,29,45.51724137931034,44,39,52
2020,Offense,33,46.36363636363637,46,40,53
2021,Offense,41,45.97560975609756,45,39,51
2022,Offense,30,43.1,42,37.25,47.5
2023,Offense,31,45,42,38,49
2024,Offense,33,45.121212121212125,43,39,48
2025,Offense,35,44.542857142857144,42,39,46
