coach,decisions,wp_cost,wp_cost_hi,wp_cost_post,n_post,g,cost_per_game,games_thrown
Dave Canales,177,45.215391336502044,11.591940634517272,0.6050207741700995,6,35,1.2918683239000583,0.4521539133650204
Nick Sirianni,463,131.58541374693883,50.171611493282604,13.6059434582638,52,94,1.3998448270950938,1.3158541374693882
Matt LaFleur,556,184.46618040178188,48.12365054093583,13.622896106808211,40,125,1.4757294432142551,1.8446618040178189
Jonathan Gannon,251,74.65785988796141,16.640891670955455,0,0,50,1.4931571977592282,0.7465785988796141
Sean McDermott,662,219.6400720652176,71.71757857402879,43.62504374756325,79,144,1.5252782782306777,2.196400720652176
Brian Callahan,165,51.98253934234388,16.192966258582626,0,0,34,1.5288982159512905,0.5198253934234388
Mike Macdonald,182,52.151491823420315,18.087358478901475,1.292785413743791,15,34,1.5338674065711857,0.5215149182342032
Matt Eberflus,275,82.46056632436542,23.580207563248074,0,0,51,1.6168738494973611,0.8246056632436541
John Harbaugh,673,231.2435555930974,79.37064015530132,16.36909051383448,43,137,1.6879091649131197,2.312435555930974
Kevin Stefanski,581,180.78363374277995,50.787757688552226,3.0492319908271224,12,104,1.7383041706036535,1.8078363374277995
Adam Gase,239,83.5278136907977,15.25893814842695,0,0,48,1.7401627852249522,0.835278136907977
Arthur Smith,273,88.93633059600984,44.19608237394839,0,0,51,1.7438496195296047,0.8893633059600984
Ron Rivera,525,180.02330559625437,49.88126455933666,1.659674569714227,6,100,1.8002330559625437,1.8002330559625437
Mike McDaniel,340,124.87976009594814,35.86771098858867,3.1869025094373367,12,69,1.8098515955934513,1.2487976009594814
Brian Flores,247,90.67813450346047,19.507608387541467,0,0,49,1.8505741735400096,0.9067813450346047
Dan Campbell,426,164.8632305824664,34.072330884627895,9.013549432650292,16,88,1.8734458020734819,1.648632305824664
Shane Steichen,291,95.82064834680472,33.974439021250596,0,0,51,1.8788362420942102,0.9582064834680472
Kyle Shanahan,641,271.09612388139743,99.37706032427153,18.888866957036814,64,144,1.8826119713985934,2.710961238813974
Mike Vrabel,643,236.83038791641192,77.65332107284819,28.292920492815888,55,124,1.9099224831968704,2.3683038791641193
Raheem Morris,251,87.04107678650142,34.111596342859805,0,0,45,1.9342461508111426,0.8704107678650143
Robert Saleh,408,135.7475721761693,30.38661004560749,0,0,68,1.9962878261201369,1.357475721761693
Matt Nagy,347,131.64125006117695,27.71241611672114,15.075931434668282,14,65,2.025250000941184,1.3164125006117695
Dan Quinn,351,149.04443738432158,52.85282040234796,1.5773807504975257,19,73,2.0417046217030355,1.4904443738432158
Brian Daboll,404,142.98828827543852,32.064336557381495,1.0202264071483995,7,70,2.0426898325062646,1.4298828827543852
Zac Taylor,608,245.7568702939291,85.00502037500681,2.718987285189657,40,120,2.047973919116076,2.457568702939291
Kliff Kingsbury,362,139.88988856679939,56.3866467711775,0.03282875936088114,4,67,2.087908784579095,1.3988988856679938
Dennis Allen,287,105.07396738536646,41.07910200291769,0,0,50,2.101479347707329,1.0507396738536645
Mike McCarthy,504,206.52183227216403,53.344960732059135,8.93971810551648,18,98,2.107365635430245,2.0652183227216403
Joe Judge,188,71.98598481496926,3.781826597293475,0,0,33,2.1813934792414926,0.7198598481496926
Todd Bowles,494,193.9947456618603,81.95613973562936,12.308052166122808,20,88,2.2044857461575034,1.939947456618603
Matt Rhule,209,85.23779680834033,32.79053280690488,0,0,38,2.243099916008956,0.8523779680834034
Jon Gruden,197,81.54000687386005,24.932085538387543,0,0,36,2.265000190940557,0.8154000687386005
Frank Reich,464,198.8942917954075,56.16091732211361,5.535731778664262,12,87,2.286141285004684,1.988942917954075
Andy Reid,680,343.583113088104,125.98403240415905,42.46575033747567,94,150,2.290554087254027,3.43583113088104
Pat Shurmur,184,73.80929225446626,21.15792110989904,0,0,32,2.3065403829520705,0.7380929225446625
Pete Carroll,651,279.57820156860987,65.8817089317613,22.34431330675259,35,120,2.3298183464050823,2.7957820156860986
DeMeco Ryans,349,133.76994567196232,52.300549496145095,10.967775412944318,28,57,2.3468411521396897,1.3376994567196232
Mike Zimmer,341,157.3507595343993,34.9140859900384,5.375079319517092,11,67,2.348518799020885,1.573507595343993
Doug Pederson,579,243.7860203229025,51.63525746928391,10.879668266454479,28,103,2.3668545662417717,2.437860203229025
Vic Fangio,271,116.84288438377799,29.337339730892495,0,0,49,2.384548660893428,1.16842884383778
Sean Payton,656,295.11729626138657,112.0450595699967,19.567609951903073,46,122,2.41899423165071,2.9511729626138656
Bill O'Brien,208,102.87707674134967,20.8946807967563,5.494382209143858,15,39,2.6378737625987094,1.0287707674134967
Sean McVay,759,374.7044969513174,100.17895766636718,36.89182717097402,92,142,2.6387640630374465,3.7470449695131745
Doug Marrone,272,125.0577360615809,25.61692244676759,0,0,47,2.660802894927253,1.250577360615809
Jim Harbaugh,195,96.65648884439679,29.30687545906041,6.168246771087629,13,36,2.684902467899911,0.9665648884439679
Kevin O'Connell,368,190.75577774640823,67.71780628097662,4.921953604338723,10,70,2.7250825392344034,1.9075577774640822
Jason Garrett,176,94.90094757485089,31.167927468344914,4.71237193467457,11,34,2.7912043404367908,0.9490094757485089
Bill Belichick,528,282.9654195284443,83.36831284799169,31.44986999690679,21,100,2.8296541952844425,2.8296541952844425
Bruce Arians,246,154.88525915056186,52.858338877944426,19.377902568353537,26,54,2.8682455398252196,1.5488525915056186
Anthony Lynn,263,143.80908668427895,35.36357299875858,1.8869513183526143,10,50,2.876181733685579,1.4380908668427894
Mike Tomlin,812,400.61231824095717,134.0610545490138,13.18895977682925,24,138,2.9029878133402693,4.0061231824095715
Matt Patricia,236,131.01812040545946,52.78880167140821,0,0,43,3.0469330326851036,1.3101812040545946
Brandon Staley,265,153.69121082554076,48.688354484518634,0.6121720605216541,4,48,3.2019002255320994,1.5369121082554076
