caller,seasons,n,actual,resid
Raheem Morris,2,1322,50.30257186081695,19.794604811484888
Chris Shula,2,1476,47.357723577235774,17.19042433521692
Ejiro Evero,4,2381,46.451070978580425,16.363599312682197
Zach Orr,2,1457,41.86684969114619,12.08422306232159
Dennard Wilson,2,1139,38.19139596136962,9.133431862931795
Anthony Weaver,2,1214,38.63261943986821,8.9822062842020145
Leslie Frazier,1,727,39.20220082530949,7.903860263434197
Vic Fangio,3,2147,38.285980437820214,7.49478080263513
Sean McDermott,3,2055,36.78832116788321,6.423380548755325
Mike Macdonald,4,2977,36.04299630500504,5.7080709254997934
Nick Rallis,3,1803,33.333333333333336,4.393505889362452
Brandon Staley,3,1760,33.92045454545455,3.3559168386273095
Patrick Graham,4,2499,32.69307723089236,2.925812560362828
Joe Woods,2,890,32.92134831460673,1.8875791479864734
Jeff Hafley,2,1330,31.428571428571427,1.5779057128312917
Shane Bowen,4,2425,30.721649484536083,0.5021163699860444
Aaron Glenn,3,2141,30.826716487622605,0.2937245940017869
Jesse Minter,2,1313,30.616907844630617,0.1218951219992139
Brian Flores,3,1934,30.19648397104447,-0.16006770049681074
Joe Whitt Jr.,2,1012,29.446640316205535,-0.21870282511760744
Teryl Austin,4,2669,29.59910078681154,-0.6573975270452821
Todd Bowles,4,2830,29.646643109540637,-0.8142425121193269
Bill Belichick,2,1311,30.205949656750573,-1.0191540156358265
Ed Donatell,1,734,29.836512261580385,-1.082920062302403
Joe Barry,2,1260,28.571428571428573,-1.6922319556275989
Matt Eberflus,3,1646,28.18955042527339,-1.8427488662275242
Dennis Allen,4,2274,28.408091468777485,-2.1724402253321884
Steve Spagnuolo,4,3014,28.13536828135368,-2.4502726406472077
Jack Del Rio,2,1063,28.316086547507055,-2.7018566756935973
Dan Quinn,3,1600,28,-2.9471890667919087
Vance Joseph,4,2789,26.9989243456436,-3.0640378220400177
Ryan Nielsen,2,1277,26.938136256851998,-3.501391807569597
Anthony Campanile,1,740,26.756756756756758,-3.5362989173547628
Jeff Ulbrich,4,2447,26.113608500204332,-4.3364011086173395
Jonathan Gannon,1,740,27.432432432432428,-4.475980749404108
Mike Caldwell,2,1447,26.192121630960607,-4.777670267817475
Gus Bradley,3,1839,24.850462207721588,-5.629103248528713
Lou Anarumo,4,2715,24.38305709023941,-5.9893525642914
Steve Wilks,2,1299,23.633564280215552,-6.505974359506365
Jim Schwartz,3,1776,22.12837837837838,-8.913797760373903
DeMeco Ryans,3,2201,22.035438437074056,-9.494665080934482
Josh Boyer,1,746,20.64343163538874,-10.171273897024964
Clint Hurtt,2,1317,19.893697798025816,-11.283245251634936
Don Martindale,2,1336,18.41317365269461,-11.683932360272838
