caller,looks,plays,tell,from_menu,from_man,epa
Alex Van Pelt,5,999,0.1071387932455476,0.09572344707905033,0.011415346166497281,-0.08959476904645512
Andy Reid,13,4706,0.12785457308963497,0.09173741141472658,0.03611716167490839,0.07333678702938486
Arthur Smith,16,4031,0.11956613065433871,0.11842401208858438,0.0011421185657543298,-0.04172559066441119
Ben Johnson,12,4598,0.07742769830933538,0.10251384322409389,-0.02508614491475851,0.08510268880126315
Ben McAdoo,3,821,0.06988322379033397,0.08930721623949459,-0.019423992449160613,-0.053329769880625814
Bill O'Brien,5,980,0.08745368863609794,0.0948197331056803,-0.007366044469582361,-0.19340905849217657
Bo Hardegree,4,1311,0.09043990529434377,0.09108320816102285,-6.433028666790741e-4,-0.11879489466884907
Bobby Slowik,5,2284,0.11249976806350832,0.09325837503920921,0.019241393024299114,-0.038209684881535075
Brian Callahan,7,1200,0.07251627769243053,0.09113872050344574,-0.018622442811015202,-0.142422779008278
Brian Daboll,6,1015,0.09676016107664123,0.09283706950713001,0.0039230915695112195,-0.1100084086649041
Brian Johnson,4,1079,0.04127845469414252,0.07669715462468767,-0.035418699930545146,0.04211655288823196
Brian Schottenheimer,4,1065,0.07592305090390492,0.091283939457082,-0.01536088855317709,0.090551872503361
Byron Leftwich,6,1096,0.0919256499947526,0.08578721825931067,0.006138431735441929,-0.03580138763950579
Chip Kelly,5,609,0.11940360858178065,0.0942975827114403,0.025106025870340345,-0.19890897959246884
Dave Canales,8,3165,0.10882903393096247,0.09646841583265223,0.012360618098310239,-0.03337816139561149
Doug Pederson,6,1085,0.07429924359933898,0.08733139311828705,-0.013032149518948072,0.033702515305705734
Drew Petzing,9,3162,0.08333120645951654,0.09656786688178293,-0.013236660422266386,-0.019367588678844656
Eric Bieniemy,4,972,0.15927915260860628,0.07988140980186989,0.0793977428067364,-0.10439296691882849
Frank Reich,5,967,0.04819582496088092,0.07579164808877764,-0.02759582312789672,-0.16525161069421296
Greg Roman,12,3086,0.11095124789789829,0.11383859757203717,-0.002887349674138881,-0.010907921439306021
Joe Brady,6,2981,0.12101688972167561,0.09894149102280582,0.02207539869886979,0.14312568830304861
Joe Lombardi,6,1070,0.08484514238772149,0.0936309637965935,-0.008785821408872005,-0.002399028433150698
Josh Grizzard,6,1020,0.12517878463629842,0.0930932832441172,0.03208550139218122,-0.01058239920878734
Josh McDaniels,8,2617,0.12922692273131345,0.10005833049825585,0.029168592233057594,0.013879106859014013
Kellen Moore,13,4584,0.09070795904858847,0.09443805164740371,-0.003730092598815238,-4.2169557031215355e-4
Ken Dorsey,11,2344,0.08217622954509951,0.092343253444843,-0.010167023899743485,0.016093455741301572
Kevin O'Connell,11,4221,0.09529805624922906,0.10188907917345179,-0.006591022924222728,-0.045134659123845976
Kevin Patullo,6,1012,0.0783119649802717,0.08771296993650231,-0.009401004956230613,0.024200829452603743
Kevin Stefanski,13,3160,0.06634595303600052,0.09737338108433517,-0.03102742804833465,-0.11080172667258624
Kliff Kingsbury,14,3281,0.07776117122467309,0.10111150802513873,-0.023350336800465638,0.017052168274338298
Klint Kubiak,10,2561,0.07153730658377026,0.10296707674510185,-0.03142977016133158,-0.028638529369762026
Kyle Shanahan,14,4509,0.11671446186988457,0.10184358817555336,0.01487087369433121,0.0882947072471294
Liam Coen,9,2234,0.1332089283369593,0.09775315900650203,0.03545576933045727,0.07497755514287165
Luke Getsy,13,2513,0.07478408233313268,0.09828636826672014,-0.02350228593358747,-0.08473898710248763
