caller,n,act_run,exp_run,epa,first,last,over
Dowell Loggains,1920,49.010416666666664,42.78439857051123,-0.04836685264638786,2016,2020,6.2260180961554354
Zac Robinson,1651,50.69654754694124,44.50993539578197,0.03688864706841715,2024,2025,6.186612151159267
Luke Getsy,1994,49.94984954864594,43.766780522929416,-0.0782850695935711,2022,2024,6.183069025716527
Arthur Smith,5793,50.92352839634041,44.74355878090416,0.010029203204354376,2019,2025,6.179969615436249
Rick Dennison,807,50.557620817843876,44.42684344827317,-0.08084884535940048,2017,2017,6.130777369570708
Terry Robiskie,1631,50.95033721643163,44.87903053146531,-0.035868460407021276,2016,2017,6.071306684966316
John Morton,1108,51.08303249097472,45.323596534483954,-0.02838000130438697,2017,2025,5.759435956490769
Todd Downing,2940,49.48979591836735,43.82854077337808,-0.014389341358150644,2017,2024,5.661255144989269
Mike Sullivan,923,50.812567713976165,45.262573940532114,-0.040947551937703136,2017,2023,5.549993773444051
Brian Callahan,945,46.03174603174603,40.52381655329437,-0.11845907606917752,2024,2025,5.507929478451665
Scott Linehan,3288,49.39172749391727,45.35746967103877,0.02245474179315379,2015,2018,4.0342578228785015
Mike Shula,2678,50.74682598954443,46.95146709497629,-0.006025889086523091,2015,2021,3.795358894568146
Adam Gase,4025,47.03105590062112,43.37148828267679,-0.0581271273107569,2015,2020,3.659567617944326
Kevin Stefanski,5093,48.360494796779896,44.81375059118402,-0.02504994247344273,2018,2025,3.5467442055958784
Ken Zampese,915,46.666666666666664,43.136179110167625,0.028001654402753227,2016,2017,3.5304875564990397
Pete Carmichael,1635,48.86850152905199,45.70887400213321,-0.0016710405550629547,2022,2023,3.159627526918783
Anthony Lynn,1119,46.201966041108136,43.23037210518997,0.031058566226513453,2016,2021,2.9715939359181647
Klint Kubiak,2960,48.108108108108105,45.521127034570206,-0.004141840492228131,2021,2025,2.586981073537899
Josh Grizzard,812,46.55172413793104,44.03269498017182,0.003349746427490477,2025,2025,2.5190291577592205
Todd Monken,3073,49.105109013992845,46.62781129615411,0.0757992428113637,2018,2025,2.477297717838738
Alex Van Pelt,878,45.33029612756264,42.923295001683925,-0.057395676470808926,2020,2024,2.4070011258787147
Rob Boras,935,47.70053475935829,45.307809907674034,-0.1242641575239701,2015,2016,2.3927248516842567
Nathaniel Hackett,3468,46.049596309111884,43.77387527235701,-0.07440841338485743,2016,2024,2.2757210367548737
Greg Roman,6079,47.9355157098207,45.71644665874375,0.039715760265628716,2015,2025,2.21906905107695
Bill O'Brien,5165,46.447241045498544,44.370483293234976,-0.04319448726873547,2015,2023,2.0767577522635676
Mike Kafka,2527,46.45825089038386,44.40113765953776,-0.03314353559174567,2022,2025,2.057113230846099
Matt Canada,2178,45.95959595959596,43.96399031684003,-0.06497207083580095,2021,2023,1.9956056427559261
Chip Kelly,2043,44.83602545276554,42.925912701778735,-0.08299000533602512,2015,2025,1.910112750986805
Kyle Shanahan,9784,48.27269010629599,46.51544717737236,0.052640843535484136,2015,2025,1.757242928923631
Pat Shurmur,4510,45.72062084257206,43.96934053862669,-0.023737181537914785,2015,2021,1.7512803039453715
Dan Campbell,858,44.87179487179487,43.1542992229315,0.015231906695217564,2021,2025,1.7174956488633697
Bo Hardegree,1005,44.5771144278607,42.95192941671133,-0.0733536751980111,2023,2025,1.6251850111493695
Matt LaFleur,6766,48.47768253029855,46.87382351341981,0.07082622009216406,2018,2025,1.6038590168787437
Mike McDaniel,3283,46.66463600365519,45.15190706464928,0.028339672493353042,2022,2025,1.5127289390059104
Norv Turner,2569,46.944336317633315,45.488054953724344,-0.00484531100742885,2015,2019,1.4562813639089711
Brian Schottenheimer,3603,46.489036913683044,45.15133138286955,0.06129893088437315,2018,2025,1.3377055308134942
Shane Steichen,5159,47.2766039930219,45.94606393751427,0.009560649691715425,2019,2025,1.3305400555076332
Marty Mornhinweg,2272,46.390845070422536,45.13102477013863,-0.02479719088260264,2016,2018,1.2598203002839057
Dave Canales,2434,45.2341824157765,44.12471802041221,-0.044049394812721035,2023,2025,1.1094643953642915
Freddie Kitchens,1482,45.276653171390016,44.22370339762646,-0.04849787381963278,2018,2021,1.052949773763558
Frank Reich,5113,45.0029336984158,43.983081653302555,6.511507873100844e-4,2015,2023,1.0198520451132467
Kellen Moore,6297,45.62490074638716,44.780537253622754,0.02732712473924184,2019,2025,0.8443634927644084
Gary Kubiak,2562,46.25292740046838,45.47010702960728,-0.011677563368859202,2015,2020,0.7828203708611028
Bobby Slowik,1800,45.666666666666664,45.071523456575534,-0.03370105302881539,2023,2024,0.5951432100911305
Ken Whisenhunt,3184,45.38316582914573,44.884462080294554,0.05356646138798619,2015,2019,0.4987037488511774
Kevin Patullo,824,48.179611650485434,47.693051805367105,-0.0025065580569569807,2025,2025,0.48655984511832884
Bill Musgrave,2720,43.713235294117645,43.27904016197222,-0.008386561070492007,2015,2018,0.43419513214542604
Ben McAdoo,2630,45.437262357414454,45.21156432457663,6.248276318234152e-4,2015,2022,0.2256980328378262
Ben Johnson,3720,47.446236559139784,47.23368674098587,0.0695177163811055,2022,2025,0.21254981815391716
Jon Gruden,2621,45.36436474628005,45.17875132433436,-0.023829676504802152,2018,2021,0.1856134219456962
Jay Gruden,2503,42.66879744306832,42.51297653968623,-0.04089039594652709,2017,2020,0.15582090338209298
Mike LaFleur,1664,42.54807692307693,42.47000242713301,-0.04935076567674316,2021,2025,0.07807449594391613
Tim Kelly,2250,43.68888888888889,43.633238178698534,-0.025508371740890563,2020,2023,0.05565071019035628
Scott Turner,3166,43.46178142766899,43.43319662863687,-0.04010034242891189,2019,2024,0.028584799032117303
Darrell Bevell,4730,43.36152219873151,43.38414352641177,-0.004317947784955166,2015,2021,-0.022621327680262482
Joe Brady,3741,47.26009088479016,47.33277796803752,0.055505045735465865,2020,2025,-0.0726870832473594
Bruce Arians,2577,44.897167248738846,45.17951576363733,-0.008502731658274303,2015,2017,-0.2823485148984872
Hue Jackson,2364,41.96277495769881,42.335610694918515,-0.05772748643865983,2015,2017,-0.3728357372197024
Nick Caley,945,46.13756613756613,46.57423252929691,-0.04753350461765906,2025,2025,-0.4366663917307747
Steve Sarkisian,1661,44.06983744732089,44.65926630777953,0.04250668102516985,2017,2018,-0.5894288604586393
Todd Haley,3149,44.90314385519213,45.519869619058895,0.036951431375530794,2015,2018,-0.6167257638667678
Kliff Kingsbury,5138,43.92759828727131,44.57473824456486,0.01876606798505534,2019,2025,-0.6471399572935539
Shane Waldron,2804,43.295292439372325,44.18504715238837,0.03436295895738599,2021,2024,-0.8897547130160461
Josh McDaniels,8679,45.83477359142758,46.727929278729185,0.0491714059540017,2015,2025,-0.8931556873016078
Marc Trestman,1100,40.72727272727272,41.69204324416138,-0.03580414687938364,2015,2016,-0.9647705168886631
Dirk Koetter,4585,42.181025081788434,43.264033033318526,-0.014284588451289777,2015,2020,-1.0830079515300923
