caller,variable,value,side
Andy Reid,Tempo,1.682935038707506,Offense
Pete Carmichael,Tempo,6.0046189376443415,Offense
Zac Taylor,Tempo,2.807735217552994,Offense
Sean McVay,Tempo,7.812216784484321,Offense
Mike McDaniel,Tempo,3.8371640046747175,Offense
Kevin Stefanski,Tempo,8.347826086956523,Offense
Kyle Shanahan,Tempo,2.7300124091473146,Offense
Greg Roman,Tempo,3.787128712871287,Offense
Matt Canada,Tempo,8.251748251748252,Offense
Shane Waldron,Tempo,16.965643052599575,Offense
Shane Steichen,Tempo,11.400293255131965,Offense
Kevin O'Connell,Tempo,10.426179604261796,Offense
Scott Turner,Tempo,7.472417251755266,Offense
Kliff Kingsbury,Tempo,43.31103678929766,Offense
Ken Dorsey,Tempo,11.40745501285347,Offense
Josh McDaniels,Tempo,3.343108504398827,Offense
Matt LaFleur,Tempo,6.300697981512922,Offense
Mike Kafka,Tempo,14.30323846908734,Offense
Arthur Smith,Tempo,13.484006895230799,Offense
Todd Downing,Tempo,6.418918918918918,Offense
Ben Johnson,Tempo,4.162401910610713,Offense
Nathaniel Hackett,Tempo,7.232441471571906,Offense
Luke Getsy,Tempo,6.774394033561218,Offense
Kellen Moore,Tempo,16.118989968868906,Offense
Klint Kubiak,Tempo,7.191883019994032,Offense
Bobby Slowik,Tempo,5.825577387107893,Offense
Mike McCarthy,Tempo,6.786355475763016,Offense
Todd Monken,Tempo,4.488899731641864,Offense
Press Taylor,Tempo,7.833920877399138,Offense
Sean Payton,Tempo,10.31357177853993,Offense
Dave Canales,Tempo,5.869017632241814,Offense
Drew Petzing,Tempo,9.08385093167702,Offense
Bo Hardegree,Tempo,7.308377896613191,Offense
Joe Brady,Tempo,5.118778280542986,Offense
Zac Robinson,Tempo,10.776361529548089,Offense
Liam Coen,Tempo,5.350686912509038,Offense
Andy Reid,Under center,9.124579124579125,Offense
Pete Carmichael,Under center,15.785054575986566,Offense
Zac Taylor,Under center,6.574271499644634,Offense
Sean McVay,Under center,28.9193302891933,Offense
Mike McDaniel,Under center,12.21001221001221,Offense
Kevin Stefanski,Under center,17.573221757322173,Offense
Kyle Shanahan,Under center,20.72,Offense
Greg Roman,Under center,14.396028681742967,Offense
Matt Canada,Under center,10.253807106598984,Offense
Shane Waldron,Under center,15.23096129837703,Offense
Shane Steichen,Under center,6.273369339426672,Offense
Kevin O'Connell,Under center,27.674153026265703,Offense
Scott Turner,Under center,13.326226012793176,Offense
Kliff Kingsbury,Under center,3.664921465968586,Offense
Ken Dorsey,Under center,14.140127388535031,Offense
Josh McDaniels,Under center,23.231058234189106,Offense
Matt LaFleur,Under center,18.966977138018628,Offense
Mike Kafka,Under center,14.922907488986784,Offense
Arthur Smith,Under center,15.92442645074224,Offense
Todd Downing,Under center,18.124341412012647,Offense
Ben Johnson,Under center,30.204841713221604,Offense
Nathaniel Hackett,Under center,19.604612850082372,Offense
Luke Getsy,Under center,11.804008908685969,Offense
Kellen Moore,Under center,12.383177570093459,Offense
Klint Kubiak,Under center,26.67116812964213,Offense
Bobby Slowik,Under center,20.287769784172664,Offense
Mike McCarthy,Under center,15.290739411342427,Offense
Todd Monken,Under center,11.742892459826946,Offense
Press Taylor,Under center,10.008071025020177,Offense
Sean Payton,Under center,16.42105263157895,Offense
Dave Canales,Under center,13.81156316916488,Offense
Drew Petzing,Under center,15.228966986155484,Offense
Bo Hardegree,Under center,16.848484848484848,Offense
Joe Brady,Under center,17.978290366350066,Offense
Zac Robinson,Under center,9.982788296041308,Offense
Liam Coen,Under center,18.49802371541502,Offense
Andy Reid,Play action,20.64080944350759,Offense
Pete Carmichael,Play action,15.798319327731091,Offense
Zac Taylor,Play action,18.253400143163923,Offense
Sean McVay,Play action,28.92530487804878,Offense
Mike McDaniel,Play action,31.013431013431013,Offense
Kevin Stefanski,Play action,24.42468619246862,Offense
Kyle Shanahan,Play action,22.849139655862345,Offense
Greg Roman,Play action,28.547763666482606,Offense
Matt Canada,Play action,16.361788617886177,Offense
Shane Waldron,Play action,23.09136420525657,Offense
Shane Steichen,Play action,29.308909242298085,Offense
Kevin O'Connell,Play action,28.947368421052634,Offense
Scott Turner,Play action,28.068303094983992,Offense
Kliff Kingsbury,Play action,24.89517819706499,Offense
Ken Dorsey,Play action,23.581899298916507,Offense
Josh McDaniels,Play action,22.33375156838143,Offense
Matt LaFleur,Play action,26.016949152542374,Offense
Mike Kafka,Play action,24.682495858641634,Offense
Arthur Smith,Play action,28.51985559566787,Offense
Todd Downing,Play action,27.291886195995787,Offense
Ben Johnson,Play action,30.462341536167038,Offense
Nathaniel Hackett,Play action,19.966996699669966,Offense
Luke Getsy,Play action,25.27881040892193,Offense
Kellen Moore,Play action,22.92073408824678,Offense
Klint Kubiak,Play action,24.577987846049968,Offense
Bobby Slowik,Play action,24.244604316546763,Offense
Mike McCarthy,Play action,20.632638389647738,Offense
Todd Monken,Play action,26.237623762376238,Offense
Press Taylor,Play action,21.06537530266344,Offense
Sean Payton,Play action,25.53975776724592,Offense
Dave Canales,Play action,24.049276914836636,Offense
Drew Petzing,Play action,25.732551944592437,Offense
Bo Hardegree,Play action,24.179829890643987,Offense
Joe Brady,Play action,24.660326086956523,Offense
Zac Robinson,Play action,17.687661777394307,Offense
Liam Coen,Play action,23.47826086956522,Offense
Andy Reid,RPO,14.540558734432851,Offense
Pete Carmichael,RPO,5.196304849884527,Offense
Zac Taylor,RPO,10.208255857195983,Offense
