band,moment,n,rate
"4 to 8
obvious",Close game,418,64.35406698564593
"0 to 1
razor thin",Close game,656,9.298780487804878
"1 to 2
slim",Close game,554,16.064981949458485
"0 to 1
razor thin",Everything else,2659,13.689356901090635
"1 to 2
slim",Everything else,1876,26.066098081023455
"2 to 4
clear",Everything else,1733,44.720138488170804
"2 to 4
clear",Close game,728,32.28021978021978
"4 to 8
obvious",Everything else,758,66.75461741424802
"8+
no argument",Everything else,192,84.89583333333334
"8+
no argument",Close game,73,79.45205479452055
