situation,plays,epa,wpa,success,season
All plays,34297,-0.02178279966272263,-4.1012828518995786e-4,0.4201825232527626,2015
Late down,7633,-0.10031490076944591,-5.684935719419897e-4,0.41975632123673523,2015
Late half,3733,0.020185747373770338,-9.378527156914796e-4,0.41307259576747923,2015
Late game,3020,-0.059734463359571575,-9.91130666089536e-4,0.3913907284768212,2015
High leverage,8483,-0.018353364975434355,-4.876414532345991e-4,0.42319933985618297,2015
Playoffs,1415,-0.10150113690468211,-0.0024565722055862023,0.3773851590106007,2015
Big swings,1763,0.16869989402810995,0.017771984508850074,0.6091888825865003,2015
All plays,34038,-0.0019379305419226353,3.1911640263200715e-4,0.43016628474058405,2016
Late down,7511,-0.0527639149503203,9.990772355152582e-4,0.4312341898548795,2016
Late half,3793,0.022910160416165927,-0.0011425938905008245,0.41972053783284996,2016
Late game,3022,-0.058664454869182224,-0.0011740441019662997,0.3878226340172071,2016
High leverage,8941,0.013200563170397195,0.0010131004558081907,0.4394363046639078,2016
Playoffs,1398,0.025496817356529776,8.358233801471475e-4,0.4313304721030043,2016
Big swings,1654,0.2945360116393502,0.02466626651592976,0.6239419588875453,2016
All plays,33763,-0.03594479781317456,-5.148187394570848e-4,0.41281876610490775,2017
Late down,7628,-0.0980106548047791,2.4238094579443126e-4,0.4149187205034085,2017
Late half,3737,-0.010102769267844694,-0.001957943836614664,0.4046026224244046,2017
Late game,2891,-0.10067682602895735,-0.002003988079135545,0.3801452784503632,2017
High leverage,8304,-0.034034710772103724,-6.917925743075513e-4,0.4123314065510597,2017
Playoffs,1442,0.08804412579312826,0.0018500646300706333,0.4375866851595007,2017
Big swings,1593,0.22747587203513692,0.022400729221794043,0.6164469554300063,2017
All plays,33540,6.792827784989066e-4,7.30393307463704e-4,0.4364937388193202,2018
Late down,7290,-0.05154015970661029,0.0014599408256216482,0.4352537722908093,2018
Late half,3801,0.04613781858406841,-1.994390146190638e-5,0.44409365956327285,2018
Late game,2915,-0.014067724118456087,0.0017632641676607092,0.40720411663807893,2018
High leverage,8174,0.017591042173125484,0.0015680515809036839,0.44250061169562027,2018
Playoffs,1417,0.01020060341787987,0.001139553186908789,0.4234297812279464,2018
Big swings,1675,0.27311568184728974,0.026999567358889337,0.6197014925373134,2018
All plays,33777,-0.011649377191606598,3.2338574334766487e-4,0.42753944992154425,2019
Late down,7414,-0.04593924946394601,6.929754612589048e-4,0.4267601834367413,2019
Late half,3832,0.011672020689520397,-9.005218323027726e-4,0.42484342379958245,2019
Late game,2919,-0.057437755636247076,-1.4790873224972386e-4,0.4039054470709147,2019
High leverage,7998,0.012460387094314759,0.0012289672362963203,0.43360840210052515,2019
Playoffs,1358,0.061086437963458896,0.0020475352978087218,0.44477172312223856,2019
Big swings,1604,0.2738041035063744,0.022291562721461586,0.6184538653366584,2019
All plays,34379,0.02592907395869684,0.001253805465975018,0.4505948398731784,2020
Late down,7458,0.005526054613517796,0.0018600095918419929,0.4570930544381872,2020
Late half,3950,0.06519819639790518,3.38253070501656e-4,0.4539240506329114,2020
Late game,2934,-0.012365762589610306,7.247850104220944e-4,0.4294478527607362,2020
High leverage,7773,0.019036297309456822,0.0013524405040843636,0.45130580213559757,2020
Playoffs,1663,0.04790626415039855,9.625922845403743e-4,0.45941070354780517,2020
Big swings,1585,0.16959513465905404,0.018836460737245295,0.6075709779179811,2020
All plays,35945,-0.001962117814154035,0.0010634766293358012,0.43944915843650023,2021
Late down,8106,-0.025360425074069583,0.0023885516162165036,0.44954354798914387,2021
Late half,4240,0.034963054806465284,0.0014335020774827985,0.4391509433962264,2021
Late game,3176,-0.041722372502333537,0.0025823096032663636,0.4127833753148615,2021
High leverage,8149,0.01570665675912559,0.0017611913444547296,0.4479077187384955,2021
Playoffs,1629,0.01139000250892966,0.0012748335970093328,0.4340085942295887,2021
Big swings,1684,0.3249220096292425,0.02835121444407807,0.6223277909738717,2021
All plays,35633,-0.01082608842319607,3.3659048954142243e-4,0.4358038896528499,2022
Late down,8073,-0.06238580115836363,4.894645305128933e-4,0.437631611544655,2022
Late half,4197,0.0255465601597489,-0.001034390693253715,0.43840838694305456,2022
Late game,3126,-0.0749858702497157,-1.7587891796681863e-4,0.399872040946897,2022
High leverage,10054,-0.025592172960574106,2.8324103779406496e-4,0.42868510045752933,2022
Playoffs,1662,0.0654365490026155,0.0019613004191691443,0.46269554753309267,2022
Big swings,1949,0.29083140103737637,0.021772278987544552,0.620318111852232,2022
All plays,35761,-0.032889302307436,-5.898174889391708e-5,0.42462459103492634,2023
Late down,8333,-0.05417410675489025,7.574917300183013e-4,0.4275771030841234,2023
Late half,4120,-0.040908700570092826,-0.002247200005353862,0.4121359223300971,2023
Late game,3094,-0.1365900816311886,-0.0020363776129677376,0.36877828054298645,2023
High leverage,9191,-0.011741243371360892,6.192398401580093e-4,0.42933304319442933,2023
Playoffs,1647,0.06162789020512857,0.002920851818806076,0.4517304189435337,2023
Big swings,1860,0.16249221470015518,0.019075738799411813,0.5962365591397849,2023
All plays,35288,0.003771072024032936,7.500345379479524e-4,0.4370607571979143,2024
Late down,8013,-0.002187520873745356,0.0015133365768842358,0.44540122301260454,2024
Late half,4137,0.03360443394214722,-0.0018877781436434087,0.42953831278704374,2024
Late game,3098,0.013026948525073955,-1.465441959926773e-4,0.41413815364751455,2024
High leverage,9275,0.0040372714284162,8.515150727798715e-4,0.43827493261455525,2024
Playoffs,1579,0.045462046131572065,0.0015031203505495004,0.45471817606079795,2024
Big swings,1783,0.3658319376761357,0.023826942833678397,0.6203028603477285,2024
All plays,34844,-9.263976499323121e-4,7.217826322899847e-4,0.4369762369417977,2025
Late down,8127,-0.02472779358069464,0.0018901641651176066,0.4389073458840901,2025
Late half,4080,0.031498998305581415,7.181844966657866e-4,0.42769607843137253,2025
Late game,3073,-0.01843771867386969,0.0023118812571378622,0.4054669703872437,2025
High leverage,8975,0.010664433245830414,0.001697008524540977,0.44055710306406687,2025
Playoffs,1700,-0.04483662370307299,2.3821871507402557e-4,0.4188235294117647,2025
Big swings,1914,0.3808130534679663,0.026748370993145983,0.6285266457680251,2025
