target,arm,n,auc,auc_base,lift,logloss,ece,persist,passed
Run or pass,situation only,297215,0.7934838827530263,0.6949055073678659,0.09857837538516034,0.5245741415972848,0.004296413312321731,0.502771331489906,TRUE
Run or pass,situation only,297215,0.7934838827530263,0.6949055073678659,0.09857837538516034,0.5245741415972848,0.004296413312321731,0.502771331489906,TRUE
Run or pass,situation only,297215,0.7934838827530263,0.6949055073678659,0.09857837538516034,0.5245741415972848,0.004296413312321731,0.502771331489906,TRUE
Run or pass,situation only,297215,0.7934838827530263,0.6949055073678659,0.09857837538516034,0.5245741415972848,0.004296413312321731,0.502771331489906,TRUE
Run or pass,situation only,297215,0.7934838827530263,0.6949055073678659,0.09857837538516034,0.5245741415972848,0.004296413312321731,0.502771331489906,TRUE
Run or pass,plus Madden QB,297215,0.7948982444213311,0.6949055073678659,0.09999273705346512,0.5232503794059611,0.006761872628056643,0.08878538013859337,TRUE
Run or pass,plus Madden QB,297215,0.7948982444213311,0.6949055073678659,0.09999273705346512,0.5232503794059611,0.006761872628056643,0.08878538013859337,TRUE
Run or pass,plus Madden QB,297215,0.7948982444213311,0.6949055073678659,0.09999273705346512,0.5232503794059611,0.006761872628056643,0.08878538013859337,TRUE
Run or pass,plus Madden QB,297215,0.7948982444213311,0.6949055073678659,0.09999273705346512,0.5232503794059611,0.006761872628056643,0.08878538013859337,TRUE
Run or pass,plus Madden QB,297215,0.7948982444213311,0.6949055073678659,0.09999273705346512,0.5232503794059611,0.006761872628056643,0.08878538013859337,FALSE
Play action,situation only,134044,0.7052179957162308,0.6314017009365663,0.07381629477966445,0.35371625882646424,0.00732038826794785,0.5598534471344937,TRUE
Play action,situation only,134044,0.7052179957162308,0.6314017009365663,0.07381629477966445,0.35371625882646424,0.00732038826794785,0.5598534471344937,TRUE
Play action,situation only,134044,0.7052179957162308,0.6314017009365663,0.07381629477966445,0.35371625882646424,0.00732038826794785,0.5598534471344937,TRUE
Play action,situation only,134044,0.7052179957162308,0.6314017009365663,0.07381629477966445,0.35371625882646424,0.00732038826794785,0.5598534471344937,TRUE
Play action,situation only,134044,0.7052179957162308,0.6314017009365663,0.07381629477966445,0.35371625882646424,0.00732038826794785,0.5598534471344937,TRUE
Play action,plus Madden QB,134044,0.7063376727315612,0.6314017009365663,0.0749359717949949,0.3537098780481033,0.009685537612772754,0.35927306046079327,TRUE
Play action,plus Madden QB,134044,0.7063376727315612,0.6314017009365663,0.0749359717949949,0.3537098780481033,0.009685537612772754,0.35927306046079327,TRUE
Play action,plus Madden QB,134044,0.7063376727315612,0.6314017009365663,0.0749359717949949,0.3537098780481033,0.009685537612772754,0.35927306046079327,TRUE
Play action,plus Madden QB,134044,0.7063376727315612,0.6314017009365663,0.0749359717949949,0.3537098780481033,0.009685537612772754,0.35927306046079327,TRUE
Play action,plus Madden QB,134044,0.7063376727315612,0.6314017009365663,0.0749359717949949,0.3537098780481033,0.009685537612772754,0.35927306046079327,TRUE
Blitz,situation only,134044,0.6409636643852046,0.6152826674112429,0.025680996973961645,0.4262662505294324,0.01014134264960334,0.7922001284405702,FALSE
Blitz,situation only,134044,0.6409636643852046,0.6152826674112429,0.025680996973961645,0.4262662505294324,0.01014134264960334,0.7922001284405702,TRUE
Blitz,situation only,134044,0.6409636643852046,0.6152826674112429,0.025680996973961645,0.4262662505294324,0.01014134264960334,0.7922001284405702,TRUE
Blitz,situation only,134044,0.6409636643852046,0.6152826674112429,0.025680996973961645,0.4262662505294324,0.01014134264960334,0.7922001284405702,TRUE
Blitz,situation only,134044,0.6409636643852046,0.6152826674112429,0.025680996973961645,0.4262662505294324,0.01014134264960334,0.7922001284405702,TRUE
Blitz,plus Madden QB,134044,0.643079839149272,0.6152826674112429,0.02779717173802909,0.425800981334583,0.009295358638477738,0.7748622287337519,FALSE
Blitz,plus Madden QB,134044,0.643079839149272,0.6152826674112429,0.02779717173802909,0.425800981334583,0.009295358638477738,0.7748622287337519,TRUE
Blitz,plus Madden QB,134044,0.643079839149272,0.6152826674112429,0.02779717173802909,0.425800981334583,0.009295358638477738,0.7748622287337519,FALSE
Blitz,plus Madden QB,134044,0.643079839149272,0.6152826674112429,0.02779717173802909,0.425800981334583,0.009295358638477738,0.7748622287337519,TRUE
Blitz,plus Madden QB,134044,0.643079839149272,0.6152826674112429,0.02779717173802909,0.425800981334583,0.009295358638477738,0.7748622287337519,TRUE
