coach,resid_sit,n,resid_mad,target,shift
Adam Gase,-1.4929162643454112,2210,-1.0794380474756675,Run or pass,0.41347821686974373
Alex Van Pelt,-0.680485289862387,1030,-1.718535142745392,Run or pass,-1.038049852883005
Andy Reid,8.203292363512153,9267,1.6693951508385738,Run or pass,-6.53389721267358
Anthony Lynn,0.20862381147692677,518,0.07960118675652827,Run or pass,-0.1290226247203985
Arthur Smith,-5.247974614398901,7433,-2.4903639079105697,Run or pass,2.757610706488331
Ben Johnson,-0.9116738356458257,4831,0.21860159234329735,Run or pass,1.130275427989123
Bill Lazor,0.5567126496111136,3059,3.2498196702059534,Run or pass,2.69310702059484
Bill Musgrave,-2.7023716922037075,1415,-2.2014229578498066,Run or pass,0.500948734353901
Bill O'Brien,-0.06792695737753664,4311,0.19999821182031383,Run or pass,0.2679251691978505
Bo Hardegree,-1.235605992917288,542,-0.5348946648641828,Run or pass,0.7007113280531052
Bobby Slowik,1.0273706834308178,2357,1.1599418223941385,Run or pass,0.13257113896332062
Brian Callahan,-4.637854185294266,1046,-4.006013182676293,Run or pass,0.631841002617973
Brian Daboll,2.4612900064373266,5586,-0.6637450439094597,Run or pass,-3.1250350503467863
Brian Johnson,-1.1750949210373673,1163,-2.261344491584949,Run or pass,-1.0862495705475816
Brian Schottenheimer,-1.5482587161071872,4573,-0.4989645711058547,Run or pass,1.0492941450013324
Bruce Arians,1.3530519264844942,1056,1.2459922427909276,Run or pass,-0.10705968369356667
Byron Leftwich,4.6907375573179495,5367,2.692412062497455,Run or pass,-1.9983254948204947
Chad O'Shea,7.449001082692308,1019,11.195019411335705,Run or pass,3.7460183286433972
Chan Gailey,3.717119505493604,1013,3.423250904347064,Run or pass,-0.29386860114654034
Chip Kelly,1.9721139054863168,643,0.5565429711609338,Run or pass,-1.415570934325383
Dan Campbell,-3.826195817177132,1120,-3.310619025806767,Run or pass,0.515576791370365
Darrell Bevell,0.28227292445826074,3804,-0.17907604343574232,Run or pass,-0.46134896789400304
Dave Canales,-0.3158468192916879,3215,1.0988671367081506,Run or pass,1.4147139559998385
Dirk Koetter,3.2747877441475155,3717,1.4515093824985323,Run or pass,-1.8232783616489832
Doug Pederson,1.757516038918717,5837,1.590444445926699,Run or pass,-0.1670715929920179
Dowell Loggains,-5.820975156257813,1501,-6.986505335777394,Run or pass,-1.165530179519581
Drew Petzing,0.3680734982344702,3194,2.8390570501262533,Run or pass,2.4709835518917833
Eric Bieniemy,7.413750869120406,1061,6.9528292418692965,Run or pass,-0.46092162725110963
Frank Reich,-1.632769048277366,5477,-0.382258857834993,Run or pass,1.250510190442373
Freddie Kitchens,-1.4510536944824581,1865,-1.2684028732039418,Run or pass,0.18265082127851628
Gary Kubiak,-4.496802061565219,1027,-2.2458884523662404,Run or pass,2.250913609198979
George Godsey,2.57725102189017,1090,1.9876518705938206,Run or pass,-0.5895991512963494
Greg Olson,0.9780538559925014,1123,1.6619044369133886,Run or pass,0.6838505809208872
Greg Roman,-2.974770415622864,6760,-1.864163692324549,Run or pass,1.110606723298315
Hue Jackson,1.1846904348534415,1012,2.977428248046088,Run or pass,1.7927378131926464
Jason Garrett,1.8640119298599096,1509,1.5674590364039678,Run or pass,-0.2965528934559418
Jay Gruden,0.49350396510544325,2238,0.34368991680033256,Run or pass,-0.1498140483051107
Jeremy Bates,-3.516796898438357,968,-4.104210903348515,Run or pass,-0.5874140049101584
Jim Bob Cooter,1.313945988247166,2008,-0.677692243549377,Run or pass,-1.9916382317965429
Joe Brady,-0.6871358271169278,4818,-1.1192368103424406,Run or pass,-0.4321009832255128
Joe Lombardi,6.185320667600526,2336,4.4095264203663715,Run or pass,-1.7757942472341544
John DeFilippo,5.028000562743651,829,7.935967782179631,Run or pass,2.90796721943598
John Morton,-3.9637015692624415,1466,-4.720726895317822,Run or pass,-0.7570253260553801
Jon Gruden,-0.8622347303608173,3351,-0.7268868587684775,Run or pass,0.13534787159233985
Josh Grizzard,-1.7097690742758243,1070,-1.6078314833218643,Run or pass,0.10193759095395993
Josh McDaniels,-0.7777602413110725,8595,-0.869505067492044,Run or pass,-0.09174482618097157
Kellen Moore,-1.2849545122301007,8147,-1.9185171657522353,Run or pass,-0.6335626535221346
Ken Dorsey,5.161126627012132,2436,4.790673773908235,Run or pass,-0.3704528531038971
Ken Whisenhunt,0.8709492792742213,2562,1.053317931391677,Run or pass,0.18236865211745568
Kevin O'Connell,2.876210629181815,4907,4.331490923867271,Run or pass,1.4552802946854562
Kevin Patullo,-1.4716260626890576,1074,1.3292365319247823,Run or pass,2.80086259461384
Kevin Stefanski,-4.216859217313937,5415,-4.182905765667729,Run or pass,0.03395345164620789
Kliff Kingsbury,0.6147953797039369,6609,2.3957716886895524,Run or pass,1.7809763089856154
Klint Kubiak,-3.0961863202562343,3820,-3.8587434626208545,Run or pass,-0.7625571423646202
Kyle Shanahan,-2.7371004369328396,9133,-0.7223819412960858,Run or pass,2.0147184956367536
