off_play_caller,n,n_dev,follow,dev,surprise_edge,tot,epa
Bobby Slowik,806,363,-0.12918933620508843,0.12951128002065151,0.2587006162257399,2357,-0.03765184789895137
Greg Olson,859,419,-0.1350979493006566,0.10157786065830382,0.23667580995896043,2579,-0.07505541979922958
Kyle Shanahan,4434,2000,-0.03431489291437906,0.16777322073185455,0.2020881136462336,12382,0.05210675024313756
Steve Sarkisian,721,382,-0.04878279832629527,0.1531378008032155,0.20192059912951077,2127,0.0430248028861927
Ben Johnson,1688,812,-0.007107723091385285,0.18899714331947184,0.19610486641085711,4831,0.08833623827451569
Bo Hardegree,413,190,-0.16838371698096702,0.01984841650394771,0.18823213348491474,1364,-0.11879489466884907
John DeFilippo,904,410,-0.14892596703450345,0.02172604483310142,0.17065201186760487,2899,-0.08311903154747091
Mike McDaniel,1420,607,-0.01658277302678072,0.15330559753018203,0.16988837055696274,4217,0.008925338358125525
Todd Monken,1348,604,0.03446651108018342,0.2020073219240205,0.16754081084383707,3882,0.09629991374173814
Jay Gruden,1055,401,-0.08826555588198091,0.07361771907800808,0.161883274959989,3241,-0.0825427003046613
Frank Reich,2195,1008,-0.10438238849946688,0.05323254068049991,0.15761492917996678,6582,-0.007627169138471102
Jason Garrett,526,263,-0.10507146512315818,0.048858778003227854,0.15393024312638603,1509,-0.06720230668746746
Brian Daboll,1930,997,-0.06071055732239026,0.09278894280051497,0.15349950012290522,5586,0.005221041074799289
Dowell Loggains,862,391,-0.1492214682144944,0.0028018498180053604,0.15202331803249974,2466,-0.0800654515900227
Ken Whisenhunt,1341,569,-0.0035685982283935333,0.1443076046253306,0.14787620285372413,4023,0.025525533439090232
Dirk Koetter,1999,885,-0.11895803705642387,0.028563571731226475,0.14752160878765033,5800,-0.003529225443425695
Scott Linehan,1453,618,-0.0500199888198588,0.09573412419424525,0.14575411301410404,4189,0.010385434348364442
Zac Taylor,2826,1382,-0.0684573902852731,0.0662048298624746,0.1346622201477477,8059,0.0034952969196234817
Luke Getsy,874,446,-0.11063502642792696,0.021549915275097475,0.13218494170302442,2628,-0.08729297990023024
Scott Turner,1422,669,-0.11923540481730828,0.01184941488327396,0.13108481970058225,4110,-0.07304082558294586
Marty Mornhinweg,1004,464,-0.0860932957620309,0.0392251975568412,0.1253184933188721,2943,-0.033535682649140995
Drew Petzing,1047,486,-0.046055687586977236,0.0758289046765332,0.12188459226351042,3194,-0.015201718334587888
Todd Downing,1280,533,-0.09426012408697602,0.0255760631797904,0.11983618726676643,3833,-0.03197839977302687
Doug Pederson,2636,1289,-0.062043199639960835,0.05582165760927674,0.11786485724923756,7629,0.004143044474997111
Bruce Arians,1134,520,-0.006751723487026302,0.11044375805606213,0.11719548154308843,3281,-0.03307790796651112
Jon Gruden,1177,497,-0.07341070394018787,0.04266027346982825,0.11607097741001612,3351,7.893018710193313e-4
Byron Leftwich,1841,777,-0.05744808520225255,0.05735647799152003,0.11480456319377258,5367,0.019597985259958393
Joe Lombardi,957,464,-0.09026563822614823,0.024521220053931595,0.11478685828007983,2793,0.014437466656963235
Liam Coen,800,382,-0.015824776288842237,0.09864159989371131,0.11446637618255355,2271,0.07208834069698764
Josh McDaniels,3841,1785,-0.00485559637009668,0.10674778829745138,0.11160338466754806,11043,0.04889049419462513
Mike Kafka,1086,533,-0.06327586842229918,0.043755708197618884,0.10703157661991806,3336,-0.04054372422307287
Gary Kubiak,1142,558,-0.06247258323347532,0.044239488178952645,0.10671207141242797,3288,-0.037500425629608654
Mike McCarthy,1925,913,-0.033616575362947564,0.07278411875072084,0.1064006941136684,5757,0.011634544333994178
Chip Kelly,933,452,-0.1274762590602586,-0.021540749320231114,0.1059355097400275,2679,-0.11030646716117722
Mike Sullivan,419,168,-0.10678580065717717,-0.004219125084394657,0.10256667557278251,1216,-0.09585372045598715
John Morton,498,208,0.03718981687481317,0.13894620965276366,0.1017563927779505,1466,-0.025244793340742887
Todd Haley,1354,662,-0.043309175359341416,0.05685635022885601,0.10016552558819743,4007,0.026420774471864184
