caller,plays,epa,success,pass,epa_out,rz_lift
Sean Payton,1827,0.13054325937598815,46.85276409414341,54.406130268199234,0.024717163193641083,0.10582609618234706
Byron Leftwich,793,0.12889726842126473,45.39722572509458,64.69104665825978,6.486342440170102e-4,0.12824863417724772
Brian Schottenheimer,724,0.11834392003835661,44.06077348066299,56.21546961325967,0.04990732741693103,0.06843659262142558
Todd Monken,637,0.09296177128271953,44.42700156985872,48.97959183673469,0.09695519779301544,-0.003993426510295911
Matt LaFleur,1488,0.08632690179587443,45.83333333333333,53.897849462365585,0.07070439537883698,0.015622506417037454
Ben Johnson,868,0.08376355560866654,45.622119815668206,48.50230414746544,0.08933777462423988,-0.0055742190155733395
Joe Lombardi,478,0.0771460651335658,45.60669456066946,61.08786610878661,0.0014894277490513838,0.07565663738451442
Bill Lazor,521,0.077092551700848,43.186180422264876,56.813819577735124,-0.057142488158271436,0.13423503985911944
Doug Pederson,1152,0.07407798276519822,43.14236111111111,53.99305555555556,-0.008295592071291567,0.0823735748364898
Todd Haley,563,0.07177058939591636,43.16163410301954,57.19360568383659,0.019007317502572275,0.052763271893344094
Andy Reid,1991,0.07018726616570196,44.299347061778,62.430939226519335,0.1104259051920216,-0.040238639026319634
Klint Kubiak,537,0.06721498392490788,42.64432029795158,46.74115456238361,-0.03225189077058413,0.09946687469549201
Joe Brady,813,0.05770918252515611,45.63345633456334,44.772447724477246,0.07690954942783516,-0.019200366902679053
Kliff Kingsbury,1033,0.05696276704457374,45.595353339787025,48.30590513068732,0.012563546568614631,0.04439922047595911
Mike Shula,530,0.05607783784932129,38.67924528301887,46.0377358490566,-0.02090096162001414,0.07697879946933543
Kyle Shanahan,2027,0.04639871200119143,44.94326591021214,51.30735076467686,0.05322410355230457,-0.006825391551113141
Randy Fichtner,422,0.04567678545553543,44.312796208530806,59.71563981042654,-0.0332147554558292,0.07889154091136463
Kevin Stefanski,976,0.044447914547171695,41.90573770491803,48.46311475409836,-0.059538959466315454,0.10398687401348715
Shane Steichen,1106,0.039602733791390086,42.22423146473779,45.479204339963836,0.027235756154631967,0.01236697763675812
Josh McDaniels,1820,0.03698046112961612,43.24175824175824,51.318681318681314,0.05124073383230448,-0.014260272702688356
Sean McVay,2084,0.035429139399529616,43.85796545105566,53.35892514395394,0.0371133869114796,-0.0016842475119499822
Kellen Moore,1211,0.032161593152537755,42.52683732452518,51.857968620974404,0.01709771005025649,0.015063883102281267
Arthur Smith,1136,0.027871875981890504,44.54225352112676,48.50352112676056,-0.011409306078608458,0.039281182060498965
Greg Roman,1173,0.020631700485746442,43.22250639386189,49.78687127024723,0.03993730501720474,-0.019305604531458295
Brian Daboll,845,0.01795843296963647,41.06508875739645,56.213017751479285,0.0029508246328804263,0.015007608336756045
Mike McDaniel,628,0.017580588975919045,43.789808917197455,53.34394904458599,0.007410850370392324,0.01016973860552672
Bill Musgrave,437,0.015597815326673183,40.73226544622426,59.26773455377574,-0.045698442900309534,0.06129625822698272
Marty Mornhinweg,418,0.013282040525935767,40.430622009569376,52.87081339712919,-0.04128610177277749,0.05456814229871326
Drew Petzing,448,0.010715709036902894,41.07142857142857,58.48214285714286,-0.01943005317159725,0.030145762208500144
Dave Canales,451,0.010242697253862157,40.35476718403548,61.4190687361419,-0.04133697645008166,0.05157967370394381
Jim Bob Cooter,487,0.00971397451322799,41.067761806981515,62.62833675564682,-0.023445855668249565,0.033159830181477556
Gary Kubiak,494,-0.004555346786171942,42.30769230769231,50.607287449392715,-0.04332536082955775,0.03877001404338581
Frank Reich,1003,-0.0067360882101423596,42.57228315054836,54.23728813559322,-0.007787368846503738,0.0010512806363613784
Nathaniel Hackett,498,-0.011713328291027803,40.963855421686745,58.63453815261044,-0.11456983953742934,0.10285651124640154
Todd Downing,492,-0.011896707663374046,42.886178861788615,59.552845528455286,-0.03493565583945882,0.023038948176084772
Jon Gruden,530,-0.013229468432387627,42.26415094339623,52.83018867924528,0.003423101325399226,-0.016652569757786853
Bill O'Brien,815,-0.021741896616140052,41.104294478527606,58.282208588957054,-0.07961678641067131,0.05787488979453126
Zac Taylor,1228,-0.02287371367918488,42.99674267100978,59.52768729641694,0.008235619715017475,-0.031109333394202354
Mike McCarthy,897,-0.026535411601131674,41.58305462653289,63.21070234113713,0.018679492991156232,-0.045214904592287906
Jay Gruden,405,-0.03107817831928602,39.50617283950617,59.75308641975309,-0.08989218246406785,0.058814004144781835
Pat Shurmur,841,-0.03264415832831182,40.07134363852556,55.41022592152199,-0.02932378385961635,-0.0033203744686954723
Ken Whisenhunt,600,-0.0332220470618516,40.166666666666664,57.666666666666664,0.0358230935619547,-0.06904514062380629
Shane Waldron,512,-0.0333739923906641,36.328125,55.46875,-0.005047761424555544,-0.02832623096610856
Darrell Bevell,804,-0.04114456027689543,40.17412935323383,56.343283582089555,-0.010805678351941905,-0.03033888192495352
