coach,games,first_season,last_season,market_raw,market,outside_cone,off_plays,off_epa,def_plays,def_epa,fd_n,fd_obey
Adam Gase,80,2016,2020,0.7810313017116592,0.17270836688837746,FALSE,4819,-0.1163600419327238,5281,0.024343380126574745,133,82.70676691729324
Andy Reid,437,1999,2025,0.7059964567204534,0.4211995693572294,FALSE,13324,0.09570637797851224,13554,-0.003654145665881191,384,78.90625
Anthony Lynn,65,2016,2020,-0.9325529936868416,-0.1648686131557236,FALSE,4430,0.04137109284157644,4276,-0.018541815976290957,152,76.31578947368422
Arthur Smith,51,2021,2023,-0.6420671755017173,-0.08951225676084806,FALSE,3095,-0.0718888551145222,3272,0.02261686058636243,155,83.87096774193547
Bill Belichick,387,2000,2023,1.008504963653655,0.5815425547686851,TRUE,10333,0.025295962354777372,10036,-0.04802767371364641,286,73.07692307692308
Bill Callahan,43,2002,2019,-0.7791002291745731,-0.10085244943715592,FALSE,606,-0.1338188258442904,745,0.05626736693018204,NA,NA
Bill Cowher,128,1999,2006,0.8061479898220956,0.23684178383213017,FALSE,NA,NA,NA,NA,NA,NA
Bill O'Brien,100,2014,2020,0.6200505597799412,0.14996218774306241,FALSE,5943,-0.047365174715409436,5670,-0.024548924861164476,122,78.68852459016394
Bill Parcells,80,1999,2006,-0.00190365343801298,-0.00039047690850763566,FALSE,NA,NA,NA,NA,NA,NA
Brad Childress,74,2006,2010,-0.4274820764454564,-0.08348062149588177,FALSE,NA,NA,NA,NA,NA,NA
Brandon Staley,48,2021,2023,-0.8545840108976244,-0.11121200442838429,FALSE,3227,0.012767001564332818,3101,0.011339435970458948,159,71.69811320754717
Brian Billick,144,1999,2007,0.3059787749466488,0.09898914729032779,FALSE,NA,NA,NA,NA,NA,NA
Brian Callahan,34,2024,2025,-2.6211050452141444,-0.27813167433814134,TRUE,2052,-0.1471204844361733,2007,0.05880915956430361,94,85.10638297872342
Brian Daboll,68,2022,2025,-0.27233659710566294,-0.05138956733326874,FALSE,4386,-0.05644880450231884,4373,0.04183200460023402,228,84.21052631578947
Brian Flores,49,2019,2021,1.806375589095799,0.2747673912696868,FALSE,3122,-0.05762655638753277,3112,0.011651174958170741,133,81.203007518797
Bruce Arians,129,2013,2021,0.9533392879039954,0.28697504669365936,FALSE,6930,0.021389528554641025,6799,-0.08486462000474845,130,70.76923076923076
Butch Davis,59,2001,2004,-0.11734939660964304,-0.018528405461319286,FALSE,NA,NA,NA,NA,NA,NA
Chan Gailey,64,1999,2012,-1.2119474850523404,-0.2089149283522809,FALSE,NA,NA,NA,NA,NA,NA
Chip Kelly,63,2013,2016,-0.9533170777042954,-0.16202514773278306,FALSE,2036,-0.08232443597585283,2151,0.05065565019174699,NA,NA
Chris Palmer,32,1999,2000,-0.8087563082538948,-0.10412660913431246,FALSE,NA,NA,NA,NA,NA,NA
Chuck Pagano,96,2012,2017,1.334213395544191,0.31875923584861915,FALSE,3120,-0.05423130776165283,3165,0.03446911920698724,NA,NA
Dan Campbell,85,2021,2025,0.9845758147667418,0.219973388309595,FALSE,5699,0.058913800313729295,5488,0.020849277504594196,243,81.89300411522635
Dan Quinn,119,2015,2025,-0.3355389905841225,-0.0924254194128234,FALSE,8185,0.059807121797755824,8053,0.05260608711564661,203,82.75862068965519
Dan Reeves,77,1999,2003,-0.9321222523596836,-0.1887111623922269,FALSE,NA,NA,NA,NA,NA,NA
Dave Campo,48,2000,2002,-0.983454524965362,-0.14045835089500083,FALSE,NA,NA,NA,NA,NA,NA
Dave Canales,34,2024,2025,1.0565872272240262,0.1115448643794647,FALSE,2049,-0.051417285170777406,2235,0.10270779455372868,93,88.17204301075269
Dave McGinnis,55,2000,2003,-0.3384124201702873,-0.05568818980842268,FALSE,NA,NA,NA,NA,NA,NA
Dave Wannstedt,73,2000,2004,0.4712236456997918,0.08796849181068256,FALSE,NA,NA,NA,NA,NA,NA
DeMeco Ryans,51,2023,2025,1.6819624029446278,0.2316249266400397,FALSE,3588,-0.038730619771685175,3472,-0.0958162473863844,198,82.32323232323233
Dennis Allen,87,2012,2024,-1.4681111713222097,-0.3261202785048826,FALSE,3153,-0.043920295595772,3242,-0.0471858387210965,163,82.20858895705521
Dennis Erickson,32,2003,2004,-2.2878527112943297,-0.22285515542427783,FALSE,NA,NA,NA,NA,NA,NA
Dennis Green,95,1999,2006,-0.9182786915278458,-0.21791931146820842,FALSE,NA,NA,NA,NA,NA,NA
Dick Jauron,142,1999,2009,0.4531120201578798,0.1458493124361938,FALSE,NA,NA,NA,NA,NA,NA
Dick LeBeau,45,2000,2002,-1.1360602647406712,-0.15137022083375035,FALSE,NA,NA,NA,NA,NA,NA
Dick Vermeil,96,1999,2005,0.4455270446199886,0.10543998576432209,FALSE,NA,NA,NA,NA,NA,NA
Dirk Koetter,48,2016,2018,-0.25856879644736297,-0.03378656713992423,FALSE,3208,9.513495672402208e-4,3069,0.04384598971019685,NA,NA
Dom Capers,64,2002,2005,-0.4992415373348253,-0.09475485951244797,FALSE,NA,NA,NA,NA,NA,NA
Doug Marrone,98,2013,2020,-0.8230376675883503,-0.19953583840924835,FALSE,4514,-0.049806748039153505,4385,-0.008014732781345712,143,74.82517482517483
Doug Pederson,131,2016,2024,-0.3774520390105465,-0.11168616954309117,FALSE,9011,-0.012945008077519969,8768,-0.008557722691271174,341,77.12609970674487
Eric Mangini,80,2006,2010,-0.00199041975009754,-4.303018448492452e-4,FALSE,NA,NA,NA,NA,NA,NA
Frank Reich,85,2018,2023,-0.5500877266684132,-0.11996986448668079,FALSE,5716,-0.009792785155315136,5485,-0.009049941969049707,282,79.07801418439716
Gary Kubiak,157,2006,2016,-0.04069710524575159,-0.013851283269234134,FALSE,2529,-0.09824049771987481,2550,-0.15080276459227399,NA,NA
