coach,seasons.x,plays.x,raw,adj,seasons.y,plays.y,raw_def,adj_def
Adam Gase,5,4819,-0.11636004193272383,-0.08802279929638851,5,5281,0.024343380126574856,-0.02531068905755962
Andy Reid,11,13324,0.09570637797851224,0.07382777202014087,11,13554,-0.0036541456658812426,-0.007812068359095136
Anthony Lynn,4,4368,0.0477478449764564,0.05515625559055188,4,4215,-0.01714305520652449,0.017264890646256456
Arthur Smith,3,3095,-0.07188885511452231,-0.028639378984242483,3,3272,0.022616860586362444,-0.008726334527851128
Bill Belichick,9,10333,0.02529596235477738,0.0581364395225658,9,10036,-0.048027673713646475,0.05236524975198411
Bill O'Brien,5,5720,-0.049315080386046525,-0.011949445512843753,5,5406,-0.03568535557826036,0.030546922024255223
Brandon Staley,3,3227,0.012767001564332666,0.011092596693745974,3,3101,0.011339435970459017,-0.024269990784407947
Brian Daboll,4,4386,-0.05644880450231888,-0.006774536314784402,4,4373,0.04183200460023417,-0.03985253432396259
Brian Flores,3,3122,-0.05762655638753292,-0.013183962557910333,3,3112,0.011651174958170344,-0.0010242891463079333
Bruce Arians,6,6930,0.021389528554640967,0.029805645661021507,6,6799,-0.08486462000474838,0.07993855718463247
Chuck Pagano,3,3120,-0.054231307761652775,-0.02340415311113216,3,3165,0.03446911920698712,-0.03170702953038832
Dan Campbell,5,5699,0.058913800313729295,0.03874316973678064,5,5488,0.020849277504594158,-0.030491202563285417
Dan Quinn,8,8185,0.05980712179775577,0.044894562387416015,8,8053,0.05260608711564664,-0.059695205556702574
DeMeco Ryans,3,3588,-0.038730619771685265,-0.026909239135148314,3,3472,-0.0958162473863845,0.09042961480310152
Dennis Allen,3,3153,-0.043920295595771916,-0.034026118092922594,3,3242,-0.04718583872109666,0.03262185499449239
Dirk Koetter,3,3208,9.513495672401651e-4,0.008788758952579892,3,3069,0.043845989710196875,-0.045776944196455595
Doug Marrone,6,6474,-0.055539327793364374,-0.010486753120540765,4,4255,-0.0058496173094693136,-0.005040582677271882
Doug Pederson,8,9011,-0.012945008077519972,-0.024357293658506383,8,8768,-0.00855772269127114,-0.010372524970922793
Frank Reich,6,5716,-0.009792785155315053,-0.008360957965325934,6,5485,-0.009049941969049754,0.006300279280751276
Jason Garrett,5,5320,0.03045233939387569,0.0788121771194782,5,5243,-0.00269015268717177,8.723170755752737e-4
Jay Gruden,4,4040,-0.010330599866415605,0.006112600377249579,5,4495,0.0230686180909765,-0.028232167780227076
Jim Caldwell,3,3171,-0.022191576523626466,-0.008304883391565921,3,3172,0.01979779014819722,-0.015268723680681792
John Fox,3,3068,-0.07226428171844813,-0.03956937762505627,3,3119,0.011325034946273379,-0.007791954797256305
John Harbaugh,11,12388,0.03452699626886789,0.05259443958601769,11,11878,-0.04874119055905736,0.04597921869641854
Jonathan Gannon,3,3194,-0.015201718334587933,0.01501033370863417,3,3159,0.06738891518251632,-0.06520136315594174
Kevin O'Connell,4,4301,-0.04427114003827289,-0.03412664166345123,4,4432,-0.048950003729139914,0.03871190949543893
Kevin Stefanski,6,6710,-0.0774301702924286,-0.0755535529611608,6,6304,-0.023981930798585373,-0.0013465015526362943
Kliff Kingsbury,4,4383,-0.005059352147038805,-0.0028139562669669085,4,4290,0.011001451324561115,-0.013639653942095868
Kyle Shanahan,9,10130,0.042375583062278954,0.05767420140718538,9,10061,-0.02998970657259191,0.014171472404407283
Marvin Lewis,4,4025,-0.009942316080097961,-0.0017964924598721495,4,4364,8.943171178426282e-4,-0.009696325903792824
Matt Eberflus,3,3141,-0.06348594325704957,-0.0050293851161728265,3,3080,0.021506249291164715,-0.008210325883323266
Matt LaFleur,8,8818,0.09036736020770841,0.07167861214995218,7,7716,-2.553742742164924e-4,-0.014213402188832326
Matt Nagy,4,4317,-0.05622585982795195,-0.04311677258238568,4,4224,-0.04582806833579249,0.032062641802755705
Mike McCarthy,9,10097,0.012581541059213344,0.024601836061120805,9,9687,-0.013204956953252115,0.0015187125787536342
Mike McDaniel,4,4217,0.008925338358125274,-0.01610649797831456,4,4296,8.637317625909382e-4,-0.01928570109670627
Mike Tomlin,11,12230,-0.010707641615748942,-0.0015082211999308697,11,12229,-0.029301420577203984,0.022718184034139517
Mike Vrabel,7,7630,0.023271072013765656,0.0340944849373524,7,8006,-0.00647638066644817,-3.2032722505784755e-4
Mike Zimmer,7,7492,-0.00822698391527364,0.004564299355872778,7,7544,-0.06239669658729143,0.05059137279582829
Nick Sirianni,5,6037,0.0723053009545969,0.05032176571085762,5,5907,-0.04185489280874505,0.011833143154667039
Pete Carroll,10,10648,0.0058909174247683506,0.005697284176801248,10,11274,-0.007182047768483103,4.073279345558953e-4
Robert Saleh,4,4185,-0.1195671753128025,-0.11385543854096385,4,4374,-0.008975043024399752,-0.0057998775687232015
Ron Rivera,9,9912,-0.041148138055373484,-0.020179067889610873,9,9528,-0.014469553316760498,0.011360466356359893
