bucket,caller,n,pass,lg,from50,vs_lg
2nd & 1-2,Ben Johnson,197,47.71573604060914,33.773327264451524,2.284263959390863,13.942408776157613
2nd & 1-2,Mike McDaniel,151,38.41059602649007,33.773327264451524,11.589403973509931,4.637268762038545
2nd & 1-2,Andy Reid,445,38.20224719101123,33.773327264451524,11.797752808988768,4.428919926559708
2nd & 1-2,Kevin O'Connell,166,37.34939759036144,33.773327264451524,12.650602409638559,3.5760703259099174
2nd & 1-2,Kevin Stefanski,227,37.00440528634361,33.773327264451524,12.995594713656388,3.2310780218920883
2nd & 1-2,Matt LaFleur,328,36.890243902439025,33.773327264451524,13.109756097560975,3.116916637987501
2nd & 1-2,Sean McVay,437,35.46910755148742,33.773327264451524,14.530892448512581,1.6957802870358947
2nd & 1-2,Zac Taylor,306,34.967320261437905,33.773327264451524,15.032679738562095,1.1939929969863812
2nd & 1-2,Kellen Moore,294,34.69387755102041,33.773327264451524,15.306122448979593,0.9205502865688828
2nd & 1-2,Brian Schottenheimer,171,32.16374269005848,33.773327264451524,17.836257309941523,-1.6095845743930468
2nd & 1-2,Arthur Smith,251,31.872509960159363,33.773327264451524,18.127490039840637,-1.9008173042921612
2nd & 1-2,Kyle Shanahan,457,27.35229759299781,33.773327264451524,22.64770240700219,-6.421029671453713
2nd & 1-2,Shane Steichen,238,27.310924369747898,33.773327264451524,22.689075630252102,-6.462402894703626
2nd & 1-2,Joe Brady,181,26.519337016574585,33.773327264451524,23.480662983425415,-7.2539902478769385
2nd & 1-2,Kliff Kingsbury,237,26.160337552742618,33.773327264451524,23.839662447257382,-7.612989711708906
2nd & 1-2,Josh McDaniels,409,24.938875305623473,33.773327264451524,25.061124694376527,-8.834451958828051
2nd & 1-2,Sean Payton,423,24.113475177304963,33.773327264451524,25.886524822695037,-9.659852087146561
2nd & 1-2,Greg Roman,272,16.544117647058822,33.773327264451524,33.455882352941174,-17.2292096173927
2nd & 3-6,Ben Johnson,463,50.323974082073434,51.302931596091206,0.32397408207343403,-0.9789575140177718
2nd & 3-6,Liam Coen,238,50.42016806722689,51.302931596091206,0.42016806722688926,-0.8827635288643165
2nd & 3-6,Kevin Stefanski,594,49.158249158249156,51.302931596091206,0.8417508417508444,-2.14468243784205
2nd & 3-6,Brian Schottenheimer,487,50.92402464065708,51.302931596091206,0.9240246406570805,-0.37890695543412534
2nd & 3-6,Kellen Moore,784,48.85204081632653,51.302931596091206,1.1479591836734713,-2.450890779764677
2nd & 3-6,Mike LaFleur,181,48.61878453038674,51.302931596091206,1.3812154696132595,-2.6841470657044653
2nd & 3-6,Greg Olson,249,48.59437751004016,51.302931596091206,1.405622489959839,-2.708554086051045
2nd & 3-6,Josh McDaniels,1080,48.148148148148145,51.302931596091206,1.8518518518518547,-3.1547834479430605
2nd & 3-6,Joe Brady,496,47.983870967741936,51.302931596091206,2.016129032258064,-3.31906062834927
2nd & 3-6,Arthur Smith,769,47.594278283485046,51.302931596091206,2.405721716514954,-3.7086533126061596
2nd & 3-6,Greg Roman,772,47.538860103626945,51.302931596091206,2.461139896373055,-3.764071492464261
2nd & 3-6,Kyle Shanahan,1149,46.82332463011314,51.302931596091206,3.1766753698868584,-4.479606965978064
