side,measure,stayed,changed,n_stay,n_change,kind,drop
Offense,Tempo (no huddle),0.9438029972756786,-0.026084672673591505,48,48,What the coach calls,0.9698876699492701
Defense,Five-plus rushers,0.8310643042828826,0.04857336733644499,57,39,What the coach calls,0.7824909369464376
Defense,Cover 3 rate,0.7360888617386182,-0.029254321411432613,57,39,What the coach calls,0.7653431831500508
Offense,Trick looks,0.8311313366498491,0.06705609205690467,48,48,What the coach calls,0.7640752445929444
Offense,RPO rate,0.7838399371227666,0.21128888485637431,48,48,What the coach calls,0.5725510522663922
Offense,Under center to throw,0.7396535749150921,0.3250183288361775,48,48,What the coach calls,0.4146352460789146
Offense,Outside zone runs,0.8553761365611718,0.4500452085528188,48,48,What the coach calls,0.405330928008353
Defense,Heavy box (8+),0.5637129589900293,0.23084906657040694,57,39,What the coach calls,0.33286389241962233
Defense,EPA allowed per play,0.3212929482360466,-0.03510510057413988,57,39,What the players do,0.3563980488101865
Offense,Catchable throw share,0.31950633555457975,0.1095469706061851,48,48,What the players do,0.20995936494839465
Defense,Sack rate,0.25862533720491754,0.19884816136003047,57,39,What the players do,0.059777175844887065
Offense,Offensive EPA per play,0.2278511222875542,0.470146928590394,48,48,What the players do,-0.24229580630283978
