season,team_name,head_coach,off_coord,def_coord,st_coord
2000,Arizona Cardinals,"Vince Tobin (fired October 23, 2-5 record) ; Dave McGinnis (interim; 1-8 record)",Marc Trestman,Dave McGinnis,
2000,Atlanta Falcons,Dan Reeves,George Sefcik,Rich Brooks,
2000,Baltimore Ravens,Brian Billick,Matt Cavanaugh,Marvin Lewis,
2000,Buffalo Bills,Wade Phillips,,,
2000,Carolina Panthers,George Seifert,Bill Musgrave,John Marshall,
2000,Chicago Bears,Dick Jauron,Gary Crowton,Greg Blache,
2000,Cincinnati Bengals,"Bruce Coslet (resigned week 4, 0-3 record) ; Dick LeBeau (interim; 4-9 record)",,,
2000,Cleveland Browns,Chris Palmer,Pete Carmichael,Romeo Crennel,
2000,Dallas Cowboys,Dave Campo,,,
2000,Denver Broncos,Mike Shanahan,Gary Kubiak,Greg Robinson,
2000,Detroit Lions,"Bobby Ross (resigned November 6, 5-4 record); Gary Moeller (interim; 4-3 record)",,,
2000,Green Bay Packers,Mike Sherman,,,
2000,Indianapolis Colts,Jim Mora,Tom Moore,Vic Fangio,
2000,Jacksonville Jaguars,Tom Coughlin,| def_coach = Dom Capers,,
2000,Kansas City Chiefs,Gunther Cunningham,Jimmy Raye II,Kurt Schottenheimer,
2000,Miami Dolphins,Dave Wannstedt,Chan Gailey,Jim Bates,
2000,Minnesota Vikings,Dennis Green,Sherman Lewis,Emmitt Thomas,
2000,New England Patriots,Bill Belichick,,,
2000,New Orleans Saints,Jim Haslett,Mike McCarthy,Ron Zook,
2000,New York Giants,Jim Fassel,,,
2000,New York Jets,Al Groh,,,
2000,Philadelphia Eagles,Andy Reid,Rod Dowhower,Jim Johnson,
2000,Pittsburgh Steelers,Bill Cowher,Kevin Gilbride,Tim Lewis,
2000,San Francisco 49ers,Steve Mariucci,Marty Mornhinweg,Jim L. Mora,
2000,Seattle Seahawks,Mike Holmgren,,,
2000,Tampa Bay Buccaneers,Tony Dungy,Les Steckel,Monte Kiffin,
2000,Tennessee Titans,Jeff Fisher,Mike Heimerdinger,Gregg Williams,
2000,St. Louis Rams,Mike Martz,Bobby Jackson,Peter Giunta,
2000,San Diego Chargers,Mike Riley,,,
2000,Oakland Raiders,Jon Gruden,Bill Callahan,Chuck Bresnahan,
2000,Washington Redskins,"Norv Turner (fired December 4, 7–6 record); Terry Robiskie (interim; 1–2 record)",,Ray Rhodes,
2001,Arizona Cardinals,Dave McGinnis,,,
2001,Atlanta Falcons,Dan Reeves,George Sefcik,Don Blackmon,
2001,Baltimore Ravens,Brian Billick,Matt Cavanaugh,Marvin Lewis,
2001,Buffalo Bills,Gregg Williams,,,
2001,Carolina Panthers,George Seifert,Richard Williamson,John Marshall,
2001,Chicago Bears,Dick Jauron,John Shoop,Greg Blache,
2001,Cincinnati Bengals,Dick LeBeau,,,
2001,Cleveland Browns,Butch Davis,Bruce Arians,Foge Fazio,
2001,Dallas Cowboys,Dave Campo,,,
2001,Denver Broncos,Mike Shanahan,Gary Kubiak,Ray Rhodes,
2001,Detroit Lions,Marty Mornhinweg,Maurice Carthon,Vince Tobin,
2001,Green Bay Packers,Mike Sherman,Tom Rossley,Ed Donatell,
2001,Indianapolis Colts,Jim Mora,,,
2001,Jacksonville Jaguars,Tom Coughlin,Bobby Petrino,Gary Moeller,
2001,Kansas City Chiefs,Dick Vermeil,Al Saunders,Greg Robinson,
2001,Miami Dolphins,Dave Wannstedt,Chan Gailey,Jim Bates,
2001,Minnesota Vikings,"Dennis Green (fired on January 4, 2002, 5–10 record); Mike Tice (interim; 0–1 record)",,,
2001,New England Patriots,Bill Belichick,Charlie Weis,Romeo Crennel,
2001,New Orleans Saints,Jim Haslett,Mike McCarthy,Ron Zook,
2001,New York Giants,Jim Fassel,,,
2001,New York Jets,Herman Edwards,Paul Hackett,Ted Cottrell,
2001,Philadelphia Eagles,Andy Reid,Rod Dowhower,Jim Johnson,
2001,Pittsburgh Steelers,Bill Cowher,Mike Mularkey,Tim Lewis,
2001,San Francisco 49ers,Steve Mariucci,Greg Knapp,Jim L. Mora,
2001,Seattle Seahawks,Mike Holmgren,Gil Haskell,Steve Sidwell,
2001,Tampa Bay Buccaneers,Tony Dungy,Clyde Christensen,Monte Kiffin,
2001,Tennessee Titans,Jeff Fisher,,,
2001,St. Louis Rams,Mike Martz,Bobby Jackson,Lovie Smith,
2001,San Diego Chargers,Mike Riley,,,
2001,Oakland Raiders,Jon Gruden,Bill Callahan,Chuck Bresnahan,
2001,Washington Redskins,Marty Schottenheimer,Jimmy Raye II,Kurt Schottenheimer,
2002,Arizona Cardinals,Dave McGinnis,,,
2002,Atlanta Falcons,Dan Reeves,,,
2002,Baltimore Ravens,Brian Billick,,,
2002,Buffalo Bills,Gregg Williams,,,
2002,Carolina Panthers,John Fox,,,
2002,Chicago Bears,Dick Jauron,,,
2002,Cincinnati Bengals,Dick LeBeau,,,
2002,Cleveland Browns,Butch Davis,,,
2002,Dallas Cowboys,Dave Campo,,,
2002,Denver Broncos,Mike Shanahan,,,
2002,Detroit Lions,Marty Mornhinweg,,,
2002,Green Bay Packers,Mike Sherman,,,
2002,Houston Texans,Dom Capers,,,
2002,Indianapolis Colts,Tony Dungy,,,
2002,Jacksonville Jaguars,Tom Coughlin,| def_coach = John Pease,,
2002,Kansas City Chiefs,Dick Vermeil,,,
2002,Miami Dolphins,Dave Wannstedt,,,
2002,Minnesota Vikings,Mike Tice,,,
2002,New England Patriots,Bill Belichick,,,
2002,New Orleans Saints,Jim Haslett,,,
2002,New York Giants,Jim Fassel,,,
2002,New York Jets,Herman Edwards,,,
2002,Philadelphia Eagles,Andy Reid,,,
2002,Pittsburgh Steelers,Bill Cowher,,,
2002,San Francisco 49ers,Steve Mariucci,,,
2002,Seattle Seahawks,Mike Holmgren,,,
2002,Tampa Bay Buccaneers,Jon Gruden,,,
2002,Tennessee Titans,Jeff Fisher,,,
2002,St. Louis Rams,Mike Martz,,,
2002,San Diego Chargers,Marty Schottenheimer,,,
2002,Oakland Raiders,Bill Callahan,,,
2002,Washington Redskins,Steve Spurrier,,,
2003,Arizona Cardinals,Dave McGinnis,,,
2003,Atlanta Falcons,"Dan Reeves (fired December 10, 3-10 record) ; Wade Phillips",,,
2003,Baltimore Ravens,Brian Billick,,,
2003,Buffalo Bills,Gregg Williams,,,
2003,Carolina Panthers,John Fox,,,
2003,Chicago Bears,Dick Jauron,,,
2003,Cincinnati Bengals,Marvin Lewis,,,
2003,Cleveland Browns,Butch Davis,,,
2003,Dallas Cowboys,Bill Parcells,,,
