name,dob
Hank Stram,1923-01-03T00:00:00Z
Herman Boone,1935-10-28T00:00:00Z
George Halas,1895-02-02T00:00:00Z
Heartley Anderson,1898-09-22T00:00:00Z
Antonio Pierce,1978-10-26T00:00:00Z
Dutch Clark,1906-10-11T00:00:00Z
Nick Saban,1951-10-31T00:00:00Z
Albert W. Jefferis,1868-12-07T00:00:00Z
Jim Thorpe,http://www.wikidata.org/.well-known/genid/82ea4eb218781d23437d7ca93258fcdc
Joe Alexander,1898-04-01T00:00:00Z
Bill Austin,1928-10-18T00:00:00Z
Bill Blankenship,1956-12-12T00:00:00Z
Bill Callahan,1956-07-31T00:00:00Z
Bill Edwards,1905-06-21T00:00:00Z
Bill Hess,1923-02-05T00:00:00Z
Bill Sheridan,1959-01-27T00:00:00Z
Bill Young,1946-08-17T00:00:00Z
Billy Davis,1965-11-05T00:00:00Z
Billy Edson,1874-09-25T00:00:00Z
Bishop Harris,1941-11-23T00:00:00Z
Blair Hrovat,1962-11-20T00:00:00Z
Joe Schmidt,1932-01-19T00:00:00Z
Todd Haley,1967-02-28T00:00:00Z
Guy Chamberlin,1894-01-16T00:00:00Z
Theron W. Mortimer,1872-05-27T00:00:00Z
Thomas Brown,1986-05-15T00:00:00Z
Tim Lewis,1961-12-18T00:00:00Z
Tim McGuire,1953-09-03T00:00:00Z
Tim Rose,1941-10-14T00:00:00Z
Brian Jenkins,1971-03-04T00:00:00Z
Brian Johnson,1987-02-16T00:00:00Z
Brian Kelly,1961-10-25T00:00:00Z
Brian Mitchell,1968-12-13T00:00:00Z
Bud Wilkinson,1916-04-23T00:00:00Z
Buddy Ryan,1931-02-17T00:00:00Z
Deshea Townsend,1975-09-08T00:00:00Z
Bull Behman,1900-01-15T00:00:00Z
Brian Naber,1949-02-07T00:00:00Z
Brian Pariani,1965-07-02T00:00:00Z
Brian Ward,1973-05-22T00:00:00Z
Brick Haley,1966-05-16T00:00:00Z
Brooke Brewer,1894-11-21T00:00:00Z
Bruce Coslet,1946-08-05T00:00:00Z
Bruce Polen,1982-01-01T00:00:00Z
John Fox,1955-02-08T00:00:00Z
Tony Dungy,1955-10-06T00:00:00Z
Bill Belichick,1952-04-16T00:00:00Z
Bill Hicks,1940-05-16T00:00:00Z
Bill Latto,1897-09-16T00:00:00Z
Bill Lazor,1972-06-14T00:00:00Z
Bill Lewis,1941-08-05T00:00:00Z
Bill Marshall,1887-10-24T00:00:00Z
Bill McCartney,1940-08-22T00:00:00Z
Bubba McDowell,1966-11-04T00:00:00Z
Buck Hunt,1891-09-10T00:00:00Z
Buck Shaw,1899-03-28T00:00:00Z
Bucky Freeman,1895-07-19T00:00:00Z
Bud Riley,1925-11-25T00:00:00Z
Bud Talbott,1892-06-10T00:00:00Z
Tom Harper,1932-08-23T00:00:00Z
Tom Leith,1888-01-01T00:00:00Z
Tom Lovat,1938-12-28T00:00:00Z
Tom Mason,1956-01-01T00:00:00Z
Tom Melvin,1961-10-01T00:00:00Z
Tom Moore,1938-11-07T00:00:00Z
David M. Waters,1897-01-05T00:00:00Z
Bert Bell,1895-02-25T00:00:00Z
Bobby Turner,1949-05-06T00:00:00Z
Jim Laird,1897-09-10T00:00:00Z
Bill Arnsparger,1926-12-16T00:00:00Z
Art Shell,1946-11-26T00:00:00Z
Marvin Lewis,1958-09-23T00:00:00Z
Marvin Lewis,1960-01-15T00:00:00Z
Blanton Collier,1906-07-02T00:00:00Z
Bo Hanley,1887-12-14T00:00:00Z
Bo Schembechler,1929-04-01T00:00:00Z
Bob Bicknell,1969-11-13T00:00:00Z
Bob Bratkowski,1955-12-02T00:00:00Z
Bob Breitenstein,1913-07-24T00:00:00Z
Bob Damewood,1940-06-07T00:00:00Z
Bob DeBesse,1959-09-30T00:00:00Z
Bob Folwell,1885-02-17T00:00:00Z
Bob Griffin,1940-10-22T00:00:00Z
Bob D. Hackett,1949-08-03T00:00:00Z
Bob Hatch,1879-11-22T00:00:00Z
Burton Shipley,1890-01-17T00:00:00Z
Butch Davis,1951-11-17T00:00:00Z
Byrd D. Crudup,1899-09-16T00:00:00Z
C. A. Douglas,1905-12-20T00:00:00Z
C. Edwin Creed,1921-03-05T00:00:00Z
C. M. Edens,1897-09-17T00:00:00Z
C. O. Braden,1891-11-05T00:00:00Z
Courtland Pollard,1899-12-07T00:00:00Z
Curt Mallory,1969-05-09T00:00:00Z
Curtis Johnson,1961-11-05T00:00:00Z
Curtis Modkins,1970-11-15T00:00:00Z
Cyrus W. Strickler,1872-11-12T00:00:00Z
Duncan M. Martin,1854-05-14T00:00:00Z
D. R. Brown,1877-08-29T00:00:00Z
Dale R. Sprankle,1898-08-04T00:00:00Z
Bill McPeak,1926-07-24T00:00:00Z
Bill McPeak,1926-07-26T00:00:00Z
Bill McPherson,1931-10-24T00:00:00Z
Bill Muir,1942-10-26T00:00:00Z
Bill O'Boyle,1963-10-18T00:00:00Z
Bill O'Brien,1969-10-23T00:00:00Z
Tim Walton,1971-03-11T00:00:00Z
Todd Dodge,1963-07-21T00:00:00Z
Tom Bettis,1933-03-17T00:00:00Z
Tom Bradley,1956-01-01T00:00:00Z
Tom Harp,1927-01-01T00:00:00Z
Bulldog Turner,1919-03-10T00:00:00Z
Dick LeBeau,1937-09-09T00:00:00Z
Tom Cable,1964-11-26T00:00:00Z
Mike Tomlin,1972-03-15T00:00:00Z
Sammy Baugh,1914-03-17T00:00:00Z
Harold Muller,1901-06-12T00:00:00Z
Dan Campbell,1976-04-13T00:00:00Z
Dan Devine,1924-12-22T00:00:00Z
Dan Henning,1942-06-21T00:00:00Z
Dan Pifer,1972-01-11T00:00:00Z
Dan Quinn,1970-09-11T00:00:00Z
Bear Bryant,1913-09-11T00:00:00Z
Ted Tollner,1940-05-29T00:00:00Z
Dré Bly,1977-05-22T00:00:00Z
Dick Rutherford,1891-04-11T00:00:00Z
Stanley Dougan,1891-08-11T00:00:00Z
R. H. Hamilton,1873-12-25T00:00:00Z
R. Norval Garrett,1904-02-15T00:00:00Z
Ralph Davis,1920-01-21T00:00:00Z
Ralph Foster,1884-05-11T00:00:00Z
Ralph Huffman,1915-05-13T00:00:00Z
Ralph Jones,1880-09-22T00:00:00Z
Bart Starr,1934-01-09T00:00:00Z
Benny Friedman,1905-03-18T00:00:00Z
Bill Cowher,1957-05-08T00:00:00Z
Bob Hollway,1926-01-29T00:00:00Z
Bob King,1913-06-03T00:00:00Z
Bob LaPointe,1945-11-05T00:00:00Z
Bob Padilla,1936-02-10T00:00:00Z
Bob Shannon,1945-01-01T00:00:00Z
Bob Simmons,1948-06-13T00:00:00Z
Bob Snyder,1913-02-06T00:00:00Z
Norm Van Brocklin,1926-03-15T00:00:00Z
Bill Parcells,1941-08-22T00:00:00Z
Jon Gruden,1963-08-17T00:00:00Z
C. T. Taylor,1867-10-21T00:00:00Z
Cam Cameron,1961-02-06T00:00:00Z
Carl A. Gilbert,1892-02-20T00:00:00Z
Carl Nordly,1901-08-30T00:00:00Z
Carl Pelini,1965-07-15T00:00:00Z
Carl Richardson,1921-07-15T00:00:00Z
Carl Smith,1948-04-26T00:00:00Z
Bill Peterson,1920-05-14T00:00:00Z
Bill Ramseyer,1936-11-29T00:00:00Z
Bill Reid,1878-10-25T00:00:00Z
Bill Russo,1947-06-19T00:00:00Z
Bill Schaake,1930-07-30T00:00:00Z
Bill Shanahan,1938-07-27T00:00:00Z
Leslie Frazier,1959-04-03T00:00:00Z
Raheem Morris,1976-09-03T00:00:00Z
Buddy Parker,1913-12-16T00:00:00Z
Tom Mulholland,1968-01-01T00:00:00Z
Tom Williams,1969-12-22T00:00:00Z
Tommy Prothro,1920-07-20T00:00:00Z
Tony DeMeo,1948-07-04T00:00:00Z
Tony L. Elliott,1979-11-26T00:00:00Z
Paul Samson,1879-12-02T00:00:00Z
Paul Turner,1920-01-01T00:00:00Z
Paul Turner,1922-03-05T00:00:00Z
Paul Wiggin,1934-11-18T00:00:00Z
Paul Wulff,1965-02-25T00:00:00Z
Pearl Fuller,1881-03-29T00:00:00Z
Gideon Smith,1889-07-13T00:00:00Z
Charlie Stubbs,1955-09-02T00:00:00Z
Charlie Waller,1921-11-26T00:00:00Z
Bob Waterfield,1920-07-26T00:00:00Z
Brian Billick,1954-02-28T00:00:00Z
Fritz Pollard,1894-01-27T00:00:00Z
Tony Lombardi,1962-01-29T00:00:00Z
Tony Petersen,1966-10-09T00:00:00Z
Travis Jones,1972-06-06T00:00:00Z
Tut Imlay,1902-03-20T00:00:00Z
Ty Clarke,1953-04-29T00:00:00Z
Ty Knott,1965-12-09T00:00:00Z
Penwick Shelton,1871-03-12T00:00:00Z
Perry Grimm,1888-11-30T00:00:00Z
Pete Adrian,1948-08-11T00:00:00Z
