caller,seasons,n,actual,resid
Raheem Morris,2,1322,50.30257186081695,19.91673148548549
Chris Shula,2,1286,48.055987558320375,17.92541493257598
Ejiro Evero,4,2252,46.58081705150977,16.60329085670504
Zach Orr,2,1245,41.52610441767068,11.706059821039798
Dennard Wilson,2,1004,38.147410358565736,9.331777846937877
Anthony Weaver,2,1070,38.13084112149533,8.542944796244115
Leslie Frazier,1,727,39.20220082530949,7.842851274914562
Vic Fangio,3,1982,38.143289606458126,7.388377586599554
Sean McDermott,3,1937,37.42901393908105,6.974640122249867
Mike Macdonald,4,2835,35.87301587301587,5.5499624235578535
Nick Rallis,3,1623,32.53234750462107,3.386697536695905
Brandon Staley,3,1568,33.482142857142854,3.130702289030412
Patrick Graham,4,2323,32.6302195436935,2.847096929827794
Joe Woods,2,890,32.92134831460673,1.9285819018154897
Jeff Hafley,2,1160,31.810344827586206,1.837900208052382
Jesse Minter,2,1133,31.24448367166814,0.8063482059805315
Shane Bowen,4,2425,30.721649484536083,0.5800511552808173
Aaron Glenn,3,2141,30.826716487622605,0.24660377215554055
Brian Flores,3,1824,30.153508771929825,-0.07450037917710647
Joe Whitt Jr.,2,1012,29.446640316205535,-0.18998848995849302
Todd Bowles,4,2667,29.846269216347956,-0.573372535678517
Teryl Austin,4,2490,29.437751004016064,-0.8197630668081435
Bill Belichick,2,1311,30.205949656750573,-0.9442529552292932
Ed Donatell,1,734,29.836512261580385,-0.9887530496318568
Dennis Allen,4,2092,29.302103250478012,-1.3959401213238176
Matt Eberflus,3,1521,28.66535174227482,-1.534447762417134
Joe Barry,2,1260,28.571428571428573,-1.7610319615119954
Vance Joseph,4,2589,27.80996523754345,-2.2375736005716522
Jack Del Rio,2,1063,28.316086547507055,-2.647163820569508
Steve Spagnuolo,4,2840,27.640845070422536,-3.0180882427736475
Dan Quinn,2,1330,28.195488721804512,-3.2931883955248336
Ryan Nielsen,2,1277,26.938136256851998,-3.3973403555066137
Jonathan Gannon,1,740,27.432432432432428,-4.52942421911537
Jeff Ulbrich,4,2291,25.7529463116543,-4.695947773978991
Mike Caldwell,2,1447,26.192121630960607,-4.758562983297525
Gus Bradley,3,1839,24.850462207721588,-5.636956821468748
Lou Anarumo,4,2533,24.43742597710225,-5.975685393061983
Steve Wilks,2,1263,23.594615993665876,-6.7876383172597325
Jim Schwartz,3,1639,22.452715070164736,-8.653753570180392
DeMeco Ryans,3,2201,22.035438437074056,-9.474063260833658
Josh Boyer,1,746,20.64343163538874,-10.224648761305822
Clint Hurtt,2,1317,19.893697798025816,-11.266515822055764
Don Martindale,2,1336,18.41317365269461,-11.576993355784053
