caller,seasons,n,actual,resid,epa
Steve Spagnuolo,4,2645,5.55765595463138,3.86038300232691,-0.0727300875696981
Sean McDermott,3,1825,4.6027397260274,2.75508599582269,-0.0950915976950566
Ryan Nielsen,2,1142,4.20315236427321,2.49931983534641,0.0947749340907147
Jack Del Rio,2,953,3.77754459601259,2.15727368486724,-0.0176014198598151
Todd Bowles,4,2578,3.33591931730024,1.63526832439427,0.0147467416600426
Jesse Minter,2,1160,3.1896551724138,1.40924972904031,-0.0872961120969004
Don Martindale,2,1225,2.69387755102041,1.21790137213217,-0.0350855323839553
Teryl Austin,4,2442,2.78460278460279,1.09980543295216,-0.0157330060449415
Brian Flores,3,1764,2.55102040816327,0.95050796456126,-0.066935907540391
Vance Joseph,4,2537,2.32558139534884,0.670112022915492,-0.0600763524349841
Joe Whitt Jr.,2,906,2.2075055187638,0.623972987629311,0.107105730253603
Joe Woods,2,815,2.20858895705522,0.533259570994275,0.00462316973991967
Dennis Allen,4,2054,2.19084712755599,0.487677626462086,-0.0801965707027516
Dan Quinn,3,1451,2.13645761543763,0.40618340129134,-0.0675495076092724
Aaron Glenn,3,1908,1.88679245283019,0.265701812155918,0.0264375006408575
Bill Belichick,2,1190,1.76470588235294,0.176729702944927,-0.105612417175865
Brandon Staley,3,1596,1.62907268170426,0.0644467059085385,-0.033528407601194
Steve Wilks,2,1158,1.72711571675302,0.012859135231512,-0.019473703348702
Anthony Weaver,2,1089,1.65289256198347,-0.0614541254122438,0.0236046247276641
Mike Caldwell,2,1309,1.4514896867838,-0.109228540319172,-0.0474873414416807
Lou Anarumo,4,2412,1.45107794361526,-0.300782426128117,-0.0163078238603785
Shane Bowen,4,2164,1.06284658040665,-0.489216764809249,0.0569169372051192
Patrick Graham,4,2247,1.06809078771696,-0.490893626642953,0.0230592771921957
Mike Macdonald,4,2653,1.24387485865058,-0.510577338911925,-0.120786216288322
Clint Hurtt,2,1204,1.16279069767442,-0.542699794222728,0.0143764775286604
Raheem Morris,2,1200,0.916666666666667,-0.668198601643476,0.0295329871292536
Chris Shula,2,1347,1.03934669636228,-0.693267362794057,-0.0295771028751091
Zach Orr,2,1326,0.904977375565613,-0.856857475236693,0.023570304109995
Dennard Wilson,2,1009,0.396432111000991,-0.861854746910523,0.0629982371953922
Joe Barry,2,1113,0.808625336927222,-0.868908088541945,-0.0082819223651197
Jeff Ulbrich,4,2210,0.633484162895928,-1.03418650122715,-0.1048106725216
Ejiro Evero,4,2199,0.454752160072761,-1.06592251039716,0.0112853306407051
Jim Schwartz,3,1635,0.550458715596329,-1.10696119488792,-0.155190233870293
Nick Rallis,3,1575,0.444444444444445,-1.12415488062626,0.113567601567696
Matt Eberflus,3,1477,0.2708192281652,-1.32302851416368,0.0181562983031784
Vic Fangio,3,1918,0.417101147028154,-1.39624377998729,-0.125069685165728
Gus Bradley,3,1638,0.183150183150184,-1.50070606958094,-0.0103175384964751
DeMeco Ryans,3,2000,0.25,-1.51999205958273,-0.0995912591425582
Jeff Hafley,2,1219,0.246103363412633,-1.61269053197378,-0.020070638163229
