caller,season,n,actual,expected,epa,resid
Vance Joseph,2022,597,3.18257956448911,1.45498061270088,0.0196978138569414,1.72759895178823
Dean Pees,2022,554,0.541516245487362,1.51614591377175,0.112235265289726,-0.974629668284392
Mike Macdonald,2022,623,0.963081861958267,1.63434142954864,-0.0507988319291255,-0.671259567590375
Leslie Frazier,2022,658,3.95136778115501,1.68385061481047,-0.0490382795864686,2.26751716634453
Alan Williams,2022,482,0.829875518672201,1.39213217391209,0.120966640111693,-0.562256655239894
Lou Anarumo,2022,651,1.84331797235024,1.95903670005736,-0.0833631967424705,-0.115718727707127
Joe Woods,2022,522,2.68199233716475,1.55640498803477,-0.0408260198845254,1.12558734912998
Dan Quinn,2022,660,1.21212121212121,1.8298197432975,-0.107281549094301,-0.61769853117629
Ejiro Evero,2022,617,0.162074554294975,1.52305738318929,-0.0969045234729377,-1.36098282889431
Aaron Glenn,2022,567,3.17460317460318,1.54512515728899,0.0453933346786618,1.62947801731419
Joe Barry,2022,487,1.43737166324435,1.62915971998586,-0.0616455073841299,-0.191788056741511
Lovie Smith,2022,531,0.376647834274952,1.59206194170617,-0.0191725457925528,-1.21541410743122
Gus Bradley,2022,522,0.191570881226053,1.48943546906085,-0.0386828572143196,-1.2978645878348
Mike Caldwell,2022,682,2.19941348973607,1.43991180449278,-0.000322282837315656,0.759501685243295
Steve Spagnuolo,2022,750,6.26666666666666,1.66356894530666,-0.0931262440383428,4.60309772135999
Raheem Morris,2022,552,0.181159420289855,1.36425096490606,0.0671590532655356,-1.18309154461621
Brandon Staley,2022,563,3.19715808170515,1.50279837296461,-0.0588033832998396,1.69435970874054
Patrick Graham,2022,578,1.03806228373703,1.64085404922123,0.0749178697132731,-0.602791765484206
Josh Boyer,2022,670,2.68656716417911,1.46483417064796,-0.0668031580301361,1.22173299353115
Ed Donatell,2022,653,0.459418070444103,1.63990127510686,0.0238788832081721,-1.18048320466276
Bill Belichick,2022,616,0.974025974025972,1.70926587562025,-0.172481834622366,-0.735239901594281
