caller,seasons,n,actual,resid,epa
Anthony Weaver,2,1089,28.2828282828283,13.7782741116943,0.0236046247276641
Brian Flores,3,1764,28.968253968254,13.6830371514949,-0.066935907540391
Ryan Nielsen,2,1142,22.0665499124343,7.20433345229256,0.0947749340907147
Jeff Hafley,2,1219,22.3133716160787,7.16513217773693,-0.020070638163229
Steve Spagnuolo,4,2645,22.2306238185255,6.77778143955074,-0.0727300875696981
Dennis Allen,4,2054,21.7624148003895,6.29904540214857,-0.0801965707027516
Matt Eberflus,3,1477,20.7176709546378,5.60767119977381,0.0181562983031784
Dan Quinn,3,1451,21.5024121295658,5.37964785606347,-0.0675495076092724
Joe Whitt Jr.,2,906,19.0949227373069,4.38174636120689,0.107105730253603
Chris Shula,2,1347,19.079435783222,3.93535300595623,-0.0295771028751091
Patrick Graham,4,2247,18.3355585224744,3.66088743773375,0.0230592771921957
Bill Belichick,2,1190,18.2352941176471,3.26796023085123,-0.105612417175865
Jim Schwartz,3,1635,18.2262996941896,3.18135560894618,-0.155190233870293
Sean McDermott,3,1825,18.6849315068493,3.13112785560016,-0.0950915976950566
Lou Anarumo,4,2412,18.3250414593698,2.95954970223983,-0.0163078238603785
Teryl Austin,4,2442,17.6494676494677,2.72726349250006,-0.0157330060449415
Zach Orr,2,1326,16.289592760181,1.42820014932289,0.023570304109995
Steve Wilks,2,1158,16.839378238342,1.31238762438876,-0.019473703348702
Nick Rallis,3,1575,15.3015873015873,0.960712768137474,0.113567601567696
Mike Caldwell,2,1309,16.3483575248281,0.875908864528283,-0.0474873414416807
Todd Bowles,4,2578,15.7486423584174,0.718951627143932,0.0147467416600426
Joe Woods,2,815,15.3374233128834,0.548271067166265,0.00462316973991967
Aaron Glenn,3,1908,15.7756813417191,0.160730547936482,0.0264375006408575
Shane Bowen,4,2164,14.9722735674677,0.0373710581883015,0.0569169372051192
Jesse Minter,2,1160,14.8275862068965,-0.391065086326405,-0.0872961120969004
Jack Del Rio,2,953,14.6904512067157,-0.710910367549766,-0.0176014198598151
Gus Bradley,3,1638,13.4310134310134,-1.22714914752214,-0.0103175384964751
Dennard Wilson,2,1009,12.2893954410307,-1.46772049790168,0.0629982371953922
Mike Macdonald,4,2653,13.230305314738,-2.3170912653577,-0.120786216288322
DeMeco Ryans,3,2000,12.85,-2.9220948131755,-0.0995912591425582
Vance Joseph,4,2537,11.6279069767442,-3.22479787537777,-0.0600763524349841
Joe Barry,2,1113,8.89487870619946,-6.64027467920626,-0.0082819223651197
Brandon Staley,3,1596,8.52130325814536,-6.64967080052443,-0.033528407601194
Ejiro Evero,4,2199,7.00318326512051,-7.06065555127264,0.0112853306407051
Don Martindale,2,1225,4.9795918367347,-9.60578947662547,-0.0350855323839553
Clint Hurtt,2,1204,4.90033222591362,-10.566825794514,0.0143764775286604
Jeff Ulbrich,4,2210,4.16289592760181,-10.8395358756378,-0.1048106725216
Raheem Morris,2,1200,3.91666666666667,-11.3880151050398,0.0295329871292536
Vic Fangio,3,1918,1.51199165797706,-14.1556788612705,-0.125069685165728
