caller,season,n,actual,expected,epa,resid
Vance Joseph,2022,597,10.2177554438861,8.95874020058531,0.0196978138569414,1.2590152433008
Dean Pees,2022,554,2.52707581227437,8.83826086443045,0.112235265289726,-6.31118505215608
Mike Macdonald,2022,623,13.0016051364366,9.64949075042915,-0.0507988319291255,3.35211438600745
Leslie Frazier,2022,658,9.27051671732523,10.0098526277962,-0.0490382795864686,-0.739335910470926
Alan Williams,2022,482,5.3941908713693,8.60065601991212,0.120966640111693,-3.20646514854281
Lou Anarumo,2022,651,5.68356374807989,9.86593666274713,-0.0833631967424705,-4.18237291466723
Joe Woods,2022,522,9.19540229885058,9.21014625877071,-0.0408260198845254,-0.0147439599201267
Dan Quinn,2022,660,2.12121212121212,10.1247551333456,-0.107281549094301,-8.00354301213344
Ejiro Evero,2022,617,17.8282009724473,9.23134114987985,-0.0969045234729377,8.59685982256748
Aaron Glenn,2022,567,6.87830687830687,9.52292430120959,0.0453933346786618,-2.64461742290272
Joe Barry,2022,487,12.1149897330596,8.88624515234315,-0.0616455073841299,3.22874458071642
Lovie Smith,2022,531,5.27306967984934,9.23101497597452,-0.0191725457925528,-3.95794529612519
Gus Bradley,2022,522,4.78927203065134,9.00212871972329,-0.0386828572143196,-4.21285668907195
Mike Caldwell,2022,682,7.18475073313781,9.02886364152901,-0.000322282837315656,-1.8441129083912
Steve Spagnuolo,2022,750,8.13333333333334,10.0366520102757,-0.0931262440383428,-1.90331867694234
Raheem Morris,2022,552,13.0434782608696,9.03437283755604,0.0671590532655356,4.00910542331353
Brandon Staley,2022,563,16.1634103019538,9.13654545009414,-0.0588033832998396,7.02686485185968
Patrick Graham,2022,578,3.80622837370243,9.06078126962267,0.0749178697132731,-5.25455289592025
Josh Boyer,2022,670,1.04477611940299,9.12044571858567,-0.0668031580301361,-8.07566959918268
Ed Donatell,2022,653,26.6462480857581,9.20894073438653,0.0238788832081721,17.4373073513715
Bill Belichick,2022,616,2.92207792207793,9.18597512093808,-0.172481834622366,-6.26389719886015
Dennis Allen,2022,552,3.80434782608695,8.97708821875563,-0.120890805956679,-5.17274039266868
Don Martindale,2022,639,6.1032863849765,8.68054186617037,0.014383402045274,-2.57725548119387
Jeff Ulbrich,2022,580,13.2758620689655,8.83594869688186,-0.148121224343777,4.43991337208366
Jonathan Gannon,2022,685,7.007299270073,9.84253534911214,-0.189864802393165,-2.83523607903914
Teryl Austin,2022,559,7.69230769230769,9.16054950954562,-0.00602370565540592,-1.46824181723793
Clint Hurtt,2022,593,26.9814502529511,9.24368038153963,0.00917797982001723,17.7377698714115
DeMeco Ryans,2022,702,6.98005698005697,9.95772599306971,-0.141286555486612,-2.97766901301274
Todd Bowles,2022,610,7.54098360655738,9.0141839663437,-0.0187012491808808,-1.47320035978632
Shane Bowen,2022,661,4.53857791225416,9.57124860905838,0.0317450975949921,-5.03267069680422
Jack Del Rio,2022,516,7.94573643410854,9.14852669861442,-0.104290574453338,-1.20279026450588
Al Holcomb,2022,411,4.62287104622871,9.55971993291818,-0.00060491050863243,-4.93684888668948
Nick Rallis,2023,489,8.58895705521472,8.40145957371475,0.153237524573788,0.187497481499964
Ryan Nielsen,2023,559,17.7101967799642,8.80932419944875,-0.0228085685867067,8.90087258051547
Mike Macdonald,2023,729,16.4609053497942,9.21258156172502,-0.225542827814674,7.24832378806921
Sean McDermott,2023,631,10.7765451664026,9.02674055681158,-0.162482199242867,1.74980460959097
Ejiro Evero,2023,486,15.4320987654321,7.96380422754528,-0.0441941099218381,7.46829453788682
Lou Anarumo,2023,565,5.30973451327433,9.09026992387773,-0.00686276051322998,-3.7805354106034
Jim Schwartz,2023,587,8.0068143100511,8.88782042218293,-0.28210162915594,-0.881006112131832
Dan Quinn,2023,557,0.897666068222623,8.30805926998372,-0.102396004714566,-7.4103932017611
Vance Joseph,2023,576,13.8888888888889,8.88224423769215,0.0305835496854133,5.00664465119673
Aaron Glenn,2023,711,5.62587904360055,8.99482834222956,0.044551631948569,-3.36894929862901
Joe Barry,2023,626,14.3769968051118,8.81903463797555,0.0332325599100528,5.55796216713628
DeMeco Ryans,2023,655,12.5190839694656,8.91035082092409,-0.0103521157255155,3.60873314854155
Gus Bradley,2023,577,8.49220103986134,9.02593646430938,-0.0348009344229093,-0.533735424448048
Mike Caldwell,2023,627,12.280701754386,8.76886755906853,-0.0987896858885339,3.51183419531744
Steve Spagnuolo,2023,736,6.1141304347826,9.09471526905216,-0.171692622174463,-2.98058483426956
Raheem Morris,2023,648,16.358024691358,8.69260360005334,-0.00251884698683841,7.66542109130467
Brandon Staley,2023,528,23.6742424242424,8.84402684429061,0.0385629131924361,14.8302155799518
Patrick Graham,2023,581,7.2289156626506,8.71839730594813,-0.0826743597536636,-1.48948164329753
Vic Fangio,2023,633,22.9067930489732,9.22699683768112,-0.0800469258703039,13.679796211292
Brian Flores,2023,621,1.12721417069243,8.64980287513217,0.0200983608822411,-7.52258870443975
Bill Belichick,2023,574,2.26480836236934,8.208009735673,-0.0338501155259619,-5.94320137330367
Dennis Allen,2023,569,2.63620386643234,8.79828569095464,-0.135192679116905,-6.1620818245223
Don Martindale,2023,586,7.5085324232082,8.27228729891251,-0.0890286195857941,-0.763754875704311
Jeff Ulbrich,2023,540,12.4074074074074,8.33512493723969,-0.222601338889864,4.07228247016772
Sean Desai,2023,574,14.2857142857143,8.67303317751028,0.0049186892651725,5.61268110820401
Teryl Austin,2023,616,7.14285714285714,8.66652153335608,-0.0859667859871739,-1.52366439049894
Clint Hurtt,2023,611,14.4026186579378,8.62707256693119,0.0194218280052977,5.77554609100663
Steve Wilks,2023,750,3.06666666666666,9.21117778457701,-0.111704922003982,-6.14451111791035
Todd Bowles,2023,713,4.90883590462833,8.55417642468093,0.00704960140848983,-3.6453405200526
Shane Bowen,2023,568,3.69718309859155,8.88237241621975,0.101121129307397,-5.1851893176282
Jack Del Rio,2023,437,7.32265446224257,8.85904584808842,0.0847592295000428,-1.53639138584585
Matt Eberflus,2023,557,5.2064631956912,8.86974886446001,-0.114769012267623,-3.66328566876881
Nick Rallis,2024,536,6.34328358208955,8.94350428655466,0.053189254254659,-2.6002207044651
Jimmy Lake,2024,569,17.5746924428823,9.29170005577526,0.080921881657048,8.282992387107
Zach Orr,2024,704,8.94886363636363,9.525196229912,-0.00132331808510328,-0.576332593548374
Sean McDermott,2024,651,12.1351766513057,9.66292178303364,0.0226224942015525,2.47225486827205
Ejiro Evero,2024,542,14.760147601476,8.59045969318887,0.1250294261368,6.16968790828716
Matt Eberflus,2024,358,1.39664804469274,8.58927906644348,-0.0589734749795675,-7.19263102175074
Lou Anarumo,2024,580,11.5517241379311,10.0837843129732,-0.00500000048557208,1.46793982495782
Jim Schwartz,2024,526,6.08365019011408,8.39877699354855,0.0102982501722449,-2.31512680343447
Mike Zimmer,2024,543,7.91896869244935,9.4436882857,-0.0359960330108228,-1.52471959325066
Vance Joseph,2024,673,8.61812778603269,9.52501046750833,-0.126286260706178,-0.90688268147564
Aaron Glenn,2024,630,3.96825396825398,9.5796157753775,-0.0110658410404408,-5.61136180712353
Jeff Hafley,2024,614,12.7035830618893,9.51460144430982,-0.120043284068618,3.18898161757944
DeMeco Ryans,2024,643,8.24261275272161,9.45193590726675,-0.144974682011357,-1.20932315454513
Gus Bradley,2024,539,7.7922077922078,8.89768512800322,0.043362639277676,-1.10547733579542
Ryan Nielsen,2024,583,6.17495711835335,8.88245392392675,0.20751794952241,-2.70749680557341
Steve Spagnuolo,2024,649,5.08474576271187,9.72336919702739,0.0647711242521855,-4.63862343431552
Chris Shula,2024,628,13.0573248407643,9.25440091719839,0.0373283511407339,3.80292392356594
Jesse Minter,2024,622,12.2186495176849,9.94172426617414,-0.0881412118984762,2.27692525151074
Patrick Graham,2024,561,2.49554367201426,8.86064304321931,0.026647781026873,-6.36509937120505
Anthony Weaver,2024,562,8.36298932384342,9.419773758167,-0.0482601694351729,-1.05678443432357
Brian Flores,2024,678,5.01474926253687,10.0734249362104,-0.0825397558510304,-5.05867567367352
DeMarcus Covington,2024,525,3.23809523809524,8.76267293720905,0.087927833880697,-5.52457769911382
Dennis Allen,2024,312,3.84615384615385,9.30447816275633,-0.0903466744870779,-5.45832431660249
Shane Bowen,2024,516,4.45736434108527,9.18971734467078,0.0818853997517113,-4.73235300358551
Jeff Ulbrich,2024,533,10.3189493433396,9.02388974583898,0.0261892947258239,1.2950595975006
Vic Fangio,2024,703,18.9189189189189,9.69340716025648,-0.167171628162752,9.22551175866242
Teryl Austin,2024,615,7.3170731707317,9.17795177973141,0.00870125839501868,-1.86087860899971
Mike Macdonald,2024,577,9.53206239168111,8.88303991526598,-0.0210616267810816,0.649022476415134
Nick Sorensen,2024,526,7.60456273764258,8.86770362063655,-0.037561631814609,-1.26314088299397
Todd Bowles,2024,678,3.39233038348083,9.86562418877793,0.0219228594704014,-6.4732938052971
Dennard Wilson,2024,482,9.33609958506224,8.43752029866823,-0.00415870032941814,0.898579286394011
Joe Whitt Jr.,2024,601,7.82029950083195,9.35213054183982,0.0457186555108696,-1.53183104100787
Joe Woods,2024,293,3.07167235494881,9.10759096172139,0.0855940809479755,-6.03591860677258
Nick Rallis,2025,550,5.45454545454545,8.64532023003664,0.13713887758553,-3.19077477549119
Jeff Ulbrich,2025,557,5.02692998204669,9.051555889045,-0.0708715390335413,-4.02462590699831
Zach Orr,2025,622,9.48553054662379,8.89986434317317,0.0517457221571803,0.585666203450623
Sean McDermott,2025,543,12.707182320442,9.05985380359968,-0.157906338483315,3.64732851684232
Ejiro Evero,2025,554,13.7184115523466,8.62318717535007,0.0691677283710843,5.09522437699649
Dennis Allen,2025,621,3.22061191626409,8.74699226902249,0.011466611146735,-5.5263803527584
Al Golden,2025,543,15.6537753222836,8.40615408253233,0.0908421759611991,7.24762123975127
Jim Schwartz,2025,522,4.9808429118774,8.54200910142591,-0.17923229052489,-3.56116618954851
Matt Eberflus,2025,562,5.69395017793595,8.7142970390598,0.199031488379975,-3.02034686112385
Vance Joseph,2025,691,11.4327062228654,8.87202010213703,-0.140085053782473,2.56068612072838
Kelvin Sheppard,2025,577,3.46620450606586,8.96686229122838,-0.0197218158693931,-5.50065778516252
Jeff Hafley,2025,605,14.7107438016529,9.00155678757058,0.0813892041275295,5.70918701408231
Lou Anarumo,2025,616,8.60389610389612,9.06869717435185,0.0352474511359126,-0.464801070455737
Anthony Campanile,2025,679,19.7349042709868,9.03174992443635,-0.156333701405263,10.7031543465504
Steve Spagnuolo,2025,510,4.31372549019608,8.74652539644682,-0.0748962515928585,-4.43279990625075
Chris Shula,2025,719,9.87482614742699,9.33301445117456,-0.0880146899710053,0.541811696252431
Jesse Minter,2025,538,10.5947955390335,9.05959949383796,-0.0863190636274206,1.53519604519551
Patrick Graham,2025,527,8.34914611005692,8.44782233736133,0.0789299146440125,-0.0986762273044111
Anthony Weaver,2025,527,6.2618595825427,8.78725143209581,0.100242223056914,-2.52539184955311
Brian Flores,2025,465,10.752688172043,8.9271385259726,-0.16041735170349,1.82554964607042
Brandon Staley,2025,505,9.7029702970297,8.55364972559532,-0.0807252512857468,1.14932057143437
Shane Bowen,2025,419,3.10262529832935,9.11639952100813,0.00595483265657137,-6.01377422267878
Steve Wilks,2025,408,1.47058823529412,8.28267535658133,0.150068978002916,-6.81208712128721
Vic Fangio,2025,582,23.1958762886598,9.27257526340283,-0.12318264170713,13.923301025257
Teryl Austin,2025,652,4.9079754601227,9.08670786095417,0.0192507928754406,-4.17873240083148
Mike Macdonald,2025,724,19.3370165745857,9.11086651674106,-0.15500673949101,10.2261500578446
Robert Saleh,2025,625,9.92000000000001,9.35859169796109,0.107402128434181,0.56140830203892
Todd Bowles,2025,577,4.6793760831889,8.89950010201618,0.0511868240463463,-4.22012401882728
Dennard Wilson,2025,527,11.0056925996205,8.19873189985703,0.124420711364194,2.80696069976346
Joe Whitt Jr.,2025,305,6.88524590163934,8.4812386472114,0.228068457861416,-1.59599274557206
Zak Kuhr,2025,622,3.69774919614148,9.27484373931123,-0.196504695472754,-5.57709454316975
Matt Burke,2025,449,10.6904231625835,9.13431214309714,-0.230985061017142,1.55611101948638
Dan Quinn,2025,234,13.6752136752137,8.18502415572572,0.127461801227341,5.49018951948796
