caller,seasons,n,rot_man,rot_zone,resid
Brandon Staley,2,1091,16.0320500803875,-2.45946096037105,17.6247799953627
Chris Shula,2,1347,30.4676998420345,13.2791146206301,16.8474896290131
Dennard Wilson,2,1009,22.8217430214087,6.06334614092295,16.30376484159
Vic Fangio,3,1918,19.8704724599771,4.81062390657857,15.0042648668556
Dennis Allen,4,2054,7.27964259596775,-5.64459180656973,12.8905586719425
Ryan Nielsen,2,1142,4.60876871454026,-8.02145693226149,12.4529900902629
Mike Macdonald,4,2653,14.8380635742116,3.33445016590963,11.5916226939547
Steve Spagnuolo,4,2645,4.26704381552467,-5.9497825438934,10.1433459830221
Jeff Ulbrich,4,2210,1.07174987399245,-6.56430352804641,7.68079945262176
Joe Barry,2,1113,2.78235748097176,-2.75721865126066,5.45394109380692
Vance Joseph,3,1940,-1.59090347403031,-5.77684043276452,4.79615650206372
Jesse Minter,2,1160,4.47830936502454,0.0170133049100785,4.42625882277307
Jack Del Rio,2,953,0.0312288182562762,-3.53679251414617,3.95414991997133
Zach Orr,2,1326,14.4298815451163,10.5484570272623,3.89913617296462
Shane Bowen,4,2164,-0.176871322106906,1.23188227031996,-0.61539198153346
Anthony Weaver,2,1089,7.99788641705504,9.7464960965539,-1.74880400041978
Bill Belichick,2,1190,-4.12641417174631,0.42998100457929,-4.2793703742546
Nick Rallis,2,1086,4.19369213155155,8.3741687840901,-4.35968047520648
DeMeco Ryans,3,2000,-13.3089752353373,-9.39139050396183,-4.5077795153685
Don Martindale,2,1225,-15.4321403699456,-9.81548015822329,-5.48746516020902
Sean McDermott,3,1825,3.05131862910935,8.37806868860267,-5.49724780542498
Jim Schwartz,3,1635,-11.9481559581817,-6.49696877216985,-5.49768139949155
Teryl Austin,4,2442,-5.13101194944624,1.75951144003822,-6.8212980506821
Dan Quinn,2,1217,-8.9715950011375,-1.291087913448,-6.86130666659037
Aaron Glenn,3,1908,-4.37279295186282,2.91189939244507,-7.57098501172783
Lou Anarumo,4,2412,-12.7848168969289,-4.08988304581292,-8.5364372178145
Steve Wilks,2,1158,-14.2396740898146,-4.76601695108137,-9.01376936397923
Jeff Hafley,2,1219,-6.91504462029446,3.5322716360813,-10.4941828909277
Brian Flores,2,1299,-8.11090242339527,2.20396608494375,-10.4986886936839
Patrick Graham,3,1720,-4.97940018684906,6.813048638299,-12.7372154901196
Todd Bowles,4,2578,-14.1899787303474,3.15500299234202,-17.2124044316396
