caller,seasons,n,actual,resid,epa
Brian Flores,3,1764,10.2607709750567,6.7660153553612,-0.066935907540391
Lou Anarumo,4,2412,8.04311774461029,4.76410804620665,-0.0163078238603785
Bill Belichick,2,1190,6.21848739495797,3.02671091822797,-0.105612417175865
Nick Rallis,3,1575,6.22222222222222,2.88185620296096,0.113567601567696
Dennis Allen,4,2054,5.9396299902629,2.57587281535012,-0.0801965707027516
Raheem Morris,2,1200,5.41666666666667,2.16512665637614,0.0295329871292536
Joe Woods,2,815,4.78527607361964,1.32355904755143,0.00462316973991967
Patrick Graham,4,2247,4.3613707165109,0.934876156303555,0.0230592771921957
Steve Spagnuolo,4,2645,4.27221172022685,0.927176528376139,-0.0727300875696981
Ryan Nielsen,2,1142,4.2031523642732,0.775226060425023,0.0947749340907147
Jesse Minter,2,1160,4.22413793103448,0.739573394349803,-0.0872961120969004
Todd Bowles,4,2578,3.87897595034911,0.591564431166618,0.0147467416600426
Chris Shula,2,1347,4.08314773570898,0.562569142216243,-0.0295771028751091
Mike Caldwell,2,1309,3.43773873185638,0.241864385614081,-0.0474873414416807
Vance Joseph,4,2537,3.58691367757194,0.213132668169093,-0.0600763524349841
Clint Hurtt,2,1204,3.40531561461794,0.0988636457862557,0.0143764775286604
Dan Quinn,3,1451,3.44589937973811,0.0516164448076265,-0.0675495076092724
Sean McDermott,3,1825,3.28767123287671,0.00174570109133462,-0.0950915976950566
Joe Barry,2,1113,3.05480682839174,-0.122070961204243,-0.0082819223651197
Don Martindale,2,1225,3.02040816326531,-0.123086065053941,-0.0350855323839553
Zach Orr,2,1326,3.31825037707391,-0.141740651157872,0.023570304109995
Anthony Weaver,2,1089,3.03030303030303,-0.344481193302309,0.0236046247276641
Jeff Ulbrich,4,2210,3.12217194570136,-0.458657062882177,-0.1048106725216
Aaron Glenn,3,1908,2.56813417190776,-0.580606821034125,0.0264375006408575
Mike Macdonald,4,2653,2.78929513758009,-0.629636170019607,-0.120786216288322
Joe Whitt Jr.,2,906,2.09713024282561,-1.29721558983818,0.107105730253603
Brandon Staley,3,1596,1.94235588972431,-1.42896663853292,-0.033528407601194
Ejiro Evero,4,2199,1.90995907230559,-1.4917170839607,0.0112853306407051
Vic Fangio,3,1918,1.77267987486965,-1.55853212971777,-0.125069685165728
Jeff Hafley,2,1219,1.96882690730107,-1.62500287467267,-0.020070638163229
DeMeco Ryans,3,2000,1.6,-1.65927930169273,-0.0995912591425582
Gus Bradley,3,1638,1.58730158730159,-1.69686702331948,-0.0103175384964751
Matt Eberflus,3,1477,1.5572105619499,-1.85451671542926,0.0181562983031784
Shane Bowen,4,2164,1.43253234750462,-1.89271145061264,0.0569169372051192
Jack Del Rio,2,953,1.04931794333683,-2.30912170441311,-0.0176014198598151
Steve Wilks,2,1158,0.949913644214164,-2.4120868365031,-0.019473703348702
Teryl Austin,4,2442,0.982800982800983,-2.41209907267688,-0.0157330060449415
Dennard Wilson,2,1009,0.396432111000992,-3.10153937363227,0.0629982371953922
Jim Schwartz,3,1635,0.428134556574924,-3.11326171468021,-0.155190233870293
