caller,season,n,actual,expected,epa,resid
Vance Joseph,2022,597,3.85259631490788,3.12270676487842,0.0196978138569414,0.729889550029465
Dean Pees,2022,554,5.95667870036101,3.24641015096517,0.112235265289726,2.71026854939584
Mike Macdonald,2022,623,5.29695024077046,3.417277811424,-0.0507988319291255,1.87967242934646
Leslie Frazier,2022,658,2.7355623100304,3.24725394192404,-0.0490382795864686,-0.511691631893638
Alan Williams,2022,482,2.28215767634855,3.18119282973351,0.120966640111693,-0.899035153384958
Lou Anarumo,2022,651,8.75576036866359,3.32224809617582,-0.0833631967424705,5.43351227248777
Joe Woods,2022,522,5.55555555555556,3.38013766679584,-0.0408260198845254,2.17541788875972
Dan Quinn,2022,660,4.09090909090908,3.45361573812128,-0.107281549094301,0.637293352787799
Ejiro Evero,2022,617,2.91734197730956,3.30693589680416,-0.0969045234729377,-0.3895939194946
Aaron Glenn,2022,567,3.70370370370371,3.2132957947015,0.0453933346786618,0.490407909002205
Joe Barry,2022,487,1.23203285420945,3.24470640927003,-0.0616455073841299,-2.01267355506058
Lovie Smith,2022,531,1.69491525423729,3.27419906244271,-0.0191725457925528,-1.57928380820542
Gus Bradley,2022,522,1.72413793103449,3.17709592030066,-0.0386828572143196,-1.45295798926617
Mike Caldwell,2022,682,3.81231671554253,3.14138026763289,-0.000322282837315656,0.670936447909634
Steve Spagnuolo,2022,750,3.33333333333334,3.28414732037733,-0.0931262440383428,0.0491860129560049
Raheem Morris,2022,552,2.17391304347826,3.2183757188487,0.0671590532655356,-1.04446267537044
Brandon Staley,2022,563,3.37477797513321,3.26160177609968,-0.0588033832998396,0.113176199033536
Patrick Graham,2022,578,6.92041522491349,3.12451091578881,0.0749178697132731,3.79590430912468
Josh Boyer,2022,670,5.52238805970149,3.16036533939638,-0.0668031580301361,2.36202272030511
Ed Donatell,2022,653,1.53139356814701,3.26994928691085,0.0238788832081721,-1.73855571876384
Bill Belichick,2022,616,7.46753246753246,3.29638925387052,-0.172481834622366,4.17114321366193
Dennis Allen,2022,552,5.97826086956521,3.34085404208146,-0.120890805956679,2.63740682748375
Don Martindale,2022,639,1.72143974960876,3.26841201637587,0.014383402045274,-1.54697226676711
Jeff Ulbrich,2022,580,3.44827586206897,3.45300710350596,-0.148121224343777,-0.00473124143699355
Jonathan Gannon,2022,685,0.437956204379561,3.31357667317791,-0.189864802393165,-2.87562046879835
Teryl Austin,2022,559,1.25223613595707,3.34130252281634,-0.00602370565540592,-2.08906638685927
Clint Hurtt,2022,593,3.37268128161889,3.42521135071779,0.00917797982001723,-0.0525300690989043
DeMeco Ryans,2022,702,1.85185185185185,3.1374477636085,-0.141286555486612,-1.28559591175665
Todd Bowles,2022,610,6.55737704918033,3.38598394751182,-0.0187012491808808,3.1713931016685
Shane Bowen,2022,661,1.21028744326778,3.34351053292357,0.0317450975949921,-2.1332230896558
Jack Del Rio,2022,516,1.55038759689922,3.44374867304149,-0.104290574453338,-1.89336107614227
Al Holcomb,2022,411,3.89294403892944,3.14546721067434,-0.00060491050863243,0.747476828255107
Nick Rallis,2023,489,11.2474437627812,3.18446909296488,0.153237524573788,8.0629746698163
Ryan Nielsen,2023,559,5.00894454382827,3.34226504719628,-0.0228085685867067,1.66667949663199
Mike Macdonald,2023,729,1.78326474622771,3.33822169903262,-0.225542827814674,-1.55495695280491
Sean McDermott,2023,631,1.90174326465927,3.15789789088342,-0.162482199242867,-1.25615462622415
Ejiro Evero,2023,486,2.26337448559671,3.22700298329961,-0.0441941099218381,-0.963628497702898
Lou Anarumo,2023,565,8.14159292035399,3.07159945426459,-0.00686276051322998,5.0699934660894
Jim Schwartz,2023,587,0.681431005110732,3.32835725741858,-0.28210162915594,-2.64692625230784
Dan Quinn,2023,557,1.97486535008976,3.23108913229789,-0.102396004714566,-1.25622378220812
Vance Joseph,2023,576,4.51388888888889,3.17742795111068,0.0305835496854133,1.33646093777821
Aaron Glenn,2023,711,2.25035161744022,3.12899514867724,0.044551631948569,-0.878643531237014
Joe Barry,2023,626,4.47284345047924,3.12411015735755,0.0332325599100528,1.34873329312169
DeMeco Ryans,2023,655,1.6793893129771,3.08473656209939,-0.0103521157255155,-1.4053472491223
