caller,seasons,n,man_late,man_early,gap
Aaron Glenn,3,321,24.3221700864603,5.25553228549001,19.4502354895831
Lou Anarumo,4,400,16.5626206956804,-0.523642723403441,17.0163520705463
Shane Bowen,3,275,10.1546712179076,-3.13531733958874,13.3596496175519
Brian Flores,3,302,9.87386864344806,-2.13931702359607,12.5429821953172
Patrick Graham,4,358,6.74349899773158,-3.5495285098114,10.604543343948
Ejiro Evero,4,381,-3.4540698000687,-12.5479855575845,9.48456025265497
Steve Spagnuolo,4,452,9.93785465515293,4.51643287698612,5.21362525690444
Vance Joseph,4,454,3.89412030544837,2.66454703670841,-0.352459383297887
Gus Bradley,3,302,-11.9968958328546,-11.1666360724822,-0.855453713090696
DeMeco Ryans,3,392,-2.86783226955758,-1.8844022962079,-1.23462267412922
Jim Schwartz,3,344,8.19373345327412,11.4373360049896,-3.25883042658987
Sean McDermott,3,344,-3.86635086304226,-0.543085208211824,-3.35243131038968
Jeff Ulbrich,4,423,-3.35788120500233,1.70350151178018,-5.23275458586568
Mike Macdonald,4,471,-8.90171370348417,-3.49658416203803,-5.5218152012651
Vic Fangio,3,341,-5.43202245307545,1.66637310577644,-7.14877628317892
Teryl Austin,4,441,5.24564320918451,14.2096505179622,-8.7867014670395
Nick Rallis,3,257,-14.4783142410538,-5.2493881731014,-9.29904985565563
Dennis Allen,3,328,-3.02924149862786,6.68800651294661,-9.73675076086765
Brandon Staley,3,291,-9.43409628410827,4.29941569881221,-13.1940541457428
Todd Bowles,4,457,-16.3035041960344,2.80679232319827,-19.0022900656738
