caller,seasons,n,actual,resid,epa
Don Martindale,2,1225,42.9387755102041,15.8090384677053,-0.0350855323839553
Aaron Glenn,3,1908,38.9937106918239,13.8367285129987,0.0264375006408575
Jim Schwartz,3,1635,38.4097859327217,11.6326618128505,-0.155190233870293
Bill Belichick,2,1190,36.218487394958,9.44814900765903,-0.105612417175865
Teryl Austin,4,2442,34.7665847665848,8.46180132270641,-0.0157330060449415
Ryan Nielsen,2,1142,34.7635726795096,8.18655983024585,0.0947749340907147
Zach Orr,2,1326,33.7858220211161,7.77252975171418,0.023570304109995
Joe Whitt Jr.,2,906,33.3333333333333,7.22173761831345,0.107105730253603
Steve Spagnuolo,4,2645,31.6068052930057,6.38008977246026,-0.0727300875696981
Dennis Allen,4,2054,31.1587147030185,4.80040989810748,-0.0801965707027516
Dan Quinn,3,1451,30.1860785665059,4.56515148097198,-0.0675495076092724
Jack Del Rio,2,953,30.4302203567682,4.47033198720389,-0.0176014198598151
Shane Bowen,4,2164,29.8983364140481,4.09578662916549,0.0569169372051192
Lou Anarumo,4,2412,27.6119402985075,2.26089600859762,-0.0163078238603785
Vance Joseph,4,2537,27.6310603074497,1.337761664965,-0.0600763524349841
Steve Wilks,2,1158,26.1658031088083,0.703414943107812,-0.019473703348702
Patrick Graham,4,2247,26.3907432131731,-0.415322082270559,0.0230592771921957
Vic Fangio,3,1918,24.6611053180396,-0.463553358595799,-0.125069685165728
Sean McDermott,3,1825,24.4931506849315,-0.741268434242846,-0.0950915976950566
Jeff Ulbrich,4,2210,25.9276018099548,-1.03671189077299,-0.1048106725216
Joe Woods,2,815,25.6441717791411,-1.04874835058224,0.00462316973991967
Brian Flores,3,1764,23.469387755102,-1.37753040559353,-0.066935907540391
Mike Macdonald,4,2653,24.1613267998492,-2.03094142245159,-0.120786216288322
Anthony Weaver,2,1089,22.5895316804408,-3.30134362214963,0.0236046247276641
Brandon Staley,3,1596,22.9323308270677,-3.47990464876619,-0.033528407601194
DeMeco Ryans,3,2000,21,-3.98602815764026,-0.0995912591425582
Todd Bowles,4,2578,21.644685802948,-4.49437240508578,0.0147467416600426
Dennard Wilson,2,1009,22.2993062438057,-4.90085395870822,0.0629982371953922
Joe Barry,2,1113,21.3836477987421,-5.18790894528552,-0.0082819223651197
Chris Shula,2,1347,20.1930215293244,-5.42238092847838,-0.0295771028751091
Mike Caldwell,2,1309,20.1680672268908,-5.84739695357926,-0.0474873414416807
Jesse Minter,2,1160,18.2758620689655,-6.54985284769972,-0.0872961120969004
Matt Eberflus,3,1477,19.2958700067705,-6.61424118205751,0.0181562983031784
Nick Rallis,3,1575,19.4920634920635,-6.88752941219579,0.113567601567696
Jeff Hafley,2,1219,18.0475799835931,-7.89507649964221,-0.020070638163229
Clint Hurtt,2,1204,16.1960132890365,-9.88030633858198,0.0143764775286604
Ejiro Evero,4,2199,16.1891768985903,-11.1905620980156,0.0112853306407051
Raheem Morris,2,1200,13.8333333333333,-12.0088600330055,0.0295329871292536
Gus Bradley,3,1638,13.2478632478632,-13.3612366920844,-0.0103175384964751
