caller,season,n,actual,expected,epa,resid
Vance Joseph,2022,597,16.2479061976549,26.8174913423245,0.0196978138569414,-10.5695851446696
Dean Pees,2022,554,27.797833935018,27.2156127234282,0.112235265289726,0.582221211589822
Mike Macdonald,2022,623,22.6324237560193,26.067313742652,-0.0507988319291255,-3.43488998663272
Leslie Frazier,2022,658,25.6838905775076,23.411139639202,-0.0490382795864686,2.27275093830554
Alan Williams,2022,482,24.4813278008299,27.4571714289023,0.120966640111693,-2.9758436280724
Lou Anarumo,2022,651,27.3425499231951,25.495497566489,-0.0833631967424705,1.84705235670607
Joe Woods,2022,522,23.5632183908046,26.0408742289091,-0.0408260198845254,-2.47765583810449
Dan Quinn,2022,660,25.6060606060606,24.2577221238929,-0.107281549094301,1.34833848216768
Ejiro Evero,2022,617,15.3970826580227,26.3429440992675,-0.0969045234729377,-10.9458614412448
Aaron Glenn,2022,567,40.5643738977072,25.6001065118892,0.0453933346786618,14.964267385818
Joe Barry,2022,487,20.5338809034908,26.5996707125244,-0.0616455073841299,-6.06578980903362
Lovie Smith,2022,531,20.5273069679849,27.1393982486593,-0.0191725457925528,-6.61209128067432
Gus Bradley,2022,522,20.1149425287356,26.696884774842,-0.0386828572143196,-6.5819422461064
Mike Caldwell,2022,682,25.0733137829912,26.1315274502962,-0.000322282837315656,-1.05821366730499
Steve Spagnuolo,2022,750,29.4666666666667,24.5276360760133,-0.0931262440383428,4.93903059065343
Raheem Morris,2022,552,9.96376811594204,26.4492786273468,0.0671590532655356,-16.4855105114048
Brandon Staley,2022,563,31.6163410301954,26.9329241713506,-0.0588033832998396,4.68341685884482
Patrick Graham,2022,578,37.0242214532872,27.2626626772555,0.0749178697132731,9.76155877603171
Josh Boyer,2022,670,42.9850746268657,27.0159379732031,-0.0668031580301361,15.9691366536626
Ed Donatell,2022,653,15.7733537519142,25.9132742208598,0.0238788832081721,-10.1399204689456
Bill Belichick,2022,616,33.7662337662338,25.6327435858064,-0.172481834622366,8.13349018042743
Dennis Allen,2022,552,30.7971014492754,25.8099656805153,-0.120890805956679,4.98713576876004
Don Martindale,2022,639,43.8184663536776,27.5261774740775,0.014383402045274,16.2922888796001
Jeff Ulbrich,2022,580,22.9310344827586,26.7054277016171,-0.148121224343777,-3.77439321885849
Jonathan Gannon,2022,685,25.985401459854,24.8641473582409,-0.189864802393165,1.12125410161316
Teryl Austin,2022,559,36.8515205724508,26.8077168227148,-0.00602370565540592,10.043803749736
Clint Hurtt,2022,593,17.7065767284991,25.7039523308132,0.00917797982001723,-7.99737560231409
DeMeco Ryans,2022,702,18.0911680911681,24.3302462622523,-0.141286555486612,-6.23907817108424
Todd Bowles,2022,610,20.655737704918,27.0467276275769,-0.0187012491808808,-6.39098992265883
Shane Bowen,2022,661,26.4750378214826,24.4447675425103,0.0317450975949921,2.03027027897232
Jack Del Rio,2022,516,25.7751937984497,25.8716209676088,-0.104290574453338,-0.0964271691591172
Al Holcomb,2022,411,18.2481751824817,24.3087404681746,-0.00060491050863243,-6.06056528569284
Nick Rallis,2023,489,15.1329243353783,26.2390159253328,0.153237524573788,-11.1060915899545
Ryan Nielsen,2023,559,33.8103756708408,26.3964107363403,-0.0228085685867067,7.41396493450048
Mike Macdonald,2023,729,25.7887517146776,26.160022450818,-0.225542827814674,-0.371270736140342
Sean McDermott,2023,631,21.7115689381933,25.4487784641386,-0.162482199242867,-3.73720952594526
Ejiro Evero,2023,486,14.1975308641975,28.431318085564,-0.0441941099218381,-14.2337872213665
Lou Anarumo,2023,565,26.7256637168142,24.7610688690854,-0.00686276051322998,1.96459484772872
Jim Schwartz,2023,587,35.6047700170358,25.3898848438385,-0.28210162915594,10.2148851731973
Dan Quinn,2023,557,40.394973070018,26.2117927088076,-0.102396004714566,14.1831803612103
Vance Joseph,2023,576,25.3472222222223,25.6306670683747,0.0305835496854133,-0.283444846152403
Aaron Glenn,2023,711,30.239099859353,24.1451384127664,0.044551631948569,6.09396144658661
Joe Barry,2023,626,22.0447284345048,26.549685334031,0.0332325599100528,-4.50495689952622
DeMeco Ryans,2023,655,17.8625954198473,26.4577141446808,-0.0103521157255155,-8.59511872483347
Gus Bradley,2023,577,7.97227036395146,25.9630579940419,-0.0348009344229093,-17.9907876300905
Mike Caldwell,2023,627,14.8325358851675,25.8892199220626,-0.0987896858885339,-11.0566840368951
Steve Spagnuolo,2023,736,34.7826086956522,25.1886959152256,-0.171692622174463,9.59391278042662
Raheem Morris,2023,648,17.1296296296296,25.3250466625172,-0.00251884698683841,-8.19541703288755
Brandon Staley,2023,528,20.0757575757576,25.7737415863878,0.0385629131924361,-5.69798401063027
Patrick Graham,2023,581,19.6213425129088,25.7587347352771,-0.0826743597536636,-6.13739222236836
Vic Fangio,2023,633,24.4865718799368,24.4957782469372,-0.0800469258703039,-0.00920636700037036
Brian Flores,2023,621,23.1884057971015,26.4334041217339,0.0200983608822411,-3.24499832463243
Bill Belichick,2023,574,38.8501742160279,27.9911718328032,-0.0338501155259619,10.8590023832246
Dennis Allen,2023,569,31.1072056239016,25.8952421736895,-0.135192679116905,5.21196345021205
Don Martindale,2023,586,41.9795221843004,26.697441077006,-0.0890286195857941,15.2820811072943
Jeff Ulbrich,2023,540,29.4444444444445,26.9040906898401,-0.222601338889864,2.54035375460431
Sean Desai,2023,574,31.0104529616725,26.6091551086525,0.0049186892651725,4.40129785302001
