caller,seasons,n,H_act,H_exp,resid,epa
Steve Spagnuolo,4,2645,1.79935314200868,1.6805921457348,0.118760996273882,-0.0727300875696982
Jack Del Rio,2,953,1.75055329945393,1.67238877988565,0.0781645195682881,-0.017601419859815
Sean McDermott,3,1825,1.75566401482442,1.68748213625118,0.0681818785732351,-0.0950915976950567
Jesse Minter,2,1160,1.7193466073208,1.68091319958433,0.0384334077364617,-0.0872961120969006
Mike Macdonald,4,2653,1.71436943297072,1.69399744132062,0.0203719916500978,-0.120786216288322
Ryan Nielsen,2,1142,1.6763681968296,1.67696024056931,-0.000592043739706464,0.0947749340907147
Lou Anarumo,4,2412,1.67952702388446,1.68384246622148,-0.00431544233701954,-0.0163078238603784
Dennard Wilson,2,1009,1.6575947020035,1.66405102006845,-0.0064563180649442,0.0629982371953924
Vance Joseph,4,2537,1.67712153590148,1.69089752352257,-0.0137759876210926,-0.0600763524349839
Don Martindale,2,1225,1.66311188754596,1.67811345357267,-0.0150015660267026,-0.0350855323839553
Brian Flores,3,1764,1.6583045678174,1.67676227343957,-0.0184577056221705,-0.066935907540391
Anthony Weaver,2,1089,1.6497069109887,1.67615773468008,-0.0264508236913712,0.0236046247276639
Joe Whitt Jr.,2,906,1.65044396135927,1.68610736652005,-0.0356634051607824,0.107105730253603
Zach Orr,2,1326,1.65018138877575,1.68959987842502,-0.03941848964927,0.0235703041099945
Chris Shula,2,1347,1.64501492966826,1.68577766136068,-0.0407627316924235,-0.0295771028751089
Dennis Allen,4,2054,1.63308472902326,1.68809021740065,-0.0550054883773937,-0.0801965707027514
Nick Rallis,3,1575,1.6021165628296,1.66976283802363,-0.0676462751940368,0.113567601567696
Joe Woods,2,815,1.62186465719995,1.68984872905544,-0.0679840718554868,0.0046231697399192
Aaron Glenn,3,1908,1.61457686778077,1.69009564325157,-0.0755187754707964,0.0264375006408573
Todd Bowles,4,2578,1.60940954481852,1.6850908293497,-0.0756812845311757,0.0147467416600426
Patrick Graham,4,2247,1.60297870252691,1.68075368744656,-0.077774984919658,0.0230592771921958
Brandon Staley,3,1596,1.59382137951591,1.67805409425763,-0.084232714741716,-0.0335284076011938
Mike Caldwell,2,1309,1.59449867369876,1.67986837288575,-0.0853696991869831,-0.0474873414416808
Steve Wilks,2,1158,1.58162307631952,1.67208954376366,-0.0904664674441354,-0.0194737033487019
Jeff Hafley,2,1219,1.60228874546304,1.69497588014106,-0.0926871346780199,-0.0200706381632292
Shane Bowen,4,2164,1.57761767475213,1.67170452543941,-0.0940868506872832,0.0569169372051193
Bill Belichick,2,1190,1.57497600285561,1.67438429588858,-0.0994082930329757,-0.105612417175865
DeMeco Ryans,3,2000,1.58254510703017,1.68234704111058,-0.0998019340804102,-0.0995912591425586
Joe Barry,2,1113,1.57490643742569,1.68824649961126,-0.113340062185575,-0.00828192236511956
Teryl Austin,4,2442,1.55625790206867,1.68310286191058,-0.126844959841907,-0.0157330060449416
Jim Schwartz,3,1635,1.52467523276371,1.67508421745306,-0.150408984689344,-0.155190233870293
Vic Fangio,3,1918,1.53322200506517,1.68450951927359,-0.151287514208421,-0.125069685165729
Dan Quinn,3,1451,1.53077311194145,1.68571182755388,-0.154938715612427,-0.0675495076092726
Matt Eberflus,3,1477,1.49425900942751,1.67705321683879,-0.182794207411281,0.0181562983031784
Jeff Ulbrich,4,2210,1.49417771052078,1.67997130093733,-0.185793590416551,-0.1048106725216
Clint Hurtt,2,1204,1.45528121350864,1.67389575340141,-0.218614539892768,0.0143764775286605
Ejiro Evero,4,2199,1.42028653227253,1.67291391532063,-0.252627383048095,0.0112853306407052
Raheem Morris,2,1200,1.40293277941894,1.67081903872507,-0.26788625930613,0.0295329871292536
Gus Bradley,3,1638,1.38299784153851,1.67654701201856,-0.293549170480052,-0.0103175384964753
