caller,season,n,a_COVER 0,a_COVER 1,a_COVER 2,a_COVER 2 MAN,a_COVER 3,a_COVER 4,a_COVER 6,e_COVER 0,e_COVER 1,e_COVER 2,e_COVER 2 MAN,e_COVER 3,e_COVER 4,e_COVER 6,H_act,H_exp,resid,actual,se
Vance Joseph,2022,597,0.0435510887772194,0.0871021775544389,0.162479061976549,0.0318257956448911,0.467336683417086,0.105527638190955,0.102177554438861,0.0475519168221078,0.205400380204546,0.14439600172345,0.0145498061270088,0.335290680129324,0.164652982057451,0.0895874020058531,1.57993156987638,1.68948952419851,-0.109557954322131,1.57993156987638,0.0321501399571999
Dean Pees,2022,554,0.0397111913357401,0.232851985559567,0.1985559566787,0.00541516245487365,0.388086642599278,0.110108303249097,0.0252707581227437,0.0433380246756679,0.213236740692804,0.146257769930032,0.0151614591377175,0.334373756590894,0.159769267736453,0.0883826086443045,1.51993599429901,1.68362107194194,-0.163685077642925,1.51993599429901,0.0306322250959837
Mike Macdonald,2022,623,0.0706260032102729,0.146067415730337,0.112359550561798,0.00963081861958266,0.385232744783307,0.146067415730337,0.130016051364366,0.0448170563125352,0.199477384443937,0.15466692197446,0.0163434142954864,0.322362702402673,0.167819851718658,0.0964949075042914,1.67221951883908,1.70536120558263,-0.0331416867435526,1.67221951883908,0.0246334651397495
Leslie Frazier,2022,658,0.0151975683890578,0.202127659574468,0.188449848024316,0.0395136778115502,0.243161094224924,0.218844984802432,0.0927051671732523,0.0340534766433947,0.181935152237086,0.166287352986305,0.0168385061481048,0.327301654268317,0.173598564554029,0.100098526277962,1.72581292464151,1.69206268369296,0.0337502409485504,1.72581292464151,0.0177690614230934
Alan Williams,2022,482,0.0228215767634855,0.213692946058091,0.267634854771784,0.00829875518672199,0.379668049792531,0.053941908713693,0.053941908713693,0.0432166430714668,0.216998395088797,0.144599937710185,0.0139213217391209,0.333360870998677,0.16169584659218,0.0860065601991211,1.49128042661768,1.67840159330724,-0.187121166689559,1.49128042661768,0.0345448457516516
Lou Anarumo,2022,651,0.0537634408602151,0.201228878648234,0.201228878648234,0.0184331797235023,0.359447004608295,0.109062980030722,0.0568356374807988,0.0340612739261623,0.199990271039868,0.160899883823558,0.0195903670005736,0.319850030599789,0.165362443679088,0.0986593666274713,1.64846795916746,1.69979949137896,-0.0513315322114933,1.64846795916746,0.02574425104944
Joe Woods,2022,522,0.0306513409961686,0.17816091954023,0.0823754789272031,0.0268199233716475,0.383141762452107,0.206896551724138,0.0919540229885057,0.0420149661180424,0.202783493931723,0.151290802581243,0.0155640498803477,0.332233505416305,0.162757906235819,0.0921014625877071,1.62984598947052,1.68934510738719,-0.0594991179166748,1.62984598947052,0.0304008344652476
Dan Quinn,2022,660,0.0121212121212121,0.231818181818182,0.298484848484848,0.0121212121212121,0.31969696969697,0.104545454545455,0.0212121212121212,0.033496135971015,0.190421193395036,0.163538005428784,0.018298197432975,0.327851778759875,0.170760226948892,0.101247551333456,1.48911647320747,1.69434081551418,-0.205224342306709,1.48911647320747,0.0251187714358692
Ejiro Evero,2022,617,0.0210696920583468,0.13128038897893,0.00972447325769854,0.00162074554294976,0.513776337115073,0.144246353322528,0.178282009724473,0.0374492486286758,0.211632905183798,0.147913748252763,0.0152305738318929,0.334371003994003,0.161031136691504,0.0923134114987985,1.33222944618536,1.67842582821394,-0.34619638202858,1.33222944618536,0.0356690455261947
Aaron Glenn,2022,567,0.0405643738977072,0.333333333333333,0.18342151675485,0.0317460317460317,0.294532627865961,0.0476190476190476,0.0687830687830688,0.0401119147636804,0.199490367403711,0.152689763234774,0.0154512515728899,0.329920988221122,0.166939474511695,0.0952292430120959,1.60593008993543,1.69070565893908,-0.084775569003648,1.60593008993543,0.0333146802562863
Joe Barry,2022,487,0.0410677618069815,0.149897330595483,0.080082135523614,0.0143737166324435,0.416837782340862,0.176591375770021,0.121149897330596,0.0463759998367331,0.204080584686578,0.149176285709245,0.0162915971998586,0.33394641384819,0.163546691658224,0.0888624515234315,1.60541432774157,1.69357196823364,-0.0881576404920679,1.60541432774157,0.0360467040644996
Lovie Smith,2022,531,0,0.2015065913371,0.325800376647834,0.00376647834274953,0.299435028248588,0.116760828625235,0.0527306967984934,0.0426157372249483,0.212107208218924,0.142481892223237,0.0159206194170617,0.333639184388344,0.161909214958457,0.0923101497597452,1.47619657527701,1.68721542741246,-0.211018852135455,1.47619657527701,0.0228238718420196
Gus Bradley,2022,522,0.00766283524904215,0.191570881226054,0.0957854406130268,0.00191570881226054,0.488505747126437,0.166666666666667,0.0478927203065134,0.0415103312901139,0.209667169631698,0.145571990122384,0.0148943546906085,0.338226340125918,0.158657762115836,0.0900212871972329,1.3846954570881,1.67928631840493,-0.294590861316829,1.3846954570881,0.0344270142110333
Mike Caldwell,2022,682,0.0175953079178886,0.211143695014663,0.174486803519062,0.0219941348973607,0.385630498533724,0.117302052785924,0.0718475073313783,0.0422251608005597,0.204321850935145,0.151153445644632,0.0143991180449278,0.336249613803962,0.159695267307919,0.0902886364152901,1.59607616887383,1.6824638247865,-0.0863876559126708,1.59607616887383,0.0258985872716338
Steve Spagnuolo,2022,750,0.056,0.176,0.262666666666667,0.0626666666666667,0.170666666666667,0.190666666666667,0.0813333333333333,0.0368302596633633,0.192915896631777,0.158753669796512,0.0166356894530666,0.330048827551305,0.164031249890725,0.100366520102757,1.81371319157768,1.69275753451771,0.120955657059964,1.81371319157768,0.0167708271328611
Raheem Morris,2022,552,0.0126811594202899,0.0851449275362319,0.0489130434782609,0.00181159420289855,0.586956521739131,0.134057971014493,0.130434782608696,0.039512117791489,0.211448299539937,0.144779459153221,0.0136425096490606,0.334044094730601,0.163359511262346,0.0903437283755604,1.27197634285525,1.67598508584891,-0.404008742993651,1.27197634285525,0.0384930160394683
Brandon Staley,2022,563,0.0373001776198934,0.246891651865009,0.0799289520426288,0.0319715808170515,0.349911190053286,0.0923623445825933,0.161634103019538,0.042880074936172,0.211223146568845,0.152566706653367,0.0150279837296461,0.332496261750191,0.156969865513585,0.0913654545009414,1.66205871410807,1.68707076379988,-0.0250120496918149,1.66205871410807,0.0276671942308527
Patrick Graham,2022,578,0.0449826989619377,0.314878892733564,0.169550173010381,0.0103806228373702,0.295847750865052,0.126297577854671,0.0380622837370242,0.0485345045882873,0.207224446590539,0.144530243755908,0.0164085404922123,0.326798342532482,0.164246226038146,0.0906078126962268,1.59772605188814,1.70091433349229,-0.103188281604148,1.59772605188814,0.0288497308195569
Josh Boyer,2022,670,0.102985074626866,0.3,0.158208955223881,0.026865671641791,0.373134328358209,0.0283582089552239,0.0104477611940299,0.047876735329072,0.209523979377057,0.144563380911696,0.0146483417064796,0.335457852705201,0.158361375015646,0.0912044571858567,1.50071082870112,1.68995175330529,-0.189240924604172,1.50071082870112,0.0281009871075619
Ed Donatell,2022,653,0.0122511485451761,0.140888208269525,0.0765696784073507,0.00459418070444104,0.347626339969372,0.151607963246554,0.26646248085758,0.0386889995985692,0.20200742295106,0.150648416663202,0.0163990127510686,0.337330284427173,0.161777184946694,0.0920894073438652,1.5572383700815,1.68309649503189,-0.125858124950393,1.5572383700815,0.0243730379903172
Bill Belichick,2022,616,0.0324675324675325,0.295454545454545,0.178571428571429,0.00974025974025974,0.357142857142857,0.0974025974025974,0.0292207792207792,0.0342035317221239,0.205715978696531,0.153093115392583,0.0170926587562025,0.336746312913715,0.163151846315663,0.0918597512093808,1.52205753959753,1.67798733589715,-0.155929796299615,1.52205753959753,0.03057190266718
Dennis Allen,2022,552,0.0217391304347826,0.248188405797101,0.184782608695652,0.0380434782608696,0.240942028985507,0.228260869565217,0.0380434782608696,0.0360591098458668,0.205435053489265,0.155432800953007,0.0159488921694835,0.332416270083437,0.164672124433243,0.0897708821875563,1.66995857108748,1.68000374249556,-0.0100451714080783,1.66995857108748,0.0241732164325423
Don Martindale,2022,639,0.0938967136150235,0.309859154929577,0.0359937402190923,0.0344287949921753,0.270735524256651,0.194053208137715,0.0610328638497653,0.0475609850186522,0.211827615850222,0.142863585945971,0.0155201448914296,0.329392818136488,0.167335680553308,0.0868054186617037,1.66339410862903,1.69245881063146,-0.0290647020024293,1.66339410862903,0.0261629278960009
Jeff Ulbrich,2022,580,0.00689655172413793,0.218965517241379,0.0482758620689655,0.00344827586206897,0.263793103448276,0.325862068965517,0.132758620689655,0.0384360588617334,0.213550549864384,0.149517001691756,0.0151350070945196,0.335052259960051,0.160120712620495,0.0883594869688185,1.51774333910461,1.67646877959069,-0.158725440486076,1.51774333910461,0.0256176154907548
Jonathan Gannon,2022,685,0.0291970802919708,0.226277372262774,0.0496350364963504,0.00437956204379562,0.354744525547445,0.265693430656934,0.0700729927007299,0.0425303063188836,0.190558508919538,0.161068216701086,0.0160189361265609,0.321654857988775,0.17147341130682,0.0984253534911214,1.51832624030628,1.70470580920684,-0.186379568900563,1.51832624030628,0.0271520082486655
