caller,seasons,n,actual,resid,epa
Brian Flores,3,1764,63.718820861678,16.4944126585376,-0.066935907540391
Steve Spagnuolo,4,2645,63.3270321361059,16.0734868827074,-0.0727300875696981
Jesse Minter,2,1160,57.5,10.3813228614885,-0.0872961120969004
Nick Rallis,3,1575,55.2380952380953,9.7911465991111,0.113567601567696
Jack Del Rio,2,953,54.8793284365163,8.56188624034022,-0.0176014198598151
Ryan Nielsen,2,1142,54.2031523642732,8.45332341415452,0.0947749340907147
Sean McDermott,3,1825,55.5068493150685,7.95568826835449,-0.0950915976950566
Anthony Weaver,2,1089,53.2598714416896,7.1173734778215,0.0236046247276641
Dennard Wilson,2,1009,51.5361744301288,7.05279587252052,0.0629982371953922
Mike Macdonald,4,2653,51.7904259329062,4.16076548799135,-0.120786216288322
Chris Shula,2,1347,50.2598366740906,3.03966192488503,-0.0295771028751091
Jeff Hafley,2,1219,50.2871205906481,2.54623308178831,-0.020070638163229
Steve Wilks,2,1158,48.4455958549223,1.96179415972741,-0.019473703348702
Dennis Allen,4,2054,48.1986368062317,1.17511682379211,-0.0801965707027516
Joe Woods,2,815,47.7300613496932,0.803109487872901,0.00462316973991967
Jeff Ulbrich,4,2210,46.1085972850679,0.00196849194046628,-0.1048106725216
DeMeco Ryans,3,2000,47.45,-0.128615377098307,-0.0995912591425582
Lou Anarumo,4,2412,47.0563847429519,-0.29586774866974,-0.0163078238603785
Patrick Graham,4,2247,45.1268357810414,-0.957142344489872,0.0230592771921957
Shane Bowen,4,2164,45.0092421441775,-1.10946890455628,0.0569169372051192
Todd Bowles,4,2578,45.3452288595811,-1.26437283618862,0.0147467416600426
Mike Caldwell,2,1309,45.2253628724217,-1.34582223443243,-0.0474873414416807
Vance Joseph,4,2537,45.4867954276705,-1.56125330436309,-0.0600763524349841
Brandon Staley,3,1596,44.1729323308271,-1.83166470518687,-0.033528407601194
Vic Fangio,3,1918,45.4640250260688,-1.9057034086572,-0.125069685165728
Clint Hurtt,2,1204,44.2691029900332,-2.37815254971237,0.0143764775286604
Dan Quinn,3,1451,43.8318401102688,-3.6157038604531,-0.0675495076092724
Matt Eberflus,3,1477,42.8571428571428,-3.63620313322054,0.0181562983031784
Joe Whitt Jr.,2,906,42.8256070640176,-4.0470808678642,0.107105730253603
Joe Barry,2,1113,42.6774483378257,-4.07104544803461,-0.0082819223651197
Don Martindale,2,1225,40.734693877551,-4.98941470895495,-0.0350855323839553
Aaron Glenn,3,1908,42.5576519916143,-5.42934114031447,0.0264375006408575
Zach Orr,2,1326,41.4781297134238,-5.4938199383461,0.023570304109995
Bill Belichick,2,1190,38.4873949579832,-7.17439729501222,-0.105612417175865
Ejiro Evero,4,2199,37.4261027739882,-7.6425760381327,0.0112853306407051
Raheem Morris,2,1200,38.0833333333334,-7.82880425701536,0.0295329871292536
Gus Bradley,3,1638,37.4236874236874,-8.48065549200708,-0.0103175384964751
Teryl Austin,4,2442,36.9369369369369,-9.72022456555558,-0.0157330060449415
Jim Schwartz,3,1635,35.4128440366973,-10.0689123283832,-0.155190233870293
