caller,seasons,n,actual,resid,epa
Vic Fangio,3,473,48.8372093023256,19.8704724599771,-0.108621051869735
Mike Macdonald,4,641,43.0577223088924,14.8380635742116,-0.111383281787639
Zach Orr,2,448,42.4107142857143,14.4298815451163,-0.0730798357191297
Dennis Allen,4,640,36.25,7.27964259596775,-0.094018334534485
Ryan Nielsen,2,397,34.2569269521411,4.60876871454026,0.131040575897664
Steve Spagnuolo,4,836,36.0047846889952,4.26704381552467,-0.17279675606255
Sean McDermott,3,447,32.8859060402685,3.05131862910935,-0.110762418949897
Jeff Ulbrich,4,573,30.1919720767888,1.07174987399245,-0.0759060303656218
Shane Bowen,4,647,30.9119010819165,-0.176871322106906,-0.0654214253156823
Vance Joseph,3,604,27.4834437086093,-1.59090347403031,-0.0186121581085274
Bill Belichick,2,431,28.0742459396752,-4.12641417174631,-0.256572389581917
Aaron Glenn,3,744,27.1505376344086,-4.37279295186282,-0.0470272343886153
Patrick Graham,3,507,23.8658777120316,-4.97940018684906,0.0419087608655292
Teryl Austin,4,849,23.2037691401649,-5.13101194944624,-0.0312211832867494
Dan Quinn,2,394,22.0812182741117,-8.9715950011375,-0.109197691782628
Jim Schwartz,3,628,16.4012738853503,-11.9481559581817,-0.180590036117537
Lou Anarumo,4,666,19.2192192192192,-12.7848168969289,-0.115143341294772
DeMeco Ryans,3,420,17.6190476190476,-13.3089752353373,-0.129500926995562
Todd Bowles,4,558,12.3655913978495,-14.1899787303474,-0.0459996189481468
Don Martindale,2,526,13.3079847908745,-15.4321403699456,-0.100002281520048
