caller,season,n,actual,expected,epa,resid
Dean Pees,2022,154,9.0909090909091,27.5344133183554,0.234830012424038,-18.4435042274463
Mike Macdonald,2022,141,31.2056737588653,29.6864004818894,-0.05856921925401,1.51927327697582
Leslie Frazier,2022,169,33.1360946745562,31.0009792116443,-0.0917240472058569,2.13511546291191
Alan Williams,2022,118,25.4237288135593,28.0225905731826,0.24117456919561,-2.59886175962323
Lou Anarumo,2022,178,24.1573033707865,33.3547785585181,-0.169232969538549,-9.19747518773159
Joe Woods,2022,123,43.9024390243902,31.0083696694394,-0.217313335860163,12.8940693549509
Dan Quinn,2022,169,21.8934911242604,30.5004934411077,-0.114795431538799,-8.60700231684735
Aaron Glenn,2022,230,31.7391304347826,33.1771568613856,-0.0241547369438668,-1.43802642660295
Joe Barry,2022,100,28,27.7631699927151,-0.00597986802458764,0.236830007284876
Lovie Smith,2022,109,12.8440366972477,27.7385902172382,0.189699370106426,-14.8945535199905
Gus Bradley,2022,105,43.8095238095238,33.1221699076039,-0.074751214399224,10.6873539019199
Mike Caldwell,2022,171,22.8070175438597,29.1500435542991,-0.0256768678538285,-6.34302601043941
Steve Spagnuolo,2022,221,28.5067873303167,31.8703168151875,-0.296458878701898,-3.36352948487075
Brandon Staley,2022,178,46.6292134831461,32.1113892108872,-0.0444865155169802,14.5178242722589
Patrick Graham,2022,214,16.8224299065421,29.885919963088,0.0360840998381097,-13.0634900565459
Josh Boyer,2022,288,13.5416666666667,29.8779120552354,-0.195212332117889,-16.3362453885687
Ed Donatell,2022,103,45.631067961165,28.7625514983552,-0.0385870783074389,16.8685164628098
Bill Belichick,2022,208,24.0384615384616,33.9904374335534,-0.424736074745082,-9.95197589509186
Dennis Allen,2022,170,40,31.393475306823,-0.0994942731717056,8.60652469317703
Don Martindale,2022,280,13.9285714285714,29.9143774887281,-0.0675606068955465,-15.9858060601566
Jeff Ulbrich,2022,133,24.0601503759399,28.8453476265409,0.0665644635831504,-4.78519725060105
Jonathan Gannon,2022,178,29.2134831460674,32.2963857814,-0.285902995909198,-3.08290263533258
Teryl Austin,2022,206,30.5825242718447,29.4073043391109,-0.135072442947082,1.1752199327338
Clint Hurtt,2022,105,20.952380952381,32.6013949158646,-0.0624270297232128,-11.6490139634836
DeMeco Ryans,2022,127,16.5354330708662,30.0789472830343,-0.061794342018488,-13.5435142121681
Todd Bowles,2022,126,11.1111111111111,26.1567126752602,-0.284656162477202,-15.0456015641491
Shane Bowen,2022,175,37.7142857142857,32.3657381577151,-0.0591267465693605,5.34854755657059
Jack Del Rio,2022,133,30.0751879699248,28.9787692010851,-0.0866714725200843,1.09641876883971
Ryan Nielsen,2023,189,31.2169312169312,31.765353717107,-0.0168180630478279,-0.548422500175771
Mike Macdonald,2023,188,42.5531914893617,29.4634056574804,-0.248532162543307,13.0897858318814
Sean McDermott,2023,137,34.3065693430657,29.8960611659245,-0.13675525218901,4.4105081771412
Lou Anarumo,2023,151,9.93377483443709,30.8892949601475,-0.0847714991364256,-20.9555201257104
Jim Schwartz,2023,209,19.6172248803828,29.7247006544514,-0.27714365774222,-10.1074757740686
