caller,seasons,n,actual,resid,epa
Raheem Morris,2,1034,50.2901353965184,18.3287579342867,0.0167670150087494
Ejiro Evero,4,1843,45.9034183396636,14.4047630517236,0.0197915329708558
Chris Shula,2,1075,44.7441860465116,13.2791146206301,-0.00751556648158038
Zach Orr,2,878,43.0523917995444,10.5484570272623,0.0728860929977482
Anthony Weaver,2,843,41.9928825622776,9.7464960965539,0.0509029428009495
Sean McDermott,3,1378,40.4934687953556,8.37806868860267,-0.0900082471138419
Dennard Wilson,2,784,38.1377551020408,6.06334614092295,0.0314056842602144
Patrick Graham,4,1654,37.2430471584039,5.74909468038411,0.0168344850968367
Nick Rallis,3,1268,37.0662460567823,5.14697702454656,0.124106633591492
Vic Fangio,3,1445,37.7854671280277,4.81062390657857,-0.130453909075075
Jeff Hafley,2,999,34.934934934935,3.5322716360813,-0.00564079612747096
Mike Macdonald,4,2012,36.1332007952286,3.33445016590963,-0.12378188279674
Todd Bowles,4,2020,35.4455445544555,3.15500299234202,0.0315271719666612
Aaron Glenn,3,1164,34.7079037800687,2.91189939244507,0.0733943415875305
Teryl Austin,4,1593,34.0238543628374,1.75951144003822,-0.00747847843772576
Shane Bowen,4,1517,33.3553065260382,1.23188227031996,0.109094208497775
Bill Belichick,2,759,32.9380764163373,0.42998100457929,-0.0198894288925862
Jesse Minter,2,948,31.8565400843882,0.0170133049100785,-0.0554208980425253
Brian Flores,3,1350,31.5555555555556,-0.183452856209539,-0.0620615340631317
Matt Eberflus,3,1192,31.3758389261745,-0.567185024937122,-0.0201005964468064
Brandon Staley,3,1230,31.9512195121951,-0.764776082421716,-0.0172876153470629
Dan Quinn,2,823,31.8347509113001,-1.291087913448,-0.103057723530859
Joe Barry,2,875,29.2571428571429,-2.75721865126066,-0.00618555961416251
Mike Caldwell,2,1045,29.2822966507177,-3.30330552310465,-0.0569223236123271
Vance Joseph,4,1836,28.1045751633987,-3.60396653332611,-0.0805721032881628
Lou Anarumo,4,1746,27.319587628866,-4.08988304581292,0.0213923219651119
Steve Wilks,2,855,27.2514619883041,-4.76601695108137,-0.0405783224118361
Dennis Allen,4,1414,26.7326732673267,-5.64459180656973,-0.0739406097039469
Steve Spagnuolo,4,1809,26.0917634051962,-5.9497825438934,-0.0264859002507242
Jim Schwartz,3,1007,26.5143992055611,-6.49696877216985,-0.139350039420174
Jeff Ulbrich,4,1637,25.6566890653635,-6.56430352804641,-0.114928180130259
Ryan Nielsen,2,745,24.5637583892617,-8.02145693226149,0.0754494846982868
Gus Bradley,3,1421,23.7156931738212,-8.45485326796666,0.0041442873371917
DeMeco Ryans,3,1580,23.8607594936709,-9.39139050396183,-0.0916405879411276
Clint Hurtt,2,1009,20.5153617443013,-12.0054333242777,0.0198737699538472
