caller,season,n,actual,expected,epa,resid
Vance Joseph,2022,500,34.2,31.9980474740267,0.0100023517310622,2.20195252597332
Dean Pees,2022,400,32.75,32.6435817908496,0.0650362876430153,0.106418209150426
Mike Macdonald,2022,482,36.3070539419087,33.3859177020328,-0.0485257518195636,2.92113623987589
Leslie Frazier,2022,489,43.558282208589,33.0820087351073,-0.0342859386300749,10.4762734734817
Alan Williams,2022,364,26.9230769230769,31.7260996776295,0.0819981356284449,-4.8030227545526
Lou Anarumo,2022,473,29.3868921775899,32.4542994400286,-0.0510485676564201,-3.06740726243869
Joe Woods,2022,399,31.077694235589,32.2110981271978,0.0135798444387911,-1.13340389160885
Dan Quinn,2022,491,34.2158859470468,33.5359626094945,-0.104695304423996,0.67992333755231
Ejiro Evero,2022,522,51.7241379310345,32.6508062495582,-0.0954036511395171,19.0733316814762
Aaron Glenn,2022,337,31.4540059347181,31.5765662323297,0.0928593776257878,-0.122560297611557
Joe Barry,2022,387,27.1317829457364,32.0483580674466,-0.0760293935235466,-4.91657512171018
Lovie Smith,2022,422,24.4075829383886,32.4272134363369,-0.0731228747806773,-8.01963049794826
Gus Bradley,2022,417,27.3381294964029,32.3525409207499,-0.0296008967720777,-5.01441142434697
Mike Caldwell,2022,511,29.7455968688845,32.1980467324971,0.00816232389032295,-2.45244986361256
Steve Spagnuolo,2022,529,16.8241965973535,33.0046277810135,-0.00818009609761435,-16.18043118366
Raheem Morris,2022,497,52.1126760563381,31.3313526676694,0.0332242531713167,20.7813233886686
Brandon Staley,2022,385,34.025974025974,33.4575103571663,-0.0654226104825637,0.568463668807752
Patrick Graham,2022,364,35.989010989011,31.7511883165155,0.0977487124420784,4.23782267249547
Josh Boyer,2022,382,26.9633507853403,32.9570426113162,0.0300079470412582,-5.99369182597591
Ed Donatell,2022,550,27.6363636363636,32.5773881877011,0.0355770541829141,-4.94102455133747
Bill Belichick,2022,408,34.8039215686275,32.0425771304644,-0.0438816337754912,2.76134443816312
Dennis Allen,2022,382,20.9424083769634,32.475993712067,-0.13041282316465,-11.5335853351036
Don Martindale,2022,359,19.4986072423398,32.6694813902,0.0782951638932677,-13.1708741478601
Jeff Ulbrich,2022,447,17.0022371364653,32.4844819153982,-0.211998621422706,-15.4822447789329
Jonathan Gannon,2022,507,28.0078895463511,32.9699751511363,-0.156147251217911,-4.96208560478523
Teryl Austin,2022,353,35.6940509915014,33.0449963764158,0.0692851891946945,2.64905461508559
Clint Hurtt,2022,488,18.0327868852459,32.8065680843763,0.0245847953979658,-14.7737811991304
DeMeco Ryans,2022,575,22.7826086956522,34.1213262443957,-0.158843966113485,-11.3387175487435
Todd Bowles,2022,484,35.3305785123967,33.3024886429064,0.0505349472557648,2.02808986949034
Shane Bowen,2022,486,36.2139917695473,32.7088129265931,0.064466440658288,3.50517884295417
Jack Del Rio,2022,383,31.0704960835509,33.2375956480404,-0.110408957109011,-2.16709956448942
Al Holcomb,2022,336,20.2380952380952,32.8104169573635,-0.0370235875182388,-12.5723217192683
Nick Rallis,2023,415,30.8433734939759,32.3296363992863,0.197856935894632,-1.48626290531041
Ryan Nielsen,2023,370,21.0810810810811,33.4387653723762,-0.0258685835781886,-12.3576842912951
Mike Macdonald,2023,541,36.4140480591497,33.6519816831829,-0.217553927761101,2.76206637596685
Sean McDermott,2023,494,39.4736842105263,32.9341653387556,-0.169617000348896,6.53951887177069
Ejiro Evero,2023,417,49.1606714628298,32.4190590593169,-0.0470370083189696,16.7416124035129
Lou Anarumo,2023,414,28.2608695652174,31.9082699554122,0.0215532286947474,-3.6474003901948
Jim Schwartz,2023,378,26.984126984127,34.3727111087117,-0.284842941392627,-7.38858412458468
Dan Quinn,2023,332,28.3132530120482,32.5193003358611,-0.100635879499142,-4.20604732381293
Vance Joseph,2023,430,31.1627906976744,31.8748647494372,0.0718353618802713,-0.71207405176273
Aaron Glenn,2023,496,35.2822580645161,32.3153376308901,0.0192956055031953,2.96692043362607
Joe Barry,2023,488,30.9426229508197,31.9874011224411,0.0492028906377466,-1.04477817162138
DeMeco Ryans,2023,538,22.6765799256506,32.9215579773524,0.00262024171207227,-10.2449780517019
Gus Bradley,2023,531,21.2806026365348,33.0900691547861,-0.052901626085747,-11.8094665182512
Mike Caldwell,2023,534,28.8389513108614,32.956465152319,-0.119203699780593,-4.11751384145757
Steve Spagnuolo,2023,480,25.625,32.4732611933723,-0.163066624096246,-6.8482611933723
Raheem Morris,2023,537,48.6033519553072,32.5444730355975,0.00153564188622438,16.0588789197097
Brandon Staley,2023,422,27.2511848341232,32.4730888803565,0.0575162320181513,-5.22190404623323
Patrick Graham,2023,467,33.4047109207709,32.2279436733151,-0.100213510004257,1.1767672474558
Vic Fangio,2023,478,39.1213389121339,33.2929942491912,-0.103531264571403,5.82834466294264
Brian Flores,2023,477,31.8658280922432,32.3328060877023,-0.0375213045197334,-0.466977995459143
Bill Belichick,2023,351,30.7692307692308,33.0492106789028,0.00799894601403838,-2.279979909672
Dennis Allen,2023,392,29.3367346938776,33.5603049310038,-0.0430776507032997,-4.22357023712627
Don Martindale,2023,340,27.0588235294117,33.3314023868126,-0.0543721792014206,-6.27257885740087
Jeff Ulbrich,2023,381,21.2598425196851,33.715927000512,-0.231003360915684,-12.4560844808269
Sean Desai,2023,396,27.020202020202,31.5413837292881,-0.00573635449388427,-4.52118170908605
Teryl Austin,2023,414,37.6811594202899,33.047592409567,-0.0908116094817537,4.63356701072288
Clint Hurtt,2023,521,22.8406909788867,32.2531228388111,0.0154611395954405,-9.41243185992435
Steve Wilks,2023,595,28.4033613445378,32.4107945666594,-0.113423833743661,-4.00743322212159
