caller,seasons,n,gap,resid_L,resid_H,act_L,act_H,epa,resid
Brian Schottenheimer,1,762,6.31525953548385,2.62091967921991,-3.69433985626393,70.1465201465202,34.2592592592593,0.104563779607073,6.31525953548385
Matt LaFleur,4,2894,8.16016922428142,3.67322157011379,-4.35453775676314,70.1928374655647,35.032437442076,0.0214331743767442,8.16016922428142
Sean McVay,4,3040,9.65355406148482,6.70584899101898,-1.83707531387394,72.5866916588566,35.2097130242826,0.0156299223342151,9.65355406148482
Kevin O'Connell,4,2957,11.0427433729716,9.57471006258432,-1.62000713057101,76.9044153323629,36.2723214285714,-0.0395708008580183,11.0427433729716
Shane Steichen,4,3080,11.1957320714467,2.99936298183395,-8.12668182241249,68.8651794374394,30.6483300589391,-0.0173839309868513,11.1957320714467
Brian Callahan,1,758,11.4347512046812,-0.510313722395117,-11.9450649270764,71.7267552182163,32.9004329004329,-0.137401236889584,11.4347512046812
Andy Reid,4,3704,12.346319008056,11.0366687205685,-1.44308600349727,72.3110465116279,33.9285714285714,0.0361694240447015,12.346319008056
Mike LaFleur,1,765,12.4866932014452,4.48338583217819,-8.00330736926699,77.0462633451957,35.4679802955665,-0.167555170503804,12.4866932014452
Drew Petzing,3,2349,12.522237631609,3.68997134022453,-9.1559971488752,73.9213197969543,34.1526520051746,-0.0452138582681994,12.522237631609
Liam Coen,2,1594,12.8487015017804,6.24651649778477,-6.54500641367766,70.9593777009507,28.1464530892449,0.0398337836598614,12.8487015017804
Ken Dorsey,3,1909,12.853971621887,8.94506207735913,-3.82800131462791,73.4035087719298,32.2314049586777,-0.000936389983192273,12.853971621887
Mike McCarthy,2,1745,12.9562905604938,10.1480728066491,-2.74492601767696,74.4274809160305,35.4022988505747,-0.035776247356866,12.9562905604938
Dave Canales,3,2303,13.0035671103802,4.76521396561398,-9.11467446152762,73.9641311069883,31.4868804664723,-0.0656114856925233,13.0035671103802
Klint Kubiak,3,1882,13.2437604037955,4.35369672152516,-8.3872163612373,75.1191611058151,31.812725090036,-0.078613625754732,13.2437604037955
Kliff Kingsbury,3,2488,13.3792112873946,2.00574014046103,-12.6695826346754,69.2781197537773,28.5306704707561,-0.000135702516178497,13.3792112873946
Shane Waldron,3,1953,13.5623360016665,6.36911180313658,-6.94933831691742,74.9445676274945,33.3333333333333,-0.0617604592151125,13.5623360016665
Brian Johnson,1,889,13.658784561519,4.21616222014489,-9.44262234137413,68.6544342507645,25.1063829787234,0.0663718925401382,13.658784561519
Alex Van Pelt,1,750,13.884525586543,1.09512019245066,-12.7894053940923,71.3235294117647,29.6116504854369,-0.126315293356776,13.884525586543
Kevin Stefanski,3,2106,14.8338833299308,3.62387931417594,-11.4599717973725,73.6161035226456,28.951048951049,-0.13189555664882,14.8338833299308
Kevin Patullo,1,754,15.3861410283,4.20053603171285,-11.1856049965871,73.773987206823,24.9122807017544,-0.0380690524191534,15.3861410283
Ben Johnson,4,3326,15.4435178123788,7.43217345097584,-8.10430870454007,74.6239689471131,31.6205533596838,0.0482542036138743,15.4435178123788
Bo Hardegree,2,947,15.4436806399334,4.5007621659372,-10.9395856050946,76.390977443609,31.9148936170213,-0.135885549390073,15.4436806399334
Joe Lombardi,1,861,15.676969205697,13.4689069518647,-2.20806225383235,80.9135399673736,37.0967741935484,-0.0173897734869156,15.676969205697
Nathaniel Hackett,2,1182,15.7796383962281,7.32812743853121,-8.34880762408117,79.5294117647059,34.9397590361446,-0.272074852855175,15.7796383962281
Todd Downing,1,719,15.9642306967685,-0.0838802966672159,-16.0481109934358,74.6192893401015,27.0769230769231,-0.123290497373779,15.9642306967685
Kellen Moore,4,3359,15.9783659497141,5.64831066979182,-10.9206416826629,72.8440366972477,26.7175572519084,-0.000819840739732276,15.9783659497141
Brian Daboll,1,704,16.0624271479733,1.33054873529282,-14.7318784126805,72.7099236641222,28.3333333333333,-0.179967713314744,16.0624271479733
Mike McDaniel,4,2778,16.6914823656306,9.09283454318917,-8.11913340855766,77.3917421953676,31.0606060606061,-0.0408123523396519,16.6914823656306
Todd Monken,3,2342,16.7697322682101,3.26708569087917,-13.8014465993935,70.6349206349207,24.4916820702403,0.0630381225232896,16.7697322682101
Luke Getsy,2,1428,16.9017590719745,-2.39233501228872,-19.4161767883192,68.8915375446961,25.8064516129032,-0.097591058625018,16.9017590719745
Bobby Slowik,2,1602,16.9230364197203,7.85321773868837,-9.00577608160464,76.5201122544434,31.1444652908068,-0.0508060660623082,16.9230364197203
Doug Pederson,1,877,17.1171728596964,8.99867924371205,-8.11849361598434,76.9726247987118,28.125,0.0263654279821002,17.1171728596964
Scott Turner,1,831,17.7031362733822,1.93914182179775,-15.7639944515844,72.4689165186501,25.7462686567164,-0.136854209379595,17.7031362733822
Arthur Smith,4,2965,17.8055551830834,4.13452808368622,-14.253489411102,75.0441436138905,29.1469194312796,-0.0827389311414482,17.8055551830834
Nick Caley,1,851,17.9765846545881,9.00229804119966,-8.97428661338845,76.735459662289,29.874213836478,-0.0854945233445747,17.9765846545881
Mike Kafka,3,2359,18.1762817565976,1.79909808218907,-16.3404896157203,70.4653937947494,27.086383601757,-0.0693982631171809,18.1762817565976
Eric Bieniemy,1,750,18.1813225395473,12.4184048382968,-5.76291770125048,78.1990521327014,34.1880341880342,-0.135778697195773,18.1813225395473
Greg Roman,3,2471,18.8101426909696,6.84143096158901,-12.4066687679162,75.1333333333334,25.643666323378,-0.0450682144808817,18.8101426909696
Kyle Shanahan,4,3054,18.8920802682841,9.58315536804046,-9.34024528608444,78.8849347568209,27.4122807017544,0.0445862508851751,18.8920802682841
Press Taylor,2,1531,18.9403081618277,8.06431555390746,-11.0605175154434,75.4664179104478,27.8867102396514,-0.0844001280428849,18.9403081618277
Joe Brady,3,2159,19.1738842749489,6.52163295350113,-12.4440269954344,73.2786885245902,24.7071352502662,0.124964685783423,19.1738842749489
Josh McDaniels,3,1982,19.2353967543517,8.83881791882961,-10.1973418045479,77.5752773375594,27.7777777777778,0.00195542785670776,19.2353967543517
Sean Payton,3,2399,20.0217531551451,8.56044790214686,-11.4361610699312,76.2026940346376,28.452380952381,-0.0613798014400355,20.0217531551451
Byron Leftwich,1,939,20.9286342987499,16.0868643122351,-4.8417699865148,82.9059829059829,34.5991561181435,-0.0766455035843154,20.9286342987499
Bill O'Brien,1,732,21.2161148260962,6.1835768509082,-15.032537975188,74.3727598566308,27.0114942528736,-0.268922894437991,21.2161148260962
Zac Taylor,4,3224,21.5296927607946,14.2646064679889,-7.10637621069577,76.7741935483871,29.3010752688172,0.012143574217271,21.5296927607946
Ryan Grubb,1,765,22.0139627650872,10.5535173151446,-11.4604454499426,76.6447368421053,27.3885350318471,-0.031766625986818,22.0139627650872
Josh Grizzard,1,754,22.3361749667265,5.91358340687764,-16.4225915598488,73.8831615120275,22.093023255814,-0.0606423688802955,22.3361749667265
Matt Canada,2,1183,22.8275730902752,8.15890539751387,-15.2093191523678,75.3357753357754,23.9010989010989,-0.0284160297255356,22.8275730902752
Pete Carmichael,2,1548,25.9212602952771,11.1432151562571,-14.9543180653769,79.313824419778,25.1346499102334,-0.0480531527232426,25.9212602952771
Zac Robinson,2,1472,29.7108145487132,7.79590554767561,-21.0921147520277,74.1265344664778,18.4019370460048,-0.0397233258121086,29.7108145487132
