caller,season,n_H,n_L,resid_H,resid_L,act_H,act_L,epa_H,epa_L,n,resid,epa
Alex Van Pelt,2024,206,544,-12.7894053940923,1.09512019245066,29.6116504854369,71.3235294117647,-0.131533724228734,-0.124339196372174,750,13.884525586543,-0.126315293356776
Andy Reid,2022,242,710,4.78162986287955,15.8356690753094,38.4297520661157,73.943661971831,0.0270473908302027,0.204134878548334,952,11.0540392124298,0.159118941544355
Andy Reid,2023,238,786,-1.15149413008524,9.24877084639993,35.2941176470588,71.1195928753181,-0.158751413875705,-0.0375294285724489,1024,10.4002649764852,-0.0657040696878542
Andy Reid,2024,266,670,-5.18363411923437,9.85853638444372,28.5714285714286,71.3432835820895,-0.0047440045282133,0.0807683981843849,936,15.0421705036781,0.0564667965587961
Andy Reid,2025,206,586,-4.26247584208557,8.96729353700887,33.9805825242718,73.0375426621161,-0.0484527551356555,0.0117741086188096,792,13.2297693790944,-0.00389095947894266
Arthur Smith,2022,354,302,-18.5054507548526,-0.763378620443733,28.8135593220339,69.2052980132451,0.0175402152673003,-0.106920325585845,656,17.7420721344089,-0.0397571678693611
Arthur Smith,2023,281,480,-14.2889310536223,1.07108189258727,30.9608540925267,71.25,-0.0574751620270392,-0.21137292686229,761,15.3600129462096,-0.154546025523649
Arthur Smith,2024,329,455,-14.2423647962579,2.73537664950553,26.4437689969605,73.4065934065934,-0.237788706583376,0.0290592051612644,784,16.9777414457634,-0.0829216149458614
Arthur Smith,2025,302,462,-9.24854431523393,11.896943449329,30.794701986755,84.4155844155844,-0.058001505581058,-0.0413500053800025,764,21.1454877645629,-0.0479321428940323
Ben Johnson,2022,299,487,-6.17288787254322,6.78326282841471,34.4481605351171,73.1006160164271,-0.00822180121152806,0.0498913842687494,786,12.9561507009579,0.0277847144740892
Ben Johnson,2023,316,594,-5.7390712248751,9.3656283712347,31.3291139240506,75.9259259259259,0.0439898970233321,0.0120968080638446,910,15.1046995961098,0.0231717708234029
Ben Johnson,2024,324,461,-9.07913082865654,9.94272461714557,28.7037037037037,76.1388286334056,0.140831375954512,0.117843037758047,785,19.0218554458021,0.127331218109199
Ben Johnson,2025,326,519,-11.1996077969556,3.59822964162954,32.2085889570552,73.2177263969171,-0.00651373560797512,0.038028623865691,845,14.7978374385851,0.0208442342936021
Ben McAdoo,2022,284,365,-15.2125623005009,-4.49461538497716,27.4647887323944,66.027397260274,-0.00404547430365017,-0.0847388094163514,649,10.7179469155238,-0.0494277043747379
Bill O'Brien,2023,174,558,-15.032537975188,6.1835768509082,27.0114942528736,74.3727598566308,-0.214704830006793,-0.285829602701482,732,21.2161148260962,-0.268922894437991
Bo Hardegree,2023,107,252,-5.57676347616677,6.16891610598754,31.7757009345794,74.2063492063492,-0.057866841698257,-0.0612088568981679,359,11.7456795821543,-0.0602127688023727
Bo Hardegree,2025,175,413,-14.2185682782105,3.48290552455055,32,77.7239709443099,-0.281135848611593,-0.140117331150892,588,17.7014738027611,-0.182087128014196
Bobby Slowik,2023,286,526,-8.24319040923789,8.37213624651213,31.4685314685315,78.8973384030418,-0.0677749478775956,-0.049914617233063,812,16.61532665575,-0.0562053248246102
Bobby Slowik,2024,247,543,-9.8887700180293,7.35054529832872,30.7692307692308,74.2173112338858,0.0440484459025535,-0.085879484736952,790,17.239315316358,-0.0452564481952332
Brian Callahan,2024,231,527,-11.9450649270764,-0.510313722395117,32.9004329004329,71.7267552182163,-0.0368389160215081,-0.181480736169519,758,11.4347512046812,-0.137401236889584
Brian Daboll,2024,180,524,-14.7318784126805,1.33054873529282,28.3333333333333,72.7099236641222,-0.31080445309894,-0.135023795068264,704,16.0624271479733,-0.179967713314744
Brian Johnson,2023,235,654,-9.44262234137413,4.21616222014489,25.1063829787234,68.6544342507645,0.0678338982957474,0.0658465540805539,889,13.658784561519,0.0663718925401382
Brian Schottenheimer,2025,216,546,-3.69433985626393,2.62091967921991,34.2592592592593,70.1465201465202,-0.0512390504073764,0.166200064008394,762,6.31525953548385,0.104563779607073
Byron Leftwich,2022,237,702,-4.8417699865148,16.0868643122351,34.5991561181435,82.9059829059829,-0.0980495704408685,-0.0694193442609491,939,20.9286342987499,-0.0766455035843154
Chip Kelly,2025,127,278,-3.93156612834592,11.317502707243,40.1574803149606,80.2158273381295,-0.35225600107595,-0.102258445226031,405,15.2490688355889,-0.18065274051724
Dan Campbell,2025,131,249,-9.02172189831507,10.5351044171786,40.4580152671756,78.714859437751,-0.0458343476341424,0.118408530479274,380,19.5568263154936,0.0617879593401754
Dave Canales,2023,205,643,-1.86404319707214,3.57096388379857,32.6829268292683,70.9175738724728,-0.13427490906381,-0.0277628594629967,848,5.43500708087071,-0.053511645038665
Dave Canales,2024,212,491,-7.78111439409122,5.75069137175555,34.4339622641509,76.7820773930754,-0.0125331139293031,-0.0619946618065566,703,13.5318057658468,-0.0470788038407276
Dave Canales,2025,269,483,-15.6912326158395,5.35327482729471,28.2527881040892,75.1552795031056,-0.140390848325476,-0.072181861816788,752,21.0445074431342,-0.0965810870439649
Doug Pederson,2022,256,621,-8.11849361598434,8.99867924371205,28.125,76.9726247987118,0.00286175102519337,0.03605454440878,877,17.1171728596964,0.0263654279821002
