caller,seasons,n,gap,resid_L,resid_H,epa,resid
Brian Schottenheimer,1,762,-0.442087890296117,0.484661599655289,0.926749489951406,0.104563779607073,-0.442087890296117
Kevin O'Connell,4,2957,5.7369391648486,7.46798300333881,1.56961874443889,-0.0395708008580183,5.7369391648486
Matt LaFleur,4,2894,5.88173397057236,1.98095217593446,-3.79865311383528,0.0214331743767442,5.88173397057236
Shane Steichen,4,3080,7.06394476747595,0.863463732944196,-6.09649352204194,-0.0173839309868513,7.06394476747595
Brian Callahan,1,758,7.30282783561732,-2.29734435140293,-9.60017218702025,-0.137401236889584,7.30282783561732
Mike McCarthy,2,1745,7.38329466154055,7.50373480315425,0.17974878126092,-0.035776247356866,7.38329466154055
Dave Canales,3,2303,7.78062027364186,2.84199073827776,-5.74472168713005,-0.0656114856925233,7.78062027364186
Drew Petzing,3,2349,7.99449830899656,2.4269490100935,-5.83179206617495,-0.0452138582681994,7.99449830899656
Sean McVay,4,3040,8.04361891058319,4.49897584268838,-1.78615840842689,0.0156299223342151,8.04361891058319
Klint Kubiak,3,1882,8.38571290075836,4.03810139493333,-4.1199925058775,-0.078613625754732,8.38571290075836
Andy Reid,4,3704,8.56077986782889,10.1195244508427,1.48822831585729,0.0361694240447015,8.56077986782889
Nathaniel Hackett,2,1182,9.29778408474225,5.79808764597948,-3.30841380468827,-0.272074852855175,9.29778408474225
Liam Coen,2,1594,9.50526208718061,4.43015774275683,-5.10054124024796,0.0398337836598614,9.50526208718061
Shane Waldron,3,1953,9.68365442487264,4.62552068943635,-4.76456313952804,-0.0617604592151125,9.68365442487264
Kliff Kingsbury,3,2488,9.77555717727976,0.595325731037046,-10.4915650580052,-0.000135702516178497,9.77555717727976
Brian Johnson,1,889,10.1613316753703,1.74693585763647,-8.41439581773382,0.0663718925401382,10.1613316753703
Ken Dorsey,3,1909,10.2449137671603,7.25879166471329,-2.9206761921956,-0.000936389983192273,10.2449137671603
Mike LaFleur,1,765,10.7049919744819,3.14837980259778,-7.55661217188417,-0.167555170503804,10.7049919744819
Joe Lombardi,1,861,10.953359051546,11.841773960077,0.88841490853096,-0.0173897734869156,10.953359051546
Todd Monken,3,2342,11.4267158451694,3.78839724564127,-7.89767575795399,0.0630381225232896,11.4267158451694
Kevin Patullo,1,754,11.4504972073785,2.6548216274298,-8.79567557994865,-0.0380690524191534,11.4504972073785
Bobby Slowik,2,1602,11.4744109885642,5.92592154308052,-5.39269169703419,-0.0508060660623082,11.4744109885642
Eric Bieniemy,1,750,11.5976077932449,9.93536259467005,-1.66224519857485,-0.135778697195773,11.5976077932449
Ben Johnson,4,3326,11.6352635105969,5.79721928130852,-5.89869449487539,0.0482542036138743,11.6352635105969
Kevin Stefanski,3,2106,11.7832394979822,2.39050283567412,-9.5915870431003,-0.13189555664882,11.7832394979822
Todd Downing,1,719,11.8903742096213,-0.892341163406518,-12.7827153730278,-0.123290497373779,11.8903742096213
Kellen Moore,4,3359,11.9411121900651,3.52109124627683,-8.93624245964837,-0.000819840739732276,11.9411121900651
Greg Roman,3,2471,11.9707815061286,7.17871296604475,-4.7377966302634,-0.0450682144808817,11.9707815061286
Mike McDaniel,4,2778,11.976917891766,9.52190964070993,-2.8103860931511,-0.0408123523396519,11.976917891766
Brian Daboll,1,704,12.028314750294,-0.455485156360458,-12.4837999066545,-0.179967713314744,12.028314750294
Alex Van Pelt,1,750,12.1319432642634,0.0234298791517484,-12.1085133851117,-0.126315293356776,12.1319432642634
Bo Hardegree,2,947,12.3651953786612,3.00671121903828,-9.35550384101266,-0.135885549390073,12.3651953786612
Luke Getsy,2,1428,12.3668608460675,-1.78509034367369,-14.2314102678561,-0.097591058625018,12.3668608460675
Kyle Shanahan,4,3054,13.6520433043132,9.12984016562413,-4.5005259057609,0.0445862508851751,13.6520433043132
Josh McDaniels,3,1982,13.7090573810943,7.57657036763835,-5.92200040261053,0.00195542785670776,13.7090573810943
Doug Pederson,1,877,13.7138606172419,7.47955138172697,-6.23430923551496,0.0263654279821002,13.7138606172419
Nick Caley,1,851,13.807927929075,6.87017564366505,-6.93775228540994,-0.0854945233445747,13.807927929075
Scott Turner,1,831,13.8275994875318,0.169896587173668,-13.6577029003581,-0.136854209379595,13.8275994875318
Sean Payton,3,2399,13.9091179658419,6.64521652375987,-7.23957900035506,-0.0613798014400355,13.9091179658419
Byron Leftwich,1,939,14.1462951839966,14.3571574060496,0.210862222052971,-0.0766455035843154,14.1462951839966
Press Taylor,2,1531,14.5282954152251,6.42533945232464,-8.28216905829402,-0.0844001280428849,14.5282954152251
Mike Kafka,3,2359,14.6442748352416,0.290639064583685,-14.2165739098114,-0.0693982631171809,14.6442748352416
Joe Brady,3,2159,14.7389913925757,4.43215728416794,-9.78415252876898,0.124964685783423,14.7389913925757
Arthur Smith,4,2965,15.2340260698156,6.42566283383111,-9.19982631084632,-0.0827389311414482,15.2340260698156
Josh Grizzard,1,754,17.9324480130487,4.07182778074976,-13.860620232299,-0.0606423688802955,17.9324480130487
Bill O'Brien,1,732,17.9853734645604,5.59502394609553,-12.3903495184649,-0.268922894437991,17.9853734645604
Zac Taylor,4,3224,18.1043542951634,12.2292391829673,-5.70904370272151,0.012143574217271,18.1043542951634
Ryan Grubb,1,765,18.5533966567989,8.41488795796113,-10.1385086988378,-0.031766625986818,18.5533966567989
Matt Canada,2,1183,19.7647501074339,6.53407084818143,-13.7233980939017,-0.0284160297255356,19.7647501074339
Pete Carmichael,2,1548,21.5837326687651,10.0106154392754,-11.7175165093145,-0.0480531527232426,21.5837326687651
Zac Robinson,2,1472,26.7328046618026,6.57962093075229,-18.78575199773,-0.0397233258121086,26.7328046618026
