caller,seasons,n,actual,resid,epa
Josh McDaniels,2,86,56.9767441860465,11.6654275959834,-0.205220494376019
Mike McCarthy,2,213,54.4600938967136,10.168394844262,-0.241962730792732
Ben Johnson,4,203,53.6945812807882,9.02155281131711,-0.231146582292182
Mike Kafka,3,150,66.6666666666667,7.39733741432428,-0.0831689941634734
Bobby Slowik,2,82,60.9756097560976,5.59819700968702,-0.17711640031236
Kevin O'Connell,3,112,56.25,4.24331514846666,-0.2243124077213
Matt LaFleur,3,96,32.2916666666667,4.23440729015662,-0.0676588277565316
Mike McDaniel,3,189,56.6137566137566,2.81400399420548,-0.157292084669862
Klint Kubiak,3,151,45.6953642384106,2.12405769166765,-0.283256785216316
Luke Getsy,3,111,65.7657657657658,1.59251115007981,0.0326361127768283
Drew Petzing,3,199,71.8592964824121,1.54651186929725,-0.0101019126262478
Ken Dorsey,3,98,46.9387755102041,1.54281040482527,-0.165979576392137
Tanner Engstrand,1,109,73.394495412844,0.53963789699274,-0.0593479482986785
Press Taylor,2,85,56.4705882352941,-0.304401764536604,-0.37645457724438
Zac Taylor,3,124,45.1612903225807,-2.81073367110484,-0.198455854919889
Liam Coen,2,117,29.9145299145299,-3.39736263068695,-0.188818667179499
Kellen Moore,4,170,34.7058823529412,-4.4433998206959,-0.264816693274085
Sean Payton,2,106,36.7924528301887,-5.00010179953193,-0.236678425978236
Dave Canales,2,118,60.1694915254237,-5.33680664138647,-0.167986195104323
Kyle Shanahan,3,158,25.9493670886076,-6.67649587156558,-0.463286383712629
Todd Monken,3,138,21.7391304347826,-7.02997770268416,-0.167141717588664
Joe Brady,2,114,21.9298245614035,-7.21125974842723,-0.107669415998093
Kevin Stefanski,4,152,51.3157894736842,-9.86125996262815,-0.171119083405325
Kliff Kingsbury,3,162,49.3827160493827,-13.9543197209728,-0.0478927331436196
Zac Robinson,2,89,50.561797752809,-14.3192034308914,-0.303451059443688
