caller,seasons,n,actual,resid,epa
Kevin O'Connell,4,413,47.4576271186441,13.6412556285431,-0.176863249968602
Bobby Slowik,2,205,45.8536585365854,9.83190850332015,-0.135327160158535
Zac Taylor,4,464,43.9655172413793,9.57552654576359,0.0393405929769807
Mike McCarthy,2,218,42.2018348623853,8.10899584716477,0.0246358389598787
Mike McDaniel,4,376,43.3510638297872,7.71327717824185,-0.224691596709469
Ben Johnson,4,514,42.6070038910506,7.52104976457265,0.129570650212206
Andy Reid,4,514,38.9105058365759,6.5710661052237,0.141748700664172
Press Taylor,2,235,40.8510638297872,5.06276263835582,-0.201685232811786
Sean McVay,4,451,38.8026607538803,3.8287799962344,0.159542848349873
Ken Dorsey,2,226,36.7256637168142,2.92970532205251,0.073302996633327
Dave Canales,3,278,39.2086330935252,1.99194887130381,0.00177309509339951
Matt LaFleur,4,460,36.5217391304348,1.44779592934672,0.0593387996696907
Liam Coen,2,212,29.7169811320755,-2.29854447029108,-0.0089106723525615
Sean Payton,3,341,34.6041055718475,-2.51207163781364,0.114193621924546
Josh McDaniels,2,227,32.5991189427313,-2.54902600388695,-0.0432872767621725
Drew Petzing,3,286,33.2167832167832,-3.28107389354415,-0.00387042833791751
Klint Kubiak,2,209,32.0574162679426,-3.50770830537714,0.169055294405901
Kevin Stefanski,2,216,30.0925925925926,-3.52106856578892,0.137162252260303
Kellen Moore,4,493,29.4117647058824,-4.30674246884504,-0.0106111162665166
Arthur Smith,4,402,31.8407960199005,-4.38172754400702,-0.0456848140361149
Kliff Kingsbury,3,353,30.3116147308782,-4.49796414092478,-0.0147075074337022
Kyle Shanahan,4,464,26.9396551724138,-5.64419261284237,0.0986740453056348
Shane Steichen,4,472,27.1186440677966,-6.68568620537171,0.118311814869107
Mike Kafka,3,293,29.6928327645051,-6.95443142319906,0.103915665285986
Zac Robinson,2,207,25.1207729468599,-8.20530212083876,0.00606340191502513
Joe Brady,2,288,25.3472222222222,-8.37368247771843,0.166944682649854
Todd Monken,3,304,20.3947368421053,-13.325142982955,0.315373227453644
Greg Roman,3,335,20.2985074626866,-13.9516099130929,0.0269345297631043
