caller,seasons,n,actual,resid,epa_all,epa_run,epa_pass
Aaron Glenn,3,3380,25.7100591715976,3.34314415008159,0.00225814054132272,-0.00685707479441539,0.00839355501804995
Al Golden,1,1042,23.320537428023,-0.464974431099424,0.0803391186925686,0.0512966684965972,0.104787859718703
Al Holcomb,1,763,26.7365661861075,3.20405355217682,-0.0258177399089199,-0.0633340152548397,0.00240551310360698
Alan Williams,1,1042,28.1190019193858,1.17432095415198,0.0726370849494717,-0.00499329367027558,0.156472378378969
Anthony Campanile,1,1098,19.4899817850637,0.69008111544052,-0.126546641561086,-0.0530872845067348,-0.167821813732449
Anthony Weaver,2,2032,25.8366141732284,2.43627677800403,-0.00801419116080716,-0.0457636370159497,0.0204035656672681
Bill Belichick,2,2175,22.8045977011494,-1.23362082778208,-0.125486303269919,-0.170093108660994,-0.0929067094830994
Brandon Staley,3,3055,20.9165302782324,-2.83714615573739,-0.0390167301121997,-0.0331831084731431,-0.0437520144621976
Brian Flores,3,3241,31.4717679728479,9.24721761977034,-0.0870057301685807,-0.10856848348085,-0.0709032224531283
Chris Shula,2,2468,19.4894651539708,-1.06783858517401,-0.0332814355928088,-0.0264579440228057,-0.0383737374287975
Clint Hurtt,2,2326,22.2269991401548,-1.76228458109464,0.00604411187466487,-0.00596289937310679,0.0163098673080199
Dan Quinn,3,2760,24.963768115942,3.0026069718946,-0.0776557459967315,-0.0720734539581426,-0.0822025246852505
DeMarcus Covington,1,1067,28.116213683224,1.51436966669336,0.0363497816388975,-0.0271498629239183,0.0937371609496773
DeMeco Ryans,4,3896,21.7659137577002,0.647909978134015,-0.115775572346421,-0.112578542415639,-0.118057561225899
Dean Pees,1,1080,28.9814814814815,3.86567006211005,0.049898455870577,-0.00895967096649129,0.10046385693335
Dennard Wilson,2,2015,23.0272952853598,-5.40080826981432,0.0221408420054452,-0.0249518209135073,0.0645730623169594
Dennis Allen,4,3867,21.0757693302302,-1.40441744842399,-0.0559970809428701,-0.0296191028998562,-0.0768333643854565
