caller,seasons,n,gap,r11,rHV,a11,aHV,epa_all,epa_run,epa_pass
Aaron Glenn,3,3307,33.5856455500835,-8.22428858190933,25.2695712682649,9.48236371965185,56.3167259786477,0.00225814054132272,-0.00685707479441539,0.00839355501804995
Al Golden,1,1003,28.9504823082789,-15.3859228432239,13.5645594650551,4.25963488843813,41.3725490196078,0.0803391186925686,0.0512966684965972,0.104787859718703
Al Holcomb,1,725,37.5768071641041,-10.6197895248331,26.9570176392711,7.67543859649123,59.4795539033457,-0.0258177399089199,-0.0633340152548397,0.00240551310360698
Alan Williams,1,1025,38.8844158430595,-15.1234513958648,23.7609644471947,4.73773265651438,60.8294930875576,0.0726370849494717,-0.00499329367027558,0.156472378378969
Anthony Campanile,1,1058,28.2568818190903,-9.21938246881767,19.0374993502726,5.12091038406828,46.1971830985915,-0.126546641561086,-0.0530872845067348,-0.167821813732449
Anthony Weaver,2,1954,35.4961999837736,-11.7037123609124,24.7430003321956,5.72119258662369,57.7840112201964,-0.00801419116080716,-0.0457636370159497,0.0204035656672681
Bill Belichick,2,2079,24.9648243323813,-11.9888973081885,13.2750189296302,5.85874799357945,46.6986794717887,-0.125486303269919,-0.170093108660994,-0.0929067094830994
Brandon Staley,3,2967,25.4115279351785,-13.5183797247126,12.5006019965557,3.47974900171135,46.1285008237232,-0.0390167301121997,-0.0331831084731431,-0.0437520144621976
Brian Flores,3,3117,26.9287769672244,-3.92050304500514,23.1143651433006,10.1431238332296,53.3112582781457,-0.0870057301685807,-0.10856848348085,-0.0709032224531283
Chris Shula,2,2418,23.3908037575147,-10.9854419240457,12.613546044443,3.61958836053939,41.3280475718533,-0.0332814355928088,-0.0264579440228057,-0.0383737374287975
Clint Hurtt,2,2243,35.1390519606464,-12.9169015654427,22.2105109721205,5.97014925373134,57.2649572649573,0.00604411187466487,-0.00596289937310679,0.0163098673080199
Dan Quinn,3,2696,38.2025227918106,-10.2376593545007,27.388902331356,6.46823125357757,58.9041095890411,-0.0776557459967315,-0.0720734539581426,-0.0822025246852505
DeMarcus Covington,1,1029,32.071792175446,-12.7397258465273,19.3320663289187,5.90339892665475,54.468085106383,0.0363497816388975,-0.0271498629239183,0.0937371609496773
DeMeco Ryans,3,3440,34.2301377883977,-11.632149793211,22.5448023927763,4.72547254725474,52.0525451559934,-0.115775572346421,-0.112578542415639,-0.118057561225899
Dean Pees,1,1024,40.7875019356841,-12.3293046788444,28.4581972568397,8.15047021943573,59.0673575129534,0.049898455870577,-0.00895967096649129,0.10046385693335
Dennard Wilson,2,1973,26.311168774714,-15.5569886576822,10.6372922315038,6.23481781376518,49.5934959349594,0.0221408420054452,-0.0249518209135073,0.0645730623169594
Dennis Allen,4,3727,28.9238886914757,-11.3998568064899,18.1304808259894,6.66125101543461,49.0909090909091,-0.0559970809428701,-0.0296191028998562,-0.0768333643854565
Don Martindale,2,2252,35.4699065183036,-10.0217992289847,25.8244601837077,8.83472962680884,57.8274760383387,-0.00746781742480303,0.0450399073394598,-0.0483342946831912
Ed Donatell,1,1165,19.8757235441243,-16.0771144105876,3.7986091335367,3.7621359223301,33.4310850439883,0.0128721044167981,-0.00142843521844286,0.0230455041861679
Ejiro Evero,4,4238,20.8488712981252,-13.3735440729846,7.10060390217131,4.87499999999999,42.6006528835691,0.00633433471829816,0.00373946069120668,0.00865171239591251
Gus Bradley,3,3243,39.1839340864162,-12.3970109448539,26.7213670645125,6.59395141298959,59.7879282218597,-0.0409591701678967,-0.0842805158143908,-0.00301346595198853
Jack Del Rio,2,1713,27.8272571607161,-12.3501244506756,14.6068526741442,5.69498069498069,44.0177252584933,-0.0495010338808806,-0.0935736299116643,-0.0171087613301757
Jeff Hafley,2,2180,27.0750434353535,-11.4313003649209,15.9208608629387,5.14705882352941,44.5121951219513,-0.0448382421406477,-0.0700228354252133,-0.0256764837141904
Jeff Ulbrich,4,4145,30.2467436893211,-11.0773009304435,19.0351635681675,6.43846780766096,51.2123004139562,-0.0790893118968228,-0.0486901928616586,-0.105009112228832
Jesse Minter,2,2076,23.609023847806,-13.9045387155126,9.41748178955562,2.95007564296521,38.5941644562334,-0.0920976462948734,-0.0797571440530915,-0.101162706789041
