measure,caller,seasons,n,actual,expected,resid,epa
catchable_target_pp,Zac Taylor,4,2527,79.7388207360507,76.5102003714668,3.2286203645839,0.200289743315232
catchable_target_pp,Pete Carmichael,2,1075,78.8837209302326,76.0849419998568,2.79877893037574,0.159926289740171
catchable_target_pp,Mike Kafka,3,1531,78.0535597648596,76.0484827063116,2.00507705854793,0.120874694276633
catchable_target_pp,Joe Lombardi,1,721,77.8085991678225,75.8645069169271,1.94409225089538,0.140021293540969
catchable_target_pp,Andy Reid,4,2650,78.6415094339623,76.7249055144922,1.91660391947008,0.225572052928356
catchable_target_pp,Mike McDaniel,4,2215,78.058690744921,76.309959783511,1.74873096140996,0.199118397126718
catchable_target_pp,Byron Leftwich,1,787,77.0012706480305,75.3282566158411,1.67301403218941,0.0852557404778585
catchable_target_pp,Kyle Shanahan,4,2265,77.8366445916115,76.5130423986359,1.32360219297558,0.291338405231832
catchable_target_pp,Kevin O'Connell,4,2315,77.4946004319654,76.2958869292978,1.19871350266763,0.167828670108276
catchable_target_pp,Matt LaFleur,4,2136,77.3408239700375,76.2291943759061,1.11162959413137,0.229222500000902
catchable_target_pp,Kliff Kingsbury,3,1691,77.2324068598463,76.2225147431451,1.00989211670116,0.147145920143408
catchable_target_pp,Drew Petzing,3,1676,76.909307875895,75.9117989220739,0.997508953821118,0.120781010201841
catchable_target_pp,Joe Brady,3,1341,77.5540641312453,76.6105023762079,0.943561755037417,0.295203192365626
catchable_target_pp,Sean Payton,3,1702,77.144535840188,76.2299298469664,0.914605993221567,0.131718545210669
catchable_target_pp,Ben Johnson,4,2428,76.9769357495881,76.2359020909328,0.741033658655312,0.291575666434167
catchable_target_pp,Shane Waldron,3,1399,76.7691208005719,76.2272578827222,0.541862917849643,0.157593849387764
catchable_target_pp,Todd Monken,3,1445,76.8166089965398,76.5511740429591,0.26543495358067,0.288866681417379
catchable_target_pp,Todd Downing,2,839,75.8045292014303,75.6362268445887,0.168302356841599,0.129807180745019
catchable_target_pp,Liam Coen,2,1159,76.962899050906,76.8420624696972,0.120836581208779,0.241167879783138
catchable_target_pp,Klint Kubiak,3,1294,76.5069551777434,76.4194813333855,0.087473844357955,0.148499973803482
catchable_target_pp,Kellen Moore,4,2291,76.2549105194238,76.2901260739901,-0.0352155545662132,0.191118331317412
catchable_target_pp,Mike McCarthy,2,1277,76.1942051683634,76.4953429076293,-0.30113773926591,0.149456999885296
catchable_target_pp,Dave Canales,3,1641,75.5636806825107,75.890206117444,-0.326525434933376,0.127770892941177
catchable_target_pp,Arthur Smith,4,1942,75.7466529351184,76.2271018217325,-0.480448886614002,0.131538650825194
catchable_target_pp,Josh McDaniels,3,1410,75.886524822695,76.4970684516515,-0.610543628956432,0.230107554221354
catchable_target_pp,Matt Canada,2,883,75.0849377123443,75.7653032194313,-0.680365507086966,0.0348715089316372
catchable_target_pp,Luke Getsy,3,1140,75.3508771929825,76.1059040563148,-0.75502686333238,0.0515916713137638
catchable_target_pp,Ken Dorsey,3,1418,75.4583921015515,76.4086380180586,-0.950245916507133,0.116938286445173
catchable_target_pp,Greg Roman,3,1593,75.2040175768989,76.4635393605319,-1.25952178363297,0.127837417550193
