measure,caller,season_after,team_before,team_after,resid_before,resid_after
uc,Arthur Smith,2024,ATL,PIT,-3.458,5.702
uc,Ben Johnson,2025,DET,CHI,18.622,12.631
uc,Dave Canales,2024,TB,CAR,-3.466,0.667
uc,Frank Reich,2023,IND,CAR,-3.916,-8.634
uc,Kellen Moore,2023,DAL,LAC,8.43,-8.905
uc,Kellen Moore,2024,LAC,PHI,-8.905,-10.015
uc,Kellen Moore,2025,PHI,NO,-10.015,-3.369
uc,Ken Dorsey,2024,BUF,CLE,-8.009,1.887
uc,Klint Kubiak,2025,NO,SEA,9.967,15.951
uc,Liam Coen,2025,TB,JAX,0.069,3.031
uc,Luke Getsy,2024,CHI,LV,-7.387,-3.583
uc,Nathaniel Hackett,2023,DEN,NYJ,4.988,6.872
uc,Shane Steichen,2023,PHI,IND,-16.522,-12.562
uc,Shane Waldron,2024,SEA,CHI,-1.229,-1.839
uc,Thomas Brown,2024,CAR,CHI,-5.339,0.845
roll,Arthur Smith,2024,ATL,PIT,1.97,1.652
roll,Ben Johnson,2025,DET,CHI,-2.529,2.265
roll,Dave Canales,2024,TB,CAR,-0.43,1.782
roll,Frank Reich,2023,IND,CAR,-4.246,-0.931
roll,Kellen Moore,2023,DAL,LAC,1.479,-2.889
roll,Kellen Moore,2024,LAC,PHI,-2.889,1.318
roll,Kellen Moore,2025,PHI,NO,1.318,-0.067
roll,Ken Dorsey,2024,BUF,CLE,-5.742,-1.133
roll,Klint Kubiak,2025,NO,SEA,3.809,3.522
roll,Liam Coen,2025,TB,JAX,-3.216,-0.61
roll,Luke Getsy,2024,CHI,LV,4.203,-0.114
roll,Nathaniel Hackett,2023,DEN,NYJ,-0.258,-1.234
roll,Shane Steichen,2023,PHI,IND,-2.265,-3.002
roll,Shane Waldron,2024,SEA,CHI,1.436,0.059
roll,Thomas Brown,2024,CAR,CHI,-0.616,-0.589
qk,Arthur Smith,2024,ATL,PIT,1.494,-2.751
qk,Ben Johnson,2025,DET,CHI,-10.503,-10.764
qk,Dave Canales,2024,TB,CAR,3.186,2.218
qk,Frank Reich,2023,IND,CAR,4.652,1.338
qk,Kellen Moore,2023,DAL,LAC,-2.39,-2.334
qk,Kellen Moore,2024,LAC,PHI,-2.334,-5.284
qk,Kellen Moore,2025,PHI,NO,-5.284,1.917
qk,Ken Dorsey,2024,BUF,CLE,1.727,4.168
qk,Klint Kubiak,2025,NO,SEA,-0.125,-5.991
qk,Liam Coen,2025,TB,JAX,-0.05,-6.355
qk,Luke Getsy,2024,CHI,LV,-10.267,6.353
qk,Nathaniel Hackett,2023,DEN,NYJ,0.792,5.093
qk,Shane Steichen,2023,PHI,IND,6.348,8.06
qk,Shane Waldron,2024,SEA,CHI,3.001,-2.401
qk,Thomas Brown,2024,CAR,CHI,3.626,-5.588
scr,Arthur Smith,2024,ATL,PIT,0.8,-2.797
scr,Ben Johnson,2025,DET,CHI,0.441,0.097
scr,Dave Canales,2024,TB,CAR,-0.917,-0.838
scr,Frank Reich,2023,IND,CAR,-2.446,0.577
scr,Kellen Moore,2023,DAL,LAC,-2.667,1.302
scr,Kellen Moore,2024,LAC,PHI,1.302,-2.859
scr,Kellen Moore,2025,PHI,NO,-2.859,-2.993
scr,Ken Dorsey,2024,BUF,CLE,-1.456,-0.11
scr,Klint Kubiak,2025,NO,SEA,0.687,-3.66
scr,Liam Coen,2025,TB,JAX,4.693,-1.778
scr,Luke Getsy,2024,CHI,LV,2.975,2.745
scr,Nathaniel Hackett,2023,DEN,NYJ,-1.549,1.495
scr,Shane Steichen,2023,PHI,IND,1.971,0.431
scr,Shane Waldron,2024,SEA,CHI,-0.127,4.256
scr,Thomas Brown,2024,CAR,CHI,-2.319,10.612
deep,Arthur Smith,2024,ATL,PIT,0.272,2.708
deep,Ben Johnson,2025,DET,CHI,-2.537,4.075
deep,Dave Canales,2024,TB,CAR,2.153,0.308
