caller,seasons,n,actual,resid,epa
Kliff Kingsbury,3,3454,52.489866821077,41.1281307644497,-0.00695518575315953
Ryan Grubb,1,1030,21.8446601941748,11.2421269970947,-0.0616184135455891
Kevin Patullo,1,1082,19.3160813308688,10.2717919013069,-0.025751657777099
Shane Waldron,3,2678,20.7617625093353,10.1684840287021,-0.0553795384926753
Kellen Moore,4,4792,19.449081803005,9.59126413366909,-0.0203284861414551
Byron Leftwich,1,1239,19.8547215496368,7.86008055964928,-0.0746841509258967
Brian Johnson,1,1165,16.8240343347639,6.25631299649277,0.00831719135521845
Mike Kafka,3,3351,17.3679498657117,5.77918251575328,-0.0748189721596676
Arthur Smith,4,4273,16.4755441142055,5.70067062816721,-0.066630543815201
Shane Steichen,4,4488,13.8368983957219,4.249889909511,-0.0038345184428719
Ken Dorsey,3,2606,13.6224098234843,3.08402461692739,-0.0141883349769437
Zac Robinson,2,2134,13.0740393626992,2.78303768150725,-0.0161515211155366
Frank Reich,2,1125,15.8222222222222,2.74654283925064,-0.187423034326898
Kevin O'Connell,4,4329,12.6588126588127,2.67097091016253,-0.0570561846829634
Sean Payton,3,3331,12.6388471930351,2.52361929509858,-0.0433030335086674
Brian Daboll,1,1063,13.5465663217309,0.90340090339946,-0.1495515911429
Thomas Brown,2,1055,13.7440758293839,-0.19405925198418,-0.165321844645833
Matt Canada,2,1764,10.0340136054422,-0.532577974988896,-0.0781702192309118
Sean McVay,4,4537,9.49966938505619,-0.667588607696432,0.00945880324896938
Bill O'Brien,1,1020,10.9803921568628,-0.769833485760215,-0.234160759532824
Ben McAdoo,1,976,9.11885245901639,-0.998305149360181,-0.0763905799058347
Drew Petzing,3,3178,11.0446821900566,-1.06338132598847,-0.0322547210871016
Kevin Stefanski,4,3329,10.0931210573746,-1.17577953445543,-0.147572884717707
Klint Kubiak,3,2731,8.82460637129256,-1.3691708419376,-0.0522689169889343
Press Taylor,2,2106,9.49667616334282,-1.71100633846402,-0.0876404135900348
Joe Lombardi,1,1223,7.2771872444808,-2.20272836605891,-0.0155217843926007
Nathaniel Hackett,3,1951,8.86724756535111,-2.34040086987503,-0.226064336067638
Todd Downing,2,1686,7.88849347568208,-2.38074602730173,-0.0767196443576523
Brian Schottenheimer,1,1120,9.28571428571429,-2.39806742688026,0.061554416539314
Bobby Slowik,2,2367,7.13983945923109,-2.45381923959786,-0.0628304061276057
Pep Hamilton,1,1015,9.75369458128081,-2.51467234427521,-0.211955513506027
Matt LaFleur,4,4386,7.61513907888736,-2.51860982104124,0.0264649744942593
Mike McCarthy,2,2315,8.16414686825056,-2.68498384246912,-0.0261877861859568
Scott Turner,2,1657,8.99215449607726,-2.91208404604758,-0.10454175255009
Alex Van Pelt,1,1027,9.63972736124635,-2.93569371127819,-0.129934377427836
Liam Coen,2,2285,6.47702407002188,-2.93760402623313,0.0447417032645597
Joe Brady,3,2944,6.14809782608695,-2.99988577610788,0.104268036297862
Mike LaFleur,1,1074,8.28677839851022,-3.07304693810432,-0.132703100615554
Luke Getsy,3,2638,8.26383623957541,-3.1460864137374,-0.109672262774282
Doug Pederson,1,1202,7.23793677204659,-3.23056759827611,0.00644171281334958
Pete Carmichael,2,2136,7.30337078651686,-3.36430847454268,-0.0508714846033629
Matt Patricia,1,1006,6.16302186878728,-3.61371012441591,-0.0990160155771058
Todd Monken,3,3358,5.47945205479452,-3.61535854170229,0.063909905808581
Bo Hardegree,2,1366,9.00439238653002,-3.98216743440139,-0.136354580214438
Dave Canales,3,3244,7.18249075215783,-4.54602354988037,-0.0723384486970123
Greg Roman,3,3343,4.5767274902782,-4.61950028560901,-0.0375159457624021
Ben Johnson,4,4874,5.00615510874025,-4.82023278075784,0.0691890224960016
Josh Grizzard,1,1068,6.27340823970038,-4.8224024550705,-0.0427660952480889
Tim Kelly,1,1002,5.38922155688622,-4.91993713114567,-0.0989056803834926
Brian Callahan,1,1032,7.75193798449611,-5.07343397399071,-0.153950883209157
Mike McDaniel,4,4221,4.66714048803602,-5.73728028418983,-0.0242855924238347
Nick Caley,1,1226,3.91517128874388,-5.78344601687337,-0.0545801829368554
Tanner Engstrand,1,1010,10,-5.79457821448951,-0.178643121187677
Josh McDaniels,3,2816,4.04829545454546,-6.22539278564214,-0.0134816793344552
Kyle Shanahan,4,4670,3.29764453961457,-6.34709246410256,0.0517476305463785
Zac Taylor,4,4426,3.41165838228649,-6.76364164244835,-0.00273966249442537
Andy Reid,4,4948,2.02101859337106,-6.80375857766764,0.0358192324217686
Eric Bieniemy,1,1060,4.90566037735848,-7.49464443054508,-0.144154317547427
